"","Treatment","Shannon_Bacteria","Shannon_Fungi","Shannon_Nematode","Shannon_Protozoa","Whole_microbiota"
"1","Arable6_1",8.03973547712247,6.66656238240562,2.29094385644993,3.03047547487078,-0.29448400670167
"2","Arable6_2",8.18328789468851,6.0343299205565,2.36271072235437,2.99522424405813,-0.471044398192315
"3","Arable6_3",7.64137075278744,6.04714024008119,2.24448064865195,2.27094834300562,-1.12104570094078
"4","Arable6_4",7.71194767777336,6.10556499118815,2.08968790822329,3.2087832844988,-0.747537024058004
"5","Restored6_1",9.16103864138323,6.72758793701558,3.00412669136267,3.97091562740333,1.19343153000573
"6","Restored6_2",9.33019052185822,7.01175085013033,2.81802166895975,4.13668471072971,1.31886628714118
"7","Restored6_3",8.93577898893168,7.09086644682652,2.90106640914444,4.03912616286276,1.21022687399474
"8","Restored6_4",9.18267249403032,6.78227734625854,2.73858203070668,3.93897916653307,1.00323273777031
"9","Arable9_1",7.6312035304559,6.13644499114487,2.45089212719849,3.0492753349624,-0.559369756738942
"10","Arable9_2",7.70847263622155,5.4597465983831,2.42220753203437,2.88486365598283,-0.921853219266609
"11","Arable9_3",7.89482759517262,5.20659822124824,2.44094989225742,3.00290063042751,-0.885302307829744
"12","Arable9_4",7.63071238274179,6.01484100918191,2.27785425055602,3.26006171847686,-0.649065467608537
"13","Restored9_1",7.90092264614405,5.597060393577,3.00932486327962,3.98526452509727,0.19339254963981
"14","Restored9_2",8.27379049824341,6.01339019916816,2.94064041143949,3.74257966962983,0.360422531956454
"15","Restored9_3",8.26598246336776,5.98571573239921,2.88990086907263,3.42400742996762,0.155889166486586
"16","Restored9_4",8.6777954777242,5.40471583294203,2.95012197501536,3.62574220638139,0.214240204341777
