ID,Arable6_1,Arable6_2,Arable6_3,Arable6_4,Restored6_1,Restored6_2,Restored6_3,Restored6_4,Arable9_1,Arable9_2,Arable9_3,Arable9_4,Restored9_1,Restored9_2,Restored9_3,Restored9_4
Bac_asv1,0.100606459,0.119309874,0.144509565,0.105517839,0.001898272,0.001706105,0.002227047,0.002344039,0.087554202,0.077854916,0.086420404,0.082240593,0.001380758,0.046535044,0.002182278,0
Bac_asv2,0.040712707,0.030769731,0.046499932,0.046764408,0,0,0,0,0.007934311,0.007509209,0.007588133,0.008765678,0,0.001094427,0,0
Bac_asv3,0.009684547,0.007895506,0.008201319,0.004875054,0,0,0,0,0.057569887,0.049234911,0.064657217,0.081812999,0,0.014402662,0,0.00010009
Bac_asv4,0.023482676,0.016050947,0.040929225,0.03318648,0.001411536,0.000259625,0.000835143,0.002056175,0.010794354,0.004321337,0.052958845,0.017175029,0.000358997,0.00555969,0.001780279,0.002652387
Bac_asv5,0.063607729,0.055495987,0.105727384,0.088075979,0,0,0,0,0.012916321,0.020048172,0.017494862,0.024087799,0,0.004246377,0,0
Bac_asv6,0.013045931,0.001917016,0.009787423,0.016069623,0.029544901,0.01554039,0.026112132,0.018176584,0.02278808,0.030745254,0.022553618,0.02472919,0.021788357,0.028630215,0.031068742,0.017615854
Bac_asv7,0.027619764,0.023686519,0.033056732,0.031669796,0.003407155,0.008864328,0.013696342,0.008677057,0.001291632,0.00708416,0.005058755,0.006057583,0.005219264,0.005691021,0,0
Bac_asv8,0.036152508,0.032784222,0.028743303,0.029719775,0.003699197,0.001817373,0.006180057,0.004153473,0.095488514,0.072754321,0.053854666,0.046393957,0.002236828,0.017335726,0.012519382,0.013412071
Bac_asv9,0.003408396,0.013581571,0.003462349,0.003936155,0.004964712,0.008864328,0.020822894,0.017230744,0.030261094,0.025857183,0.027032724,0.018885405,0.018336463,0.019962352,0.021363349,0.017415674
Bac_asv10,0.004959804,0.003314163,0.003384978,0.006283403,0.041615965,0.029077962,0.050164245,0.048690217,0,0.002125248,0,0.001425314,0.036341544,0.015409535,0.037443289,0.056650986
Bac_asv11,0.027525739,0.021119667,0.028588561,0.027047523,0.00053541,0.002002819,0.001670286,0.002179545,0.009225943,0.011334656,0.010644464,0.008551881,0.000331382,0.003633498,0,0.000550495
Bac_asv12,0.013257487,0.015238652,0.010193621,0.014986278,0.012898515,0.018284994,0.005344914,0.011843566,0.021035151,0.017568716,0.022500922,0.025441847,0.010051916,0.012826687,0.031643025,0.047292563
Bac_asv13,0.010648301,0.008090457,0.014661792,0.010580673,0.001265515,0.004969958,0.005623295,0.004071226,0.007380755,0.002833664,0.002950941,0.003919612,0.001933061,0.002013746,0,0.003052747
Bac_asv14,0.00437215,0.003671573,0,0,0,0,0,0,0.00655042,0.011263814,0.012594193,0.013041619,0,0,0,0
Bac_asv15,0.005218372,0.001722065,0,0,0,0,0,0,0,0,0.00068504,0,0,0.00105065,0.09303394,0
Bac_asv16,0.020262329,0.019982454,0.014700478,0.024772497,0,0,0,0,0.037180552,0.059365259,0.049849818,0.052309008,0,0.021450773,0,0
Bac_asv17,0.002656199,0.003574098,0.003926575,0.00357504,0,0,0,0,0.009871759,0.01331822,0.008905517,0.01895667,0,0.001663529,0,0
Bac_asv18,0.049668563,0.044806186,0.062767172,0.053264481,0.001654904,0.003449299,0.006347085,0.007443352,0.051665283,0.052493624,0.05438162,0.041191562,0.002485364,0.009193188,0.001205996,0.000900811
Bac_asv19,0.010483757,0.008480359,0.009052399,0.010797342,0,0,0,0,0.001291632,0.002975347,0.002002424,0.003206956,0,0,0,0
Bac_asv20,0.01034272,0.012801768,0.004680942,0.007800087,0.003455829,0.003820191,0.002505428,0.001932804,0.008672387,0.013176537,0.01285767,0.01895667,0.002485364,0.012345139,0.006431976,0.017015314
Bac_asv21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030896457,0.001651486
