ID,Arable6_1,Arable6_2,Arable6_3,Arable6_4,Restored6_1,Restored6_2,Restored6_3,Restored6_4,Arable9_1,Arable9_1,Arable9_3,Arable9_4,Restored9_1,Restored9_2,Restored9_3,Restored9_4
Fun_asv1,0.136777569,0.178543987,0.186404871,0.17243255,0.007321718,0.006798857,0.004597621,0.0117293,0.118539512,0.123842399,0.228045002,0.171741982,0.001090146,0.002875771,0.004106252,0.001715756
Fun_asv2,0.033939769,0.017989779,0.012799801,0.014009767,0.270673729,0.213225929,0.233329249,0.278185045,0.003712626,0.006010032,0.002120581,0.000798855,0.219628739,0.189242054,0.26670989,0.279350554
Fun_asv3,0.025082877,0.020599822,0.038827444,0.059097283,0.018375432,0.023844768,0.029032691,0.02882718,0.018638704,0.018421082,0.022399431,0.022904495,0.053142065,0.049400396,0.061122244,0.085819591
Fun_asv4,0.06524344,0.031820566,0.058144512,0.078764143,0.042792103,0.049181268,0.043391504,0.031065007,0.092173256,0.050649597,0.125126981,0.072743532,0.046275165,0.092036326,0.060287241,0.077653862
Fun_asv5,0.022017414,0.010049884,0.006241111,0.007953776,0.061583417,0.061906893,0.093224344,0.076780616,0.001634311,0.001552778,0.002171373,0.000524621,0.006377863,0.004715334,0.014902354,0.014552156
Fun_asv6,0.063935376,0.068617287,0.10579512,0.106445218,0.001094427,0.001543369,0.001948738,0.007077266,0.025648292,0.050537887,0.042792564,0.037581972,0.001232782,0.000116428,0.001041298,0.000254186
Fun_asv7,0.030305148,0.037418741,0.084627812,0.07844986,0.000777043,0.000596693,0.002147112,0.004122893,0.01282887,0.046035948,0.048633685,0.025730297,0,0.000256142,0.001011828,0.000651352
Fun_asv8,0.044863602,0.050493347,0.04992889,0.044168842,0.001477477,0.001405671,0.001767867,0.0051922,0.058816305,0.033133371,0.0352372,0.054012162,0.000163012,0.000256142,0.000972533,0.000460712
Fun_asv9,0.001977074,0.000536644,0.000110462,0.00010879,0.019349472,0.009931495,0.01061887,0.011222206,0.0003023,0.00021225,0.000292056,0.000250388,0.031817997,0.105111189,0.058735117,0.069885299
Fun_asv10,0.002356512,0.001439182,0.000441849,0.000568127,0.017270061,0.01648938,0.012124182,0.021650701,0.000510132,0.000402158,0.000672999,0.001454632,0.024329611,0.106077541,0.03922551,0.057366632
Fun_asv11,0,0,0.000662773,0.000290107,0,0,0,0,0.042407066,0.203436219,0.015974197,0.026731847,0.000244519,0,0.001630712,0.000683125
Fun_asv12,0.032501897,0.018587406,0.015989396,0.022096509,0.016646237,0.020964577,0.029785347,0.040391124,0.003145813,0.003943385,0.002095185,0.004363897,0.005736001,0.001932705,0.009872687,0.005051949
Fun_asv13,0.002206734,0.000487858,0.000110462,0.0000846,0.050595368,0.042841406,0.00939945,0.007573336,0.00012281,0,0,0,0.039550901,0.044650134,0.010442454,0.010707591
Fun_asv14,0.012211926,0.009805954,0.004611795,0.006406537,0.024175896,0.034757364,0.028460906,0.015389194,0.001058051,0.001117106,0.00139679,0.000321927,0,0.002945628,0.015540886,0.005735075
Fun_asv15,0.037614331,0.028576307,0.000138078,0.000169229,0,0.0000574,0.00051344,0.000948045,0.00012281,0.010154496,0.122612759,0.001168475,0,0,0.000265236,0.0000635
Fun_asv16,0.000519232,0.000865949,0.002678707,0.001232956,0.001083483,0.00152042,0.001960407,0.000440951,0.003372538,0.004859412,0.001079338,0.000274234,0.114709838,0.007311678,0.024401745,0.011104756
Fun_asv17,0.023055877,0.041370394,0.017673943,0.013985591,0.00015322,0.000206548,0.00077016,0.002193732,0.01267772,0.010288549,0.010806075,0.025360677,0,0.000104785,0.000334001,0.000206526
Fun_asv18,0.000289571,0,0.000207117,0.000350546,0.0000328,0.0000746,0.0000758,0.000220476,0.000387322,0,0,0,0.10800595,0.001106066,0.002406774,0.000921425
Fun_asv19,0.001068419,0.000182947,0,0.0000967,0.003545944,0.013890323,0.003792454,0.004563844,0.00015115,0.000167566,0.0000635,0.009502802,0.006428804,0.018651764,0.036691029,0.006926572
Fun_asv20,0.005481887,0.000597627,0.000179501,0.000290107,0.010309504,0.006127578,0.007695764,0.010593851,0.000906901,0.000223421,0.000126981,0.000286157,0.029933165,0.012376295,0.019607843,0.01264576
Fun_asv21,0.008697128,0.003707724,0.000828466,0.000942849,0.018539596,0.013551815,0.014405489,0.016215978,0.010996174,0.00178737,0.000520622,0.002229641,0.023157959,0.002025847,0.007406971,0.001842849
Fun_asv22,0.021578064,0.020099767,0.005536915,0.005173581,0.005669133,0.008181578,0.004580117,0.00554496,0.003429219,0.001921423,0.00359356,0.011958984,0.019643003,0.01306322,0.040718692,0.022844978
Fun_asv23,0.028667572,0.036833311,0.015878933,0.011519679,0.001291424,0.001124537,0.003127316,0.007485145,0.029266449,0.008076678,0.002907863,0.011827829,0.000845627,0.004936547,0.000491178,0.001985829
Fun_asv24,0.000968567,0.001073289,0.001366969,0.001402185,0.000131331,0.000206548,0.000151698,0.000462999,0.049756743,0.005831295,0.003453881,0.032931918,0.000224142,0,0.001041298,0.000333619
Fun_asv25,0.00181731,0.000561037,0,0,0.009707569,0.002363822,0.002374659,0.001719709,0.000330641,0.000189908,0,0,0.030931616,0.011968797,0.02879288,0.018142535
