ID,Arable6_1,Arable6_2,Arable6_3,Arable6_4,Restored6_1,Restored6_2,Restored6_3,Restored6_4,Arable9_1,Arable9_2,Arable9_3,Arable9_4,Restored9_1,Restored9_2,Restored9_3,Restored9_4
Pro_ASV1,0,0,0,0,0,0,0,0,0,0,0.001176471,0,0,0.042352941,0.000588235,0.001176471
Pro_ASV2,0.008235294,0,0,0,0.000588235,0.001764706,0,0,0,0,0.001176471,0.002352941,0.005882353,0,0,0
Pro_ASV3,0,0,0,0,0,0,0,0,0,0.000588235,0,0,0.001176471,0.004705882,0,0
Pro_ASV4,0,0,0,0,0.001176471,0,0,0,0,0,0,0.002352941,0,0.015294118,0,0
Pro_ASV5,0,0,0,0,0,0,0.002941176,0,0,0,0,0,0,0,0,0
Pro_ASV6,0,0,0,0,0.001176471,0.016470588,0.058235294,0.021764706,0,0,0,0,0.023529412,0.041764706,0.255294118,0.202352941
Pro_ASV7,0,0,0,0,0,0,0,0.007058824,0,0,0,0,0,0,0.075882353,0
Pro_ASV8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007647059,0,0.007058824
Pro_ASV9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004117647,0,0
Pro_ASV10,0,0,0,0,0,0.001764706,0,0,0,0,0,0,0,0,0,0
Pro_ASV11,0,0,0,0,0,0.001764706,0.001764706,0.001176471,0,0,0,0,0.024117647,0.072352941,0,0.030588235
Pro_ASV12,0,0,0,0,0,0,0,0,0,0,0,0,0.040588235,0.050588235,0.002352941,0.003529412
Pro_ASV13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001176471,0
Pro_ASV14,0,0,0,0,0,0,0,0,0,0,0.005882353,0,0,0,0,0.005294118
Pro_ASV15,0,0,0,0,0,0,0,0,0,0,0,0,0.031176471,0.03,0.009411765,0.028235294
Pro_ASV16,0,0,0,0,0.002352941,0.038235294,0.002352941,0.01,0,0,0,0,0.067647059,0.08,0.082941176,0.06
Pro_ASV17,0,0,0.000588235,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro_ASV18,0,0.001764706,0,0,0,0,0,0,0,0,0,0.001764706,0,0,0,0
Pro_ASV19,0,0,0,0,0,0,0.000588235,0,0,0,0,0,0.003529412,0,0,0
Pro_ASV20,0,0,0,0,0.001176471,0,0,0,0,0,0,0,0.002352941,0,0,0.000588235
Pro_ASV21,0,0,0,0,0,0,0,0,0,0,0,0,0.002941176,0,0,0
Pro_ASV22,0.01,0,0.001764706,0,0,0,0,0,0,0.001176471,0.007058824,0.001176471,0.001176471,0.000588235,0,0
Pro_ASV23,0,0.000588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro_ASV24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002352941,0
Pro_ASV25,0,0,0,0,0,0,0,0,0,0,0.001176471,0,0,0,0,0
Pro_ASV26,0.018235294,0.002941176,0.000588235,0.001764706,0.021176471,0.038823529,0.02,0.096470588,0,0.008823529,0.001764706,0.011764706,0.051176471,0.044705882,0.018235294,0.005882353
Pro_ASV27,0,0,0,0,0.009411765,0.006470588,0.017647059,0.03,0,0,0,0,0.016470588,0.010588235,0.007647059,0.007058824
Pro_ASV28,0,0,0,0,0.011764706,0.01,0.026470588,0.025294118,0,0,0,0,0.031764706,0.004705882,0.008823529,0.008235294
Pro_ASV29,0,0,0,0,0,0.007647059,0,0,0,0,0,0,0,0.004705882,0,0
Pro_ASV30,0,0.002352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro_ASV31,0,0,0,0,0.002941176,0.008235294,0.002352941,0,0,0,0,0,0,0.003529412,0,0
Pro_ASV32,0,0,0.002941176,0,0.008823529,0.021764706,0.016470588,0.021176471,0,0,0.001764706,0,0.008823529,0.064117647,0.004705882,0.019411765
Pro_ASV33,0,0,0,0,0.011764706,0.016470588,0.009411765,0.014705882,0,0.003529412,0,0,0.013529412,0.027058824,0,0.008235294
Pro_ASV34,0,0,0,0,0.005294118,0.016470588,0.004705882,0.028823529,0,0.007647059,0,0.001764706,0.012941176,0.02,0,0
Pro_ASV35,0.000588235,0,0,0,0.004117647,0.010588235,0.020588235,0.024705882,0,0.002352941,0,0.001764706,0.018235294,0.022352941,0.002941176,0.004705882
Pro_ASV36,0,0,0,0,0,0,0.001764706,0,0,0,0,0,0,0,0,0
Pro_ASV37,0,0,0,0,0,0.002941176,0,0.004117647,0,0,0,0,0.002352941,0.011176471,0,0
Pro_ASV38,0,0,0,0,0,0,0,0.002941176,0,0,0.001176471,0.001764706,0.004117647,0,0,0
Pro_ASV39,0.067058824,0.011176471,0.037647059,0.038823529,0.012941176,0.006470588,0.007058824,0.005882353,0,0,0.062941176,0.032352941,0.022941176,0.000588235,0.006470588,0.003529412
Pro_ASV40,0,0.010588235,0,0,0,0,0,0,0,0,0.000588235,0.004705882,0,0,0,0
Pro_ASV41,0.052941176,0.008823529,0.013529412,0.033529412,0,0,0.005294118,0,0,0.002941176,0.011764706,0.016470588,0,0,0.011176471,0
Pro_ASV42,0,0,0,0,0.004705882,0,0.007647059,0.004705882,0,0,0,0,0.017058824,0.038823529,0.000588235,0.022352941
Pro_ASV43,0,0,0,0,0,0.002941176,0,0.018235294,0,0,0,0.01,0,0,0,0
Pro_ASV44,0,0,0,0,0,0,0,0,0,0,0,0,0.000588235,0,0,0
Pro_ASV45,0,0.02,0,0.008823529,0,0.006470588,0.006470588,0.011764706,0,0.001176471,0.003529412,0.021764706,0.000588235,0.002352941,0.020588235,0.003529412
Pro_ASV46,0,0.006470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro_ASV47,0,0,0,0.017647059,0.001764706,0.004705882,0.002941176,0.04,0,0.002941176,0,0.010588235,0.001176471,0,0,0.002941176
Pro_ASV48,0,0.035882353,0,0.002352941,0,0.017647059,0.001764706,0.016470588,0,0,0.002352941,0.005294118,0,0,0.002352941,0.006470588
Pro_ASV49,0,0,0,0,0,0,0.003529412,0,0,0,0,0,0,0,0,0
Pro_ASV50,0,0,0,0.001176471,0,0,0.001176471,0,0,0.002352941,0,0.001176471,0.003529412,0.000588235,0.007058824,0
Pro_ASV51,0,0,0,0,0.001176471,0.001176471,0,0,0,0,0,0,0.013529412,0,0,0.001176471
Pro_ASV52,0,0,0,0,0,0.006470588,0.004117647,0.01,0,0,0,0,0,0.002941176,0.002352941,0
Pro_ASV53,0,0,0,0,0,0.001764706,0.001176471,0.002352941,0,0,0,0,0,0,0.009411765,0
Pro_ASV54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006470588,0
Pro_ASV55,0,0,0,0,0.002941176,0,0,0,0,0,0,0,0,0,0,0
Pro_ASV56,0,0,0,0,0.005294118,0.005882353,0.003529412,0.005294118,0,0,0.000588235,0,0.008823529,0.003529412,0.002352941,0.003529412
Pro_ASV57,0,0,0,0,0.000588235,0,0,0,0,0,0,0,0,0,0,0
Pro_ASV58,0,0,0,0,0,0,0.000588235,0,0,0,0,0,0,0,0.000588235,0.000588235
Pro_ASV59,0,0,0,0,0,0,0,0.001176471,0,0,0,0,0,0,0,0
Pro_ASV60,0,0.001764706,0,0.001176471,0,0,0,0,0,0,0,0,0,0,0,0
Pro_ASV61,0,0,0,0,0,0.001764706,0,0.001764706,0,0.001176471,0,0,0,0,0,0
Pro_ASV62,0.002352941,0,0,0.001764706,0,0.009411765,0.005294118,0,0,0,0,0,0.000588235,0.018235294,0,0
Pro_ASV63,0,0.010588235,0.000588235,0,0.005882353,0.004117647,0,0.005294118,0,0,0.003529412,0.011176471,0,0.007058824,0.002352941,0.006470588
