ASVID	Phylum	Abundance
BACasv1	Chloroflexi	0.094302732
BACasv2	Chloroflexi	0.03175347
BACasv3	Chloroflexi	0.026022785
BACasv4	Actinobacteria	0.04818141
BACasv5	Actinobacteria	0.016345165
BACasv6	Actinobacteria	0.013926483
BACasv8	WPS-2	0.047320499
BACasv9	Chloroflexi	0.018529852
BACasv10	Proteobacteria	0.016595054
BACasv11	Actinobacteria	0.039950733
BACasv12	Actinobacteria	0.009646152
BACasv13	Chloroflexi	0.01001164
BACasv15	Actinobacteria	0.003484596
BACasv16	Proteobacteria	0.002413837
BACasv17	Chloroflexi	0.019101983
BACasv18	Acidobacteria	0.008899812
BACasv19	Chloroflexi	0.010733054
BACasv21	Acidobacteria	0.015486451
BACasv22	Actinobacteria	0.006651181
BACasv25	Firmicutes	0.011917778
BACasv26	Actinobacteria	0.012448651
BACasv27	Actinobacteria	0.021793365
BACasv28	WPS-2	0.005861548
BACasv29	Chloroflexi	0.004903886
BACasv30	Acidobacteria	0.003778375
BACasv31	Chloroflexi	0.010622806
BACasv32	Chloroflexi	0.008246682
BACasv33	Acidobacteria	0.014650352
BACasv36	Actinobacteria	0.003845233
BACasv37	Actinobacteria	0.002221751
BACasv39	Chloroflexi	0.014682956
BACasv41	Acidobacteria	0.000270455
BACasv42	Chloroflexi	0.004938618
BACasv43	WPS-2	0.001741022
BACasv44	Proteobacteria	0.002228709
BACasv46	Planctomycetes	0.0098496
BACasv47	Proteobacteria	0.011732241
BACasv49	Acidobacteria	0.004733183
BACasv54	Chloroflexi	0.010268374
BACasv55	Cyanobacteria	0.000780471
BACasv59	Actinobacteria	0.002676901
BACasv66	Chloroflexi	0.002896461
BACasv67	Chloroflexi	0.003429151
BACasv70	Actinobacteria	0.002053532
BACasv73	Chloroflexi	0.002471649
BACasv84	Proteobacteria	0.00022627
BACasv86	Actinobacteria	0.000721293
BACasv88	Actinobacteria	0.000817774
BACasv89	Proteobacteria	0.001906965
BACasv90	Actinobacteria	0.001247491
BACasv91	Patescibacteria	0.004638622
BACasv92	Actinobacteria	0.001424499
BACasv96	Chloroflexi	0.005257496
BACasv100	Firmicutes	0.00088098
BACasv101	Acidobacteria	0.001001091
BACasv102	Chloroflexi	0.001677169
BACasv103	Nitrospirae	0.001572389
BACasv110	Chloroflexi	0.001812657
BACasv112	Actinobacteria	0.000375282
BACasv113	Proteobacteria	0.00075415
BACasv114	Proteobacteria	0.001985152
BACasv120	Actinobacteria	0.000629065
BACasv123	Proteobacteria	0.002920688
BACasv124	Actinobacteria	0.00299483
BACasv125	Gemmatimonadetes	0.001284743
BACasv126	Actinobacteria	0.001195738
BACasv128	Actinobacteria	0.00280591
BACasv129	Actinobacteria	0.001477516
BACasv131	Chloroflexi	0.001808193
BACasv132	Chloroflexi	0.001055769
