,Proportion.removed,remain.mean,remain.sd,remain.se,weighted,biota,treat
1,0.05,0.548054299,0.060353349,0.006035335,weighted,soil micro-food web,arable
2,0.1,0.520859729,0.062148352,0.006214835,weighted,soil micro-food web,arable
3,0.15,0.501674208,0.071009858,0.007100986,weighted,soil micro-food web,arable
4,0.2,0.469457014,0.068741872,0.006874187,weighted,soil micro-food web,arable
5,0.25,0.430950226,0.06508787,0.006508787,weighted,soil micro-food web,arable
6,0.3,0.41199095,0.064395488,0.006439549,weighted,soil micro-food web,arable
7,0.35,0.383755656,0.060542943,0.006054294,weighted,soil micro-food web,arable
8,0.4,0.348144796,0.05447668,0.005447668,weighted,soil micro-food web,arable
9,0.45,0.317828054,0.054686217,0.005468622,weighted,soil micro-food web,arable
10,0.5,0.294434389,0.051676782,0.005167678,weighted,soil micro-food web,arable
11,0.55,0.263936652,0.04270976,0.004270976,weighted,soil micro-food web,arable
12,0.6,0.222126697,0.040939726,0.004093973,weighted,soil micro-food web,arable
13,0.65,0.201855204,0.04086793,0.004086793,weighted,soil micro-food web,arable
14,0.7,0.166199095,0.035418564,0.003541856,weighted,soil micro-food web,arable
15,0.75,0.139004525,0.030486979,0.003048698,weighted,soil micro-food web,arable
16,0.8,0.115248869,0.024179433,0.002417943,weighted,soil micro-food web,arable
17,0.85,0.084524887,0.021095365,0.002109536,weighted,soil micro-food web,arable
18,0.9,0.055022624,0.014203338,0.001420334,weighted,soil micro-food web,arable
19,0.95,0.025791855,0.009953089,0.000995309,weighted,soil micro-food web,arable
20,1,0,0,0,weighted,soil micro-food web,arable
21,0.05,0.760045249,0.005910413,0.000591041,unweighted,soil micro-food web,arable
22,0.1,0.720316742,0.008645263,0.000864526,unweighted,soil micro-food web,arable
23,0.15,0.679457014,0.011571506,0.001157151,unweighted,soil micro-food web,arable
24,0.2,0.638914027,0.011287051,0.001128705,unweighted,soil micro-food web,arable
25,0.25,0.599095023,0.011823974,0.001182397,unweighted,soil micro-food web,arable
26,0.3,0.560859729,0.014299912,0.001429991,unweighted,soil micro-food web,arable
27,0.35,0.515429864,0.013415201,0.00134152,unweighted,soil micro-food web,arable
28,0.4,0.47719457,0.014685846,0.001468585,unweighted,soil micro-food web,arable
29,0.45,0.435565611,0.014230977,0.001423098,unweighted,soil micro-food web,arable
30,0.5,0.396199095,0.013464827,0.001346483,unweighted,soil micro-food web,arable
31,0.55,0.351674208,0.010972645,0.001097264,unweighted,soil micro-food web,arable
32,0.6,0.312262443,0.01433054,0.001433054,unweighted,soil micro-food web,arable
33,0.65,0.271764706,0.014407184,0.001440718,unweighted,soil micro-food web,arable
34,0.7,0.231131222,0.014419524,0.001441952,unweighted,soil micro-food web,arable
35,0.75,0.191402715,0.012934939,0.001293494,unweighted,soil micro-food web,arable
36,0.8,0.152533937,0.013232037,0.001323204,unweighted,soil micro-food web,arable
37,0.85,0.111764706,0.013513582,0.001351358,unweighted,soil micro-food web,arable
38,0.9,0.071809955,0.011170186,0.001117019,unweighted,soil micro-food web,arable
39,0.95,0.031674208,0.009647091,0.000964709,unweighted,soil micro-food web,arable
40,1,0,0,0,unweighted,soil micro-food web,arable
