nodes_id	within_module_connectivities	among_module_connectivities	degree	modularity
BACasv1	0.573001167165967	0.359225322782174	98	2
BACasv10	0.253030140894977	0.4488	100	2
BACasv100	-1.24016798170298	0.142011834319527	26	2
BACasv101	0.715210512175297	0.2801108033241	95	2
BACasv102	0.501896494661303	0.327741020793951	92	2
BACasv103	-0.0669408853760129	0.423854848304581	82	2
BACasv11	0.324134813399642	0.452662721893491	104	2
BACasv113	0.363872953989239	0.0634238108035474	61	1
BACasv114	-1.91566237049729	0	5	2
BACasv12	0.644105839670632	0.233303875773261	89	2
BACasv124	0.264241073730281	0.499671268902038	117	1
BACasv125	0.679658175922964	0.282480760525124	94	2
BACasv126	-1.91566237049729	0	5	2
BACasv128	0.750762848427629	0.310172431384553	99	2
BACasv129	-1.27572031795531	0	23	2
BACasv13	0.110820795885648	0.416322314049587	88	2
BACasv131	0.00416378712865156	0	59	2
BACasv132	0.92852452968929	0.288434348194929	103	2
BACasv134	-2.27637187287316	0.244897959183674	7	1
BACasv139	0.31405701385976	0.49203506456782	103	1
BACasv141	0.821867520932293	0.2952	100	2
BACasv142	0.28858247714731	0.372175230400202	89	2
BACasv145	0.786315184679961	0.210538752362949	92	2
BACasv148	0.750762848427629	0.299875052061641	98	2
BACasv15	-1.88011003424496	0	6	2
BACasv152	-0.102493221628345	0	56	2
BACasv156	0.92852452968929	0.242832364044485	99	2
BACasv157	-1.63124368047863	0.32	65	2
BACasv16	0.430791822156639	0.369624264373019	94	2
BACasv160	-1.08078930976566	0	30	1
BACasv164	0.363872953989239	0.368507560815253	78	1
BACasv167	-1.18042119002462	0	28	1
BACasv17	0.501896494661303	0.30641975308642	90	2
BACasv176	0.999629202193954	0.137845178813943	94	2
BACasv178	-1.88011003424496	0.375	8	2
BACasv18	-1.4890343354693	0	17	2
BACasv181	0.92852452968929	0.288434348194929	103	2
BACasv183	0.363872953989239	0.368507560815253	78	1
BACasv186	0.413688894118718	0.497041420118343	130	1
BACasv187	0.821867520932293	0.2952	100	2
BACasv188	-1.84455769799263	0.277777777777778	42	2
BACasv19	0.395239485904306	0.430603613994617	102	2
BACasv192	-2.07710811235524	0	10	1
BACasv193	0.363872953989239	0.496364401177814	129	1
BACasv194	-2.1767399926142	0.396694214876033	11	1
BACasv199	0.413688894118718	0.497041420118343	130	1
BACasv2	0.786315184679961	0.286755518533944	98	2
BACasv205	1.45982363683778	0.0470314994919436	83	1
BACasv206	0.892972193436958	0.279972551710617	101	2
BACasv209	0.363872953989239	0.496364401177814	129	1
BACasv21	0.999629202193954	0.137845178813943	94	2
BACasv211	-1.88011003424496	0	6	2
BACasv213	-1.24016798170298	0.142011834319527	26	2
BACasv219	0.413688894118718	0.497041420118343	130	1
BACasv22	0.6085535034183	0.262716049382716	90	2
BACasv222	-1.73790068923563	0	10	2
BACasv231	-1.23023713015409	0.128418549346017	29	1
BACasv235	0.363872953989239	0.280896647490577	71	1
BACasv237	0.363872953989239	0.496364401177814	129	1
BACasv240	0.114793253341843	0.340264650283554	69	1
BACasv242	-1.84455769799263	0	7	2
BACasv245	1.45982363683778	0.0470314994919436	83	1
BACasv247	-0.0844705071760735	0.389273356401384	68	1
BACasv25	0.253030140894977	0.444444444444444	99	2
BACasv252	0.363872953989239	0.0634238108035474	61	1
BACasv253	0.92852452968929	0.298631656804734	104	2
BACasv26	-0.632445848600344	0.0928019036287924	41	1
BACasv267	-1.84455769799263	0	7	2
BACasv27	0.395239485904306	0.335816184825148	89	2
BACasv28	0.537448830913635	0.325124291825645	93	2
BACasv283	-0.732077728859303	0	37	1
BACasv285	-1.56013900797397	0	15	2
BACasv287	-1.77345302548796	0	9	2
BACasv288	0.110820795885648	0.461260495270486	97	2
BACasv29	0.6085535034183	0.154449121788358	83	2
BACasv290	-0.732077728859303	0	37	1
BACasv293	0.413688894118718	0.497041420118343	130	1
BACasv296	0.6085535034183	0.356698296092235	99	2
BACasv3	0.6085535034183	0.32	95	2
BACasv30	0.6085535034183	0.235537190082645	88	2
BACasv301	0.892972193436958	0.279972551710617	101	2
BACasv31	0.075268459633316	0.419077817413133	87	2
BACasv311	0.892972193436958	0.310650887573965	104	2
BACasv315	0.750762848427629	0.355029585798817	104	2
BACasv319	0.363872953989239	0.0634238108035474	61	1
BACasv32	0.363872953989239	0.49659119602727	109	1
BACasv323	0.413688894118718	0.497041420118343	130	1
BACasv324	0.715210512175297	0.214567901234568	90	2
BACasv325	-2.1767399926142	0	8	1
BACasv33	0.6085535034183	0.154449121788358	83	2
BACasv330	1.45982363683778	0.0470314994919436	83	1
BACasv336	1.45982363683778	0.0470314994919436	83	1
BACasv343	0.413688894118718	0.497041420118343	130	1
BACasv348	0.715210512175297	0.430094517958412	115	2
BACasv351	0.537448830913635	0.416145124716553	105	2
BACasv352	-0.0346545670465944	0.0377218934911243	52	1
BACasv358	1.45982363683778	0.0470314994919436	83	1
BACasv36	0.750762848427629	0.277777777777778	96	2
BACasv366	0.573001167165967	0.359225322782174	98	2
BACasv37	-1.66679601673096	0	12	2
BACasv374	-1.80900536174029	0	8	2
BACasv387	0.537448830913635	0.416145124716553	105	2
BACasv388	-0.280254902890006	0.0726237095051619	53	2
BACasv39	0.679658175922964	0.293850415512465	95	2
BACasv393	0.363872953989239	0.496364401177814	129	1
BACasv397	0.363872953989239	0.496364401177814	129	1
BACasv4	0.679658175922964	0.293850415512465	95	2
BACasv403	-1.13060524989514	0.381328073635766	39	1
BACasv409	-0.732077728859303	0	37	1
BACasv41	0.573001167165967	0.429256796565946	109	2
BACasv410	-1.06240630044132	0.120707596253902	31	2
BACasv411	0.573001167165967	0.429256796565946	109	2
BACasv417	0.750762848427629	0.355029585798817	104	2
BACasv419	0.363872953989239	0.368507560815253	78	1
BACasv42	0.573001167165967	0.322544137618832	94	2
BACasv425	1.45982363683778	0.0470314994919436	83	1
BACasv429	0.363872953989239	0.368507560815253	78	1
BACasv43	0.892972193436958	0.279972551710617	101	2
BACasv430	-0.102493221628345	0	56	2
BACasv439	0.413688894118718	0.497041420118343	130	1
BACasv44	0.430791822156639	0.352315689981096	92	2
BACasv440	0.6085535034183	0.3648	100	2
BACasv442	-0.102493221628345	0	56	2
