"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","biota","treat"
"1",0.05,0.491777777777778,0.0366518692720753,0.00366518692720753,"weighted","soil micro-food web","arable"
"2",0.1,0.458444444444444,0.0416824137845339,0.00416824137845339,"weighted","soil micro-food web","arable"
"3",0.15,0.437333333333333,0.0563582859131752,0.00563582859131752,"weighted","soil micro-food web","arable"
"4",0.2,0.427444444444444,0.0594788649729979,0.00594788649729979,"weighted","soil micro-food web","arable"
"5",0.25,0.405333333333333,0.0588682385494415,0.00588682385494415,"weighted","soil micro-food web","arable"
"6",0.3,0.368666666666667,0.0555304095728646,0.00555304095728646,"weighted","soil micro-food web","arable"
"7",0.35,0.346888888888889,0.0511150147340608,0.00511150147340608,"weighted","soil micro-food web","arable"
"8",0.4,0.325222222222222,0.0542691697548758,0.00542691697548758,"weighted","soil micro-food web","arable"
"9",0.45,0.307555555555556,0.0558997195941498,0.00558997195941498,"weighted","soil micro-food web","arable"
"10",0.5,0.278666666666667,0.0465194621277262,0.00465194621277262,"weighted","soil micro-food web","arable"
"11",0.55,0.244888888888889,0.0504851139101865,0.00504851139101865,"weighted","soil micro-food web","arable"
"12",0.6,0.220444444444444,0.0488225240817487,0.00488225240817487,"weighted","soil micro-food web","arable"
"13",0.65,0.192111111111111,0.0430272072781325,0.00430272072781325,"weighted","soil micro-food web","arable"
"14",0.7,0.164888888888889,0.0348055005808296,0.00348055005808296,"weighted","soil micro-food web","arable"
"15",0.75,0.130888888888889,0.0350504241905807,0.00350504241905807,"weighted","soil micro-food web","arable"
"16",0.8,0.116111111111111,0.0296454082566269,0.00296454082566269,"weighted","soil micro-food web","arable"
"17",0.85,0.0726666666666667,0.0289664847549239,0.00289664847549239,"weighted","soil micro-food web","arable"
"18",0.9,0.0458888888888889,0.0202031705620849,0.00202031705620849,"weighted","soil micro-food web","arable"
"19",0.95,0.018,0.014281651926278,0.0014281651926278,"weighted","soil micro-food web","arable"
"20",1,0,0,0,"weighted","soil micro-food web","arable"
"21",0.05,0.673444444444444,0.0153842580560343,0.00153842580560343,"unweighted","soil micro-food web","arable"
"22",0.1,0.633,0.0213320589780247,0.00213320589780247,"unweighted","soil micro-food web","arable"
"23",0.15,0.593,0.0229757214474742,0.00229757214474742,"unweighted","soil micro-food web","arable"
"24",0.2,0.559777777777778,0.0283731921832504,0.00283731921832504,"unweighted","soil micro-food web","arable"
"25",0.25,0.522555555555556,0.0291396780697681,0.00291396780697681,"unweighted","soil micro-food web","arable"
"26",0.3,0.486111111111111,0.0308411810924687,0.00308411810924687,"unweighted","soil micro-food web","arable"
"27",0.35,0.443777777777778,0.0333078840373382,0.00333078840373382,"unweighted","soil micro-food web","arable"
"28",0.4,0.406555555555556,0.0382982239711785,0.00382982239711785,"unweighted","soil micro-food web","arable"
"29",0.45,0.381111111111111,0.0360646770440352,0.00360646770440352,"unweighted","soil micro-food web","arable"
"30",0.5,0.335111111111111,0.040006234705526,0.0040006234705526,"unweighted","soil micro-food web","arable"
"31",0.55,0.296333333333333,0.0400789531312915,0.00400789531312915,"unweighted","soil micro-food web","arable"
"32",0.6,0.264444444444444,0.0353134292313182,0.00353134292313182,"unweighted","soil micro-food web","arable"
"33",0.65,0.226444444444444,0.0404112788128967,0.00404112788128967,"unweighted","soil micro-food web","arable"
"34",0.7,0.189555555555556,0.0338279797061379,0.00338279797061379,"unweighted","soil micro-food web","arable"
"35",0.75,0.151444444444444,0.033189175746116,0.0033189175746116,"unweighted","soil micro-food web","arable"
"36",0.8,0.120666666666667,0.0260946888204571,0.00260946888204571,"unweighted","soil micro-food web","arable"
"37",0.85,0.0773333333333333,0.0272586736871668,0.00272586736871668,"unweighted","soil micro-food web","arable"
"38",0.9,0.051,0.0213694396100025,0.00213694396100025,"unweighted","soil micro-food web","arable"
"39",0.95,0.0163333333333333,0.0149367874525922,0.00149367874525922,"unweighted","soil micro-food web","arable"
"40",1,0,0,0,"unweighted","soil micro-food web","arable"
