nodes_id	degree	modularity
BACasv1	49	3
BACasv2	50	1
BACasv3	48	1
BACasv4	48	1
BACasv5	27	3
BACasv6	50	1
BACasv8	52	1
BACasv9	52	1
BACasv10	42	1
BACasv11	43	3
BACasv12	48	3
BACasv13	40	3
BACasv15	7	3
BACasv16	45	1
BACasv17	51	1
BACasv18	21	3
BACasv19	43	1
BACasv21	57	3
BACasv22	50	3
BACasv25	43	1
BACasv26	7	3
BACasv27	51	3
BACasv28	47	1
BACasv29	46	1
BACasv30	47	1
BACasv31	38	3
BACasv32	33	3
BACasv33	46	1
BACasv36	49	1
BACasv37	12	1
BACasv39	46	1
BACasv42	50	3
BACasv46	52	1
BACasv47	22	3
BACasv49	8	3
BACasv54	42	3
BACasv66	43	1
BACasv67	30	1
BACasv70	16	1
BACasv73	36	1
BACasv89	37	1
BACasv90	48	1
BACasv91	13	1
BACasv92	50	1
BACasv96	34	1
BACasv100	25	3
BACasv101	47	1
BACasv103	34	1
BACasv110	33	1
BACasv114	5	1
BACasv123	19	3
BACasv125	48	1
BACasv126	7	3
BACasv128	54	3
BACasv129	20	1
BACasv131	38	1
BACasv142	42	1
BACasv145	50	1
BACasv148	49	3
BACasv157	9	3
BACasv160	3	3
BACasv161	29	3
BACasv173	49	1
BACasv174	20	3
BACasv176	57	3
BACasv187	54	3
BACasv188	5	3
BACasv207	49	1
BACasv211	9	3
BACasv213	25	3
BACasv231	4	3
BACasv238	20	3
BACasv267	4	3
BACasv285	15	1
BACasv288	34	1
BACasv309	7	2
BACasv324	50	1
BACasv367	29	3
BACasv388	33	1
BACasv428	20	3
BACasv472	5	3
BACasv561	8	2
BACasv562	53	1
BACasv569	8	2
BACasv637	15	3
BACasv775	7	3
BACasv800	8	2
BACasv903	8	2
BACasv962	7	2
BACasv996	8	2
