nodes_id	within_module_connectivities	among_module_connectivities	degree	modularity
BACasv1	0.0459114856565451	0.48	45	1
BACasv10	-0.00466873584566821	0.43875	40	3
BACasv100	0.87231822747436	0.142011834319527	26	1
BACasv101	0.714316584387216	0.351239669421488	44	3
BACasv103	-0.210093113055064	0.341796875	32	3
BACasv11	0.734583770504724	0.49546485260771	42	1
BACasv110	-0.415517490264459	0.404296875	32	3
BACasv114	-2.26433688514902	0	5	3
BACasv12	0.183645942626181	0.487901234567901	45	1
BACasv123	0.0459114856565451	0	18	1
BACasv125	0.817028772991913	0.345679012345679	45	3
BACasv128	0.596849313535088	0.485582057671769	53	1
BACasv129	-0.82636624468325	0	19	3
BACasv13	-0.229557428282726	0.490869247626004	37	1
BACasv142	0.50889220717782	0.342653182629387	41	3
BACasv145	0.714316584387216	0.413194444444444	48	3
BACasv148	0.459114856565452	0.4921875	48	1
BACasv157	-2.05891250793962	0	7	3
BACasv160	-2.29557428282726	0	1	1
BACasv161	1.010052684444	0.0739644970414202	26	1
BACasv17	0.50889220717782	0.4608	50	3
BACasv173	0.611604395782518	0.418288818469896	47	3
BACasv176	1.010052684444	0.495867768595041	55	1
BACasv18	-0.367291885252362	0.207612456747405	17	1
BACasv187	0.734583770504724	0.493343195266272	52	1
BACasv19	-0.00466873584566821	0.449732302201071	41	3
BACasv2	0.50889220717782	0.434585785423268	47	3
BACasv207	0.611604395782518	0.418288818469896	47	3
BACasv208	0.165159579958763	0	11	2
BACasv21	1.010052684444	0.495867768595041	55	1
BACasv211	-1.74463645494872	0	5	1
BACasv213	0.87231822747436	0.142011834319527	26	1
BACasv22	0.459114856565452	0.4921875	48	1
BACasv221	-1.54535156491613	0	12	3
BACasv242	-2.16162469654432	0	6	3
BACasv25	0.406180018573123	0.34875	40	3
BACasv26	-1.88237091191836	0	4	1
BACasv27	0.734583770504724	0.4968	50	1
BACasv271	0.165159579958763	0	11	2
BACasv28	0.919740961596611	0.32	45	3
BACasv287	-2.26433688514902	0	5	3
BACasv29	0.0980434527590295	0.433075550267698	41	3
BACasv3	0.0980434527590295	0.462809917355372	44	3
BACasv30	0.200755641363727	0.427437641723356	42	3
BACasv300	-3.2701596831835	0	3	2
BACasv302	0.594574487851546	0	12	2
BACasv306	0.165159579958763	0	11	2
BACasv31	0.321380399595817	0.489795918367347	35	1
BACasv32	0.321380399595817	0.444444444444444	30	1
BACasv324	0.817028772991913	0.363894139886578	46	3
BACasv33	0.0980434527590295	0.433075550267698	41	3
BACasv36	0.919740961596611	0.32	45	3
BACasv367	0.87231822747436	0.244897959183674	28	1
BACasv37	-1.64806375352083	0	11	3
BACasv374	-1.74463645494872	0.408163265306122	7	1
BACasv388	0.303467829968425	0.1171875	32	3
BACasv389	0.165159579958763	0	11	2
BACasv39	0.611604395782518	0.356949702541914	43	3
BACasv4	0.611604395782518	0.405482041587902	46	3
BACasv42	0.321380399595817	0.491493383742911	46	1
BACasv428	0.321380399595817	0	20	1
BACasv46	1.12516533880601	0.3648	50	3
BACasv47	-0.505026342221998	0.38781163434903	19	1
BACasv489	0.165159579958763	0	11	2
BACasv5	-0.367291885252362	0.488165680473373	26	1
BACasv54	0.734583770504724	0.492563950029744	41	1
BACasv562	0.50889220717782	0.467512495194156	51	3
BACasv6	0.817028772991913	0.363894139886578	46	3
BACasv637	-0.367291885252362	0	15	1
BACasv66	0.50889220717782	0.32	40	3
BACasv67	-0.312805301659761	0.285374554102259	29	3
BACasv672	-2.15783982585763	0.444444444444444	3	1
BACasv673	0.594574487851546	0	12	2
BACasv70	-1.64806375352083	0.391111111111111	15	3
BACasv73	0.200755641363727	0.313271604938272	36	3
BACasv750	0.165159579958763	0	11	2
BACasv8	1.02245315020131	0.353298611111111	48	3
BACasv835	0.165159579958763	0	11	2
BACasv872	0.165159579958763	0	11	2
BACasv89	0.303467829968425	0.277777777777778	36	3
BACasv890	0.594574487851546	0	12	2
BACasv9	1.12516533880601	0.3648	50	3
BACasv90	0.611604395782518	0.418288818469896	47	3
BACasv91	-1.54535156491613	0	12	3
BACasv92	0.817028772991913	0.363894139886578	46	3
BACasv96	-0.210093113055064	0.367309458218549	33	3
BACasv997	0.165159579958763	0	11	2
