ASVID	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4
FUNasv1	0.136777569	0.178543987	0.186404871	0.17243255	0.118539512	0.123842399	0.228045002	0.171741982
FUNasv2	0.033939769	0.017989779	0.012799801	0.014009767	0.003712626	0.006010032	0.002120581	0.000798855
FUNasv3	0.025082877	0.020599822	0.038827444	0.059097283	0.018638704	0.018421082	0.022399431	0.022904495
FUNasv4	0.06524344	0.031820566	0.058144512	0.078764143	0.092173256	0.050649597	0.125126981	0.072743532
FUNasv5	0.022017414	0.010049884	0.006241111	0.007953776	0.001634311	0.001552778	0.002171373	0.000524621
FUNasv6	0.063935376	0.068617287	0.10579512	0.106445218	0.025648292	0.050537887	0.042792564	0.037581972
FUNasv7	0.030305148	0.037418741	0.084627812	0.07844986	0.01282887	0.046035948	0.048633685	0.025730297
FUNasv8	0.044863602	0.050493347	0.04992889	0.044168842	0.058816305	0.033133371	0.0352372	0.054012162
FUNasv9	0.001977074	0.000536644	0.000110462	0.00010879	0.0003023	0.00021225	0.000292056	0.000250388
FUNasv10	0.002356512	0.001439182	0.000441849	0.000568127	0.000510132	0.000402158	0.000672999	0.001454632
FUNasv11	0	0	0.000662773	0.000290107	0.042407066	0.203436219	0.015974197	0.026731847
FUNasv12	0.032501897	0.018587406	0.015989396	0.022096509	0.003145813	0.003943385	0.002095185	0.004363897
FUNasv13	0.002206734	0.000487858	0.000110462	8.46E-05	0.00012281	0	0	0
FUNasv14	0.012211926	0.009805954	0.004611795	0.006406537	0.001058051	0.001117106	0.00139679	0.000321927
FUNasv15	0.037614331	0.028576307	0.000138078	0.000169229	0.00012281	0.010154496	0.122612759	0.001168475
FUNasv16	0.000519232	0.000865949	0.002678707	0.001232956	0.003372538	0.004859412	0.001079338	0.000274234
FUNasv17	0.023055877	0.041370394	0.017673943	0.013985591	0.01267772	0.010288549	0.010806075	0.025360677
FUNasv18	0.000289571	0	0.000207117	0.000350546	0.000387322	0	0	0
FUNasv19	0.001068419	0.000182947	0	9.67E-05	0.00015115	0.000167566	6.35E-05	0.009502802
FUNasv20	0.005481887	0.000597627	0.000179501	0.000290107	0.000906901	0.000223421	0.000126981	0.000286157
FUNasv21	0.008697128	0.003707724	0.000828466	0.000942849	0.010996174	0.00178737	0.000520622	0.002229641
FUNasv22	0.021578064	0.020099767	0.005536915	0.005173581	0.003429219	0.001921423	0.00359356	0.011958984
FUNasv23	0.028667572	0.036833311	0.015878933	0.011519679	0.029266449	0.008076678	0.002907863	0.011827829
FUNasv24	0.000968567	0.001073289	0.001366969	0.001402185	0.049756743	0.005831295	0.003453881	0.032931918
FUNasv25	0.00181731	0.000561037	0	0	0.000330641	0.000189908	0	0
FUNasv26	0.021747813	0.019453355	0.017839637	0.028744802	0.031854896	0.022889507	0.021193113	0.021473709
FUNasv27	0.014328793	0.011745192	0.014014885	0.015980079	0.012573804	0.043176156	0.014729785	0.024382974
FUNasv28	0.001318049	0.096181288	0.00760808	0.006575766	0.000585707	0.000323961	0.00146028	0.000453082
FUNasv29	0.000649039	0.000451269	0.000262348	0.000265932	0.004799018	0.05877096	0.006044291	0.010397043
FUNasv30	0.025751887	0.0258443	0.013780153	0.009525191	0.000292853	0.000804316	0.000736489	0.000918088
FUNasv31	0.000279586	0.000280519	0	3.63E-05	0.033980445	0.001943765	0.004761784	0.003314654
FUNasv32	0.002186764	0.001085485	0.000593734	0.000713181	0.000188938	0.00010054	0.000215868	0
FUNasv33	0.00470304	0.00179288	0.000828466	0.00126922	0.000358982	0	0	0
FUNasv34	0.02027	0.019416765	0.003797136	0.005028527	0.001350905	0.000904856	0.000571414	0.000441159
FUNasv35	0.004423453	0.003793099	0.00229209	0.004315347	0.000113363	0	0.000101585	0
FUNasv36	0.001707473	0.001146467	0.001035583	0.000979112	0.000557366	0.000480356	0.000177773	0.00100155
FUNasv37	0.004143867	0.00337842	0.006475843	0.004085678	0.006017666	0.006702637	0.029129419	0.016597115
FUNasv38	0.00336502	0.002219756	0.003382903	0.003324147	0.001020264	0.001284672	0.000812678	0.000727316
FUNasv39	0.047929065	0.051383688	0.059442442	0.053536892	0.049388314	0.061418502	0.058563592	0.103469655
FUNasv40	0.001977074	0.001475772	0.001988319	0.002888986	0.000113363	0.000167566	0.000507924	0
FUNasv41	0.006360586	0.004524887	0.008491777	0.010202108	0.004402248	0.008177218	0.014831369	0.049159413
FUNasv42	0.014149059	0.010818261	0.015381854	0.015158109	0.032091068	0.011517365	0.00737759	0.0180279
FUNasv43	0.00562168	0.007183715	0.009927785	0.00958563	0.002427849	0.007719204	0.007936306	0.00463813
FUNasv44	0.000539202	0.000390287	0.003410519	0.0014868	0.015606254	0.006970743	0.017637647	0.007797782
FUNasv45	0.003794384	0.002975936	0.001311738	0.002127454	0	0.000882514	0.001307903	0
FUNasv46	0.00179734	0.002256345	0.001146045	0.001571415	0.0003023	0.000938369	0.000761885	0.002897341
FUNasv47	0.006759995	0.007159322	0.007152424	0.011024079	0.002664022	0.014332473	0.009675945	0.013437463
FUNasv48	0.000888685	0.000536644	0	8.46E-05	6.61E-05	0	0	0
FUNasv49	0.00361465	0.002658828	0.001325546	0.002006576	0	0.000134053	0	0
FUNasv50	0.000469305	0	0	0	8.50E-05	0.000145224	0	0
FUNasv51	0.000499261	0.00017075	0.001311738	0.00209119	0.006990695	0.020789347	0.003187221	0.002921188
FUNasv52	0.01034469	0.0134405	0.01763252	0.023099797	0.048368051	0.025659931	0.025840614	0.027566472
FUNasv53	0.010264808	0.006366552	0.012772186	0.007434001	0.001615417	0.002088989	0.000622206	0.016477882
FUNasv54	0	0.000231733	0.012233683	0.003783483	0	0.002547002	3.81E-05	0.027721474
FUNasv55	0.001278108	0.000463466	0.000856082	0.000979112	0.000160597	0.000323961	0.00026666	0
FUNasv56	0.001258138	0.000707395	0.000787043	0.000326371	0.031420339	0.000849001	0.00053332	0.002480029
FUNasv57	0.000419379	0	0	0	0	0	0	0
FUNasv58	0.004423453	0.003695528	0.005868302	0.004049415	0.003523688	0.002580515	0.002184072	0.008405866
FUNasv59	0.001547709	0.001109878	0.001532662	0.002018664	0.001209201	0.001005396	0.001765035	0.000178848
FUNasv60	0.000329512	0.00017075	0	0.000132966	0.018695385	0	0	0.011637057
FUNasv61	0.001687502	0.0027564	0.003451942	0.003614254	0.005375278	0.005339768	0.003301503	0.006915464
FUNasv62	0.004842833	0.003732117	0.00309294	0.004194469	0.0003023	0.000335132	0.000469829	0.000894241
FUNasv63	0.004193793	0.001744094	0.001960703	0.0019824	0.001020264	0.000770803	0.000152377	0.000226541
FUNasv64	0.00204697	0.003475991	0.002941055	0.002925249	0.001983846	0.017851358	0.000355547	0.00166925
FUNasv65	0.000509246	0	0.000193309	0	0	0.000256934	0.000622206	0
FUNasv66	0	0	0	0.000157141	0.00012281	0.000458014	0.000520622	2.38E-05
FUNasv67	0	0	0.000690388	0	0.046535355	0.001396383	0.000253962	0.000107309
FUNasv68	0.007279227	0.006549499	0.007635696	0.004013152	0.002210571	0.001038909	0	0.000608084
FUNasv69	0.001507769	0.000219536	0	0	0	0	0	0
FUNasv70	0	0	0	0	0	0	0	0
FUNasv71	0.003105404	0.002195363	0.00179501	0.00209119	0	0	0	0
FUNasv72	0.002815833	0.000731788	0.001656932	0.000918673	0.00145482	0.006792006	0.000584112	0.000405389
FUNasv73	0.000698966	0.000280519	0	0	0.000160597	0	8.89E-05	3.58E-05
FUNasv74	0.000359468	0	0	0	0	0	0	0
FUNasv75	0.00179734	0.003634545	0.004791296	0.005330722	0.004090501	0.006389848	0.007364892	0.007583164
FUNasv76	0.002096897	0.002792989	0.019607031	0.011096606	0.003448113	0.005920663	0.004507822	0.006927388
FUNasv77	0.008497424	0.007903306	0.0014222	0.000954937	0.00027396	0.000759632	0.000546018	0.002933111
FUNasv78	0.00091864	0.000707395	0.000510887	0.000531863	0	0	0	0
FUNasv79	0.000109837	0	0	0	0	0	0	0
