ASVID	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4	Class	Abundance
FUNasv2	0.033939769	0.017989779	0.012799801	0.014009767	0.003712626	0.006010032	0.002120581	0.000798855	Sordariomycetes	0.011422651
FUNasv5	0.022017414	0.010049884	0.006241111	0.007953776	0.001634311	0.001552778	0.002171373	0.000524621	Mortierellomycetes	0.006518159
FUNasv6	0.063935376	0.068617287	0.10579512	0.106445218	0.025648292	0.050537887	0.042792564	0.037581972	Eurotiomycetes	0.062669215
FUNasv7	0.030305148	0.037418741	0.084627812	0.07844986	0.01282887	0.046035948	0.048633685	0.025730297	Sordariomycetes	0.045503795
FUNasv9	0.001977074	0.000536644	0.000110462	0.00010879	0.0003023	0.00021225	0.000292056	0.000250388	Sordariomycetes	0.000473746
FUNasv10	0.002356512	0.001439182	0.000441849	0.000568127	0.000510132	0.000402158	0.000672999	0.001454632	Sordariomycetes	0.000980699
FUNasv11	0	0	0.000662773	0.000290107	0.042407066	0.203436219	0.015974197	0.026731847	Sordariomycetes	0.036187776
FUNasv12	0.032501897	0.018587406	0.015989396	0.022096509	0.003145813	0.003943385	0.002095185	0.004363897	Mortierellomycetes	0.012840436
FUNasv13	0.002206734	0.000487858	0.000110462	8.46E-05	0.00012281	0	0	0	Sordariomycetes	0.00037656
FUNasv14	0.012211926	0.009805954	0.004611795	0.006406537	0.001058051	0.001117106	0.00139679	0.000321927	Mortierellomycetes	0.004616261
FUNasv16	0.000519232	0.000865949	0.002678707	0.001232956	0.003372538	0.004859412	0.001079338	0.000274234	Sordariomycetes	0.001860296
FUNasv17	0.023055877	0.041370394	0.017673943	0.013985591	0.01267772	0.010288549	0.010806075	0.025360677	Dothideomycetes	0.019402353
FUNasv18	0.000289571	0	0.000207117	0.000350546	0.000387322	0	0	0	Dothideomycetes	0.00015432
FUNasv20	0.005481887	0.000597627	0.000179501	0.000290107	0.000906901	0.000223421	0.000126981	0.000286157	Sordariomycetes	0.001011573
FUNasv24	0.000968567	0.001073289	0.001366969	0.001402185	0.049756743	0.005831295	0.003453881	0.032931918	Sordariomycetes	0.012098106
FUNasv27	0.014328793	0.011745192	0.014014885	0.015980079	0.012573804	0.043176156	0.014729785	0.024382974	Eurotiomycetes	0.018866458
FUNasv29	0.000649039	0.000451269	0.000262348	0.000265932	0.004799018	0.05877096	0.006044291	0.010397043	Saccharomycetes	0.010204987
FUNasv30	0.025751887	0.0258443	0.013780153	0.009525191	0.000292853	0.000804316	0.000736489	0.000918088	Dothideomycetes	0.00970666
FUNasv31	0.000279586	0.000280519	0	3.63E-05	0.033980445	0.001943765	0.004761784	0.003314654	Basidiomycota	0.005574627
FUNasv32	0.002186764	0.001085485	0.000593734	0.000713181	0.000188938	0.00010054	0.000215868	0	Sordariomycetes	0.000635563
FUNasv33	0.00470304	0.00179288	0.000828466	0.00126922	0.000358982	0	0	0	Sordariomycetes	0.001119073
FUNasv34	0.02027	0.019416765	0.003797136	0.005028527	0.001350905	0.000904856	0.000571414	0.000441159	Dothideomycetes	0.006472595
FUNasv35	0.004423453	0.003793099	0.00229209	0.004315347	0.000113363	0	0.000101585	0	Sordariomycetes	0.001879867
FUNasv36	0.001707473	0.001146467	0.001035583	0.000979112	0.000557366	0.000480356	0.000177773	0.00100155	Sordariomycetes	0.00088571
FUNasv38	0.00336502	0.002219756	0.003382903	0.003324147	0.001020264	0.001284672	0.000812678	0.000727316	Dothideomycetes	0.002017094
FUNasv40	0.001977074	0.001475772	0.001988319	0.002888986	0.000113363	0.000167566	0.000507924	0	Sordariomycetes	0.001139875
FUNasv41	0.006360586	0.004524887	0.008491777	0.010202108	0.004402248	0.008177218	0.014831369	0.049159413	Tremellomycetes	0.013268701
FUNasv43	0.00562168	0.007183715	0.009927785	0.00958563	0.002427849	0.007719204	0.007936306	0.00463813	Eurotiomycetes	0.006880038
FUNasv44	0.000539202	0.000390287	0.003410519	0.0014868	0.015606254	0.006970743	0.017637647	0.007797782	Leotiomycetes	0.006729904
FUNasv45	0.003794384	0.002975936	0.001311738	0.002127454	0	0.000882514	0.001307903	0	Sordariomycetes	0.001549991
FUNasv49	0.00361465	0.002658828	0.001325546	0.002006576	0	0.000134053	0	0	Sordariomycetes	0.001217457
FUNasv51	0.000499261	0.00017075	0.001311738	0.00209119	0.006990695	0.020789347	0.003187221	0.002921188	Leotiomycetes	0.004745174
FUNasv52	0.01034469	0.0134405	0.01763252	0.023099797	0.048368051	0.025659931	0.025840614	0.027566472	unidentified	0.023994072
FUNasv53	0.010264808	0.006366552	0.012772186	0.007434001	0.001615417	0.002088989	0.000622206	0.016477882	Sordariomycetes	0.007205255
FUNasv54	0	0.000231733	0.012233683	0.003783483	0	0.002547002	3.81E-05	0.027721474	Agaricomycetes	0.005819434
FUNasv55	0.001278108	0.000463466	0.000856082	0.000979112	0.000160597	0.000323961	0.00026666	0	Tremellomycetes	0.000540998
FUNasv57	0.000419379	0	0	0	0	0	0	0	Eurotiomycetes	5.24E-05
FUNasv58	0.004423453	0.003695528	0.005868302	0.004049415	0.003523688	0.002580515	0.002184072	0.008405866	Eurotiomycetes	0.004341355
FUNasv62	0.004842833	0.003732117	0.00309294	0.004194469	0.0003023	0.000335132	0.000469829	0.000894241	Sordariomycetes	0.002232983
FUNasv63	0.004193793	0.001744094	0.001960703	0.0019824	0.001020264	0.000770803	0.000152377	0.000226541	Dothideomycetes	0.001506372
FUNasv66	0	0	0	0.000157141	0.00012281	0.000458014	0.000520622	2.38E-05	Sordariomycetes	0.000160304
FUNasv67	0	0	0.000690388	0	0.046535355	0.001396383	0.000253962	0.000107309	Agaricomycetes	0.006122925
FUNasv68	0.007279227	0.006549499	0.007635696	0.004013152	0.002210571	0.001038909	0	0.000608084	Sordariomycetes	0.003666892
FUNasv69	0.001507769	0.000219536	0	0	0	0	0	0	Dothideomycetes	0.000215913
FUNasv71	0.003105404	0.002195363	0.00179501	0.00209119	0	0	0	0	Sordariomycetes	0.001148371
FUNasv73	0.000698966	0.000280519	0	0	0.000160597	0	8.89E-05	3.58E-05	Orbiliomycetes	0.000158092
FUNasv74	0.000359468	0	0	0	0	0	0	0	Dothideomycetes	4.49E-05
FUNasv75	0.00179734	0.003634545	0.004791296	0.005330722	0.004090501	0.006389848	0.007364892	0.007583164	Sordariomycetes	0.005122789
FUNasv76	0.002096897	0.002792989	0.019607031	0.011096606	0.003448113	0.005920663	0.004507822	0.006927388	Eurotiomycetes	0.007049689
FUNasv78	0.00091864	0.000707395	0.000510887	0.000531863	0	0	0	0	Mortierellomycetes	0.000333598
FUNasv79	0.000109837	0	0	0	0	0	0	0	Sordariomycetes	1.37E-05
FUNasv81	0.007578783	0.003122294	0.01157091	0.008606518	0.001350905	0.000256934	0	0.001120782	Dothideomycetes	0.004200891
FUNasv82	0.000429365	0	0	0	0	0	0	0	Agaricomycetes	5.37E-05
FUNasv83	0.00020969	9.76E-05	0	0	0	0	0	0	Eurotiomycetes	3.84E-05
FUNasv85	0.00110836	0.00037809	0.000317579	0.00109999	0	0.000134053	0.000126981	0.000357696	Eurotiomycetes	0.000440344
FUNasv86	0.001078404	0.000975717	0.001684548	0.001523064	0.0003023	0.000111711	8.89E-05	0	Sordariomycetes	0.000720579
FUNasv87	0.000589128	0.001927041	0.001532662	0.0019824	0	0.000290448	0.000380943	0.000202695	Sordariomycetes	0.000863165
FUNasv88	0.004133882	0.004488297	0.003603828	0.004170293	0	7.82E-05	0	0.000262311	Mortierellomycetes	0.002092101
FUNasv89	0.000379438	0.000426876	0.000787043	0.000531863	0.000793538	0.00073729	0.014640898	0.003481579	Eurotiomycetes	0.002722316
FUNasv91	0.00200703	0.000609823	0.001228891	0.001015376	0.012894998	0.003865188	0.006742686	0.006867772	Sordariomycetes	0.00440397
FUNasv92	0.001777369	0.001305021	0.001449816	0.002067015	0.000188938	0	0	7.15E-05	Sordariomycetes	0.000857462
FUNasv93	0.001917163	0.000878145	0.000911313	0.001293395	0	0	0	0	Sordariomycetes	0.000625002
FUNasv94	0	0	0	0.000217581	0	0	0	0	Sordariomycetes	2.72E-05
FUNasv98	0.002516276	0.002036809	0.00526076	0.003239532	0.00045345	0.000714948	0.001320601	0.00129963	Dothideomycetes	0.002105251
FUNasv100	0.000149778	7.32E-05	0	0.000120878	0	0	0	0	Agaricomycetes	4.30E-05
FUNasv101	0.002376483	0.000353697	0.000165693	0.000326371	8.50E-05	0.00010054	0.000152377	0.000166925	Sordariomycetes	0.000465888
FUNasv102	0.004273675	0.001439182	0.001822625	0.00159559	0.000736857	0.00083783	0.000571414	0.001025396	Dothideomycetes	0.001537821
FUNasv103	0.000299557	0.00020734	0.000138078	0.000314283	0.001369798	0.000971882	0.001079338	0.000596161	unidentified	0.000622055
FUNasv106	0.000299557	0.000317108	0.000704196	0.001329659	0	0	0	0	Sordariomycetes	0.000331315
FUNasv107	0.000998522	0.000317108	0.000897505	0.000616478	0	0	0	0	Sordariomycetes	0.000353702
FUNasv108	0.000219675	0	0	0	0	0	0	0	Sordariomycetes	2.75E-05
FUNasv110	0.000758877	0.000219536	0	0	0	0	0	0	Sordariomycetes	0.000122302
FUNasv111	0.00045932	0.00020734	0	0	0	0	0	0	Eurotiomycetes	8.33E-05
FUNasv112	0.001427887	0.000512251	0.001201276	0.001438449	0.000311747	0	0	0	Sordariomycetes	0.000611451
FUNasv113	0.000249631	0.000134161	0	0	0	0	0	0	Dothideomycetes	4.80E-05
FUNasv114	4.99E-05	0	0	0.00038681	0	0	0	0	Dothideomycetes	5.46E-05
FUNasv115	0.001517754	0.000353697	0	3.63E-05	0	0	0	0	Sordariomycetes	0.000238464
FUNasv117	0.001777369	0.003305241	0.003935214	0.004339522	0	0	0	0	Pezizomycetes	0.001669668
FUNasv118	0.000449335	0.000304912	6.90E-05	6.04E-05	0	0	0	0	Dothideomycetes	0.000110466
FUNasv119	0.000659025	0.000219536	0.001242699	0.000725268	0.000604601	0	0	0.000405389	Ascomycota	0.000482065
FUNasv120	0.00045932	0.00017075	0.000635157	0.001075815	0	0	0	0	Sordariomycetes	0.00029263
FUNasv121	0.000389424	0.000146358	0	0	0	0	0	0	Dothideomycetes	6.70E-05
FUNasv122	0.000768862	0.001988023	0.002568245	0.002828547	0	0	0	0.000166925	Tremellomycetes	0.001040075
FUNasv123	0.000409394	0.000195143	0.000220924	0.000374722	0	0	0	0	Sordariomycetes	0.000150023
FUNasv124	0.001038463	0.000500055	0.00012427	0.000193405	0	0	0	0	Dothideomycetes	0.000232024
FUNasv125	0.000359468	0.000353697	0.000276155	0.000447249	0	0	0	0	Mortierellomycetes	0.000179571
FUNasv127	0.001837281	0.000743984	0.000110462	0.000241756	0	0	0	0	Mortierellomycetes	0.000366685
FUNasv128	0.003744458	0.000634216	0.000207117	0.000157141	0	0	0	0	Orbiliomycetes	0.000592867
FUNasv129	0.000389424	0.000390287	6.90E-05	0.000193405	0	0	0	0	Eurotiomycetes	0.000130269
