,Proportion.removed,remain.mean,remain.sd,remain.se,weighted,biota,treat
1,0.05,0.657931034,0.039954426,0.003995443,weighted,soil micro-food web,arable
2,0.1,0.634778325,0.059374041,0.005937404,weighted,soil micro-food web,arable
3,0.15,0.591921182,0.069301352,0.006930135,weighted,soil micro-food web,arable
4,0.2,0.558817734,0.075323474,0.007532347,weighted,soil micro-food web,arable
5,0.25,0.5208867,0.07737908,0.007737908,weighted,soil micro-food web,arable
6,0.3,0.484630542,0.071450548,0.007145055,weighted,soil micro-food web,arable
7,0.35,0.459852217,0.080821105,0.008082111,weighted,soil micro-food web,arable
8,0.4,0.414926108,0.076015181,0.007601518,weighted,soil micro-food web,arable
9,0.45,0.371330049,0.071023882,0.007102388,weighted,soil micro-food web,arable
10,0.5,0.345221675,0.066709671,0.006670967,weighted,soil micro-food web,arable
11,0.55,0.295320197,0.06268886,0.006268886,weighted,soil micro-food web,arable
12,0.6,0.264236453,0.064743717,0.006474372,weighted,soil micro-food web,arable
13,0.65,0.237192118,0.063167966,0.006316797,weighted,soil micro-food web,arable
14,0.7,0.199704433,0.054331391,0.005433139,weighted,soil micro-food web,arable
15,0.75,0.167931034,0.044980429,0.004498043,weighted,soil micro-food web,arable
16,0.8,0.132216749,0.037761768,0.003776177,weighted,soil micro-food web,arable
17,0.85,0.094137931,0.029381103,0.00293811,weighted,soil micro-food web,arable
18,0.9,0.06226601,0.020882343,0.002088234,weighted,soil micro-food web,arable
19,0.95,0.031921182,0.013549263,0.001354926,weighted,soil micro-food web,arable
20,1,0,0,0,weighted,soil micro-food web,arable
21,0.05,0.81773399,0.007343409,0.000734341,unweighted,soil micro-food web,arable
22,0.1,0.775073892,0.009857689,0.000985769,unweighted,soil micro-food web,arable
23,0.15,0.731428571,0.010835176,0.001083518,unweighted,soil micro-food web,arable
24,0.2,0.683596059,0.011920426,0.001192043,unweighted,soil micro-food web,arable
25,0.25,0.641871921,0.013959502,0.00139595,unweighted,soil micro-food web,arable
26,0.3,0.598029557,0.012327704,0.00123277,unweighted,soil micro-food web,arable
27,0.35,0.557044335,0.014814439,0.001481444,unweighted,soil micro-food web,arable
28,0.4,0.51320197,0.014321444,0.001432144,unweighted,soil micro-food web,arable
29,0.45,0.470837438,0.015084974,0.001508497,unweighted,soil micro-food web,arable
30,0.5,0.421231527,0.013385731,0.001338573,unweighted,soil micro-food web,arable
31,0.55,0.379162562,0.015138096,0.00151381,unweighted,soil micro-food web,arable
32,0.6,0.335517241,0.012023615,0.001202362,unweighted,soil micro-food web,arable
33,0.65,0.292463054,0.012998512,0.001299851,unweighted,soil micro-food web,arable
34,0.7,0.250098522,0.013152233,0.001315223,unweighted,soil micro-food web,arable
35,0.75,0.207980296,0.011495959,0.001149596,unweighted,soil micro-food web,arable
36,0.8,0.164679803,0.011054098,0.00110541,unweighted,soil micro-food web,arable
37,0.85,0.119852217,0.008432721,0.000843272,unweighted,soil micro-food web,arable
38,0.9,0.080147783,0.009389936,0.000938994,unweighted,soil micro-food web,arable
39,0.95,0.035369458,0.009004153,0.000900415,unweighted,soil micro-food web,arable
40,1,0,0,0,unweighted,soil micro-food web,arable
