"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","biota","treat"
"1",0.05,0.618471337579618,0.0440589804041021,0.00440589804041021,"weighted","soil micro-food web","arable"
"2",0.1,0.584331210191083,0.054428839137578,0.0054428839137578,"weighted","soil micro-food web","arable"
"3",0.15,0.562101910828025,0.0619617357682408,0.00619617357682409,"weighted","soil micro-food web","arable"
"4",0.2,0.514012738853503,0.0927557176236629,0.00927557176236629,"weighted","soil micro-food web","arable"
"5",0.25,0.484522292993631,0.088369914304753,0.00883699143047529,"weighted","soil micro-food web","arable"
"6",0.3,0.459299363057325,0.0865502549275928,0.00865502549275928,"weighted","soil micro-food web","arable"
"7",0.35,0.399872611464968,0.0918771480311115,0.00918771480311115,"weighted","soil micro-food web","arable"
"8",0.4,0.375859872611465,0.0862115308854074,0.00862115308854074,"weighted","soil micro-food web","arable"
"9",0.45,0.346624203821656,0.0858145914066572,0.00858145914066572,"weighted","soil micro-food web","arable"
"10",0.5,0.319554140127389,0.0823686412435221,0.00823686412435221,"weighted","soil micro-food web","arable"
"11",0.55,0.264777070063694,0.0761121259350354,0.00761121259350354,"weighted","soil micro-food web","arable"
"12",0.6,0.248471337579618,0.0638709189031352,0.00638709189031352,"weighted","soil micro-food web","arable"
"13",0.65,0.208980891719745,0.061950623821507,0.0061950623821507,"weighted","soil micro-food web","arable"
"14",0.7,0.177643312101911,0.0579391547958624,0.00579391547958624,"weighted","soil micro-food web","arable"
"15",0.75,0.14828025477707,0.0457166765065263,0.00457166765065263,"weighted","soil micro-food web","arable"
"16",0.8,0.110445859872611,0.0409418783575868,0.00409418783575868,"weighted","soil micro-food web","arable"
"17",0.85,0.0885987261146497,0.0327053507451611,0.00327053507451611,"weighted","soil micro-food web","arable"
"18",0.9,0.0588535031847134,0.022306684153847,0.0022306684153847,"weighted","soil micro-food web","arable"
"19",0.95,0.0287898089171975,0.0139217860898342,0.00139217860898342,"weighted","soil micro-food web","arable"
"20",1,0,0,0,"weighted","soil micro-food web","arable"
"21",0.05,0.751019108280255,0.0119107746973647,0.00119107746973647,"unweighted","soil micro-food web","arable"
"22",0.1,0.711464968152866,0.0158494058930847,0.00158494058930847,"unweighted","soil micro-food web","arable"
"23",0.15,0.67140127388535,0.0178577020707196,0.00178577020707196,"unweighted","soil micro-food web","arable"
"24",0.2,0.636178343949045,0.0199636961918155,0.00199636961918155,"unweighted","soil micro-food web","arable"
"25",0.25,0.596178343949045,0.0183534899805878,0.00183534899805878,"unweighted","soil micro-food web","arable"
"26",0.3,0.55515923566879,0.0168085785742211,0.00168085785742211,"unweighted","soil micro-food web","arable"
"27",0.35,0.513821656050955,0.0175325557246654,0.00175325557246654,"unweighted","soil micro-food web","arable"
"28",0.4,0.473057324840764,0.0211124829055775,0.00211124829055775,"unweighted","soil micro-food web","arable"
"29",0.45,0.434394904458599,0.0190760843089841,0.00190760843089841,"unweighted","soil micro-food web","arable"
"30",0.5,0.400191082802548,0.0177185556072499,0.00177185556072499,"unweighted","soil micro-food web","arable"
"31",0.55,0.358152866242038,0.0186602782328861,0.00186602782328861,"unweighted","soil micro-food web","arable"
"32",0.6,0.317707006369427,0.0189095154508164,0.00189095154508164,"unweighted","soil micro-food web","arable"
"33",0.65,0.276305732484076,0.0166385207938509,0.00166385207938509,"unweighted","soil micro-food web","arable"
"34",0.7,0.237643312101911,0.0154353516853824,0.00154353516853824,"unweighted","soil micro-food web","arable"
"35",0.75,0.196624203821656,0.0147277973502585,0.00147277973502585,"unweighted","soil micro-food web","arable"
"36",0.8,0.154331210191083,0.0136054403578874,0.00136054403578874,"unweighted","soil micro-food web","arable"
"37",0.85,0.117834394904459,0.0131348100990921,0.00131348100990921,"unweighted","soil micro-food web","arable"
"38",0.9,0.0752866242038217,0.0132553097694862,0.00132553097694862,"unweighted","soil micro-food web","arable"
"39",0.95,0.0353503184713376,0.00846235699244852,0.000846235699244852,"unweighted","soil micro-food web","arable"
"40",1,0,0,0,"unweighted","soil micro-food web","arable"
