nodes_id	degree	modularity
FUNasv2	36	4
FUNasv5	40	4
FUNasv6	33	2
FUNasv7	9	2
FUNasv9	4	5
FUNasv10	5	3
FUNasv11	41	3
FUNasv12	51	4
FUNasv13	24	4
FUNasv14	43	4
FUNasv16	4	3
FUNasv17	20	3
FUNasv18	4	4
FUNasv20	4	4
FUNasv24	44	2
FUNasv27	4	4
FUNasv29	30	4
FUNasv30	46	3
FUNasv32	40	4
FUNasv33	40	4
FUNasv34	38	4
FUNasv35	40	4
FUNasv36	37	3
FUNasv38	32	4
FUNasv40	37	4
FUNasv41	6	5
FUNasv43	9	2
FUNasv51	44	3
FUNasv52	44	4
FUNasv53	14	3
FUNasv58	15	3
FUNasv62	47	3
FUNasv63	37	4
FUNasv66	18	3
FUNasv67	20	3
FUNasv68	38	4
FUNasv73	5	5
FUNasv75	22	4
FUNasv76	3	5
FUNasv86	31	4
FUNasv89	27	4
FUNasv92	40	4
FUNasv98	40	2
FUNasv101	36	3
FUNasv102	53	3
FUNasv103	42	3
FUNasv112	39	4
FUNasv119	17	4
FUNasv132	36	4
FUNasv139	16	4
FUNasv140	8	4
FUNasv143	56	3
FUNasv146	28	4
FUNasv155	10	1
FUNasv156	31	4
FUNasv158	18	4
FUNasv163	40	2
FUNasv166	7	3
FUNasv169	45	4
FUNasv182	40	3
FUNasv186	37	3
FUNasv192	28	4
FUNasv203	20	3
FUNasv204	15	2
FUNasv207	41	4
FUNasv211	5	5
FUNasv214	46	3
FUNasv224	39	3
FUNasv229	44	4
FUNasv249	4	4
FUNasv254	45	4
FUNasv257	7	3
FUNasv269	49	4
FUNasv276	9	5
FUNasv277	37	3
FUNasv291	35	3
FUNasv296	54	4
FUNasv301	42	4
FUNasv309	22	2
FUNasv310	22	3
FUNasv313	10	1
FUNasv317	24	3
FUNasv325	23	3
FUNasv329	10	1
FUNasv330	5	5
FUNasv334	4	4
FUNasv340	17	2
FUNasv361	17	2
FUNasv364	35	3
FUNasv370	3	3
FUNasv378	4	4
FUNasv379	22	3
FUNasv394	10	1
FUNasv403	10	1
FUNasv406	10	2
FUNasv418	15	2
FUNasv419	32	3
FUNasv427	6	2
FUNasv477	10	1
FUNasv485	32	3
FUNasv501	22	3
FUNasv514	15	2
FUNasv515	32	3
FUNasv544	35	3
FUNasv568	10	1
