"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","biota","treat"
"1",0.05,0.315,0.0650824445827556,0.00650824445827556,"weighted","soil micro-food web","arable"
"2",0.1,0.299285714285714,0.0708453825831575,0.00708453825831575,"weighted","soil micro-food web","arable"
"3",0.15,0.275,0.0887247892599982,0.00887247892599982,"weighted","soil micro-food web","arable"
"4",0.2,0.212142857142857,0.0921887365225291,0.00921887365225291,"weighted","soil micro-food web","arable"
"5",0.25,0.180714285714286,0.0970896849639905,0.00970896849639905,"weighted","soil micro-food web","arable"
"6",0.3,0.191428571428571,0.110227365704131,0.0110227365704131,"weighted","soil micro-food web","arable"
"7",0.35,0.160714285714286,0.110924136642475,0.0110924136642475,"weighted","soil micro-food web","arable"
"8",0.4,0.110714285714286,0.0915829999915153,0.00915829999915153,"weighted","soil micro-food web","arable"
"9",0.45,0.111428571428571,0.103693886902718,0.0103693886902718,"weighted","soil micro-food web","arable"
"10",0.5,0.0842857142857143,0.0965173820091011,0.0096517382009101,"weighted","soil micro-food web","arable"
"11",0.55,0.065,0.0806430300088766,0.00806430300088766,"weighted","soil micro-food web","arable"
"12",0.6,0.0778571428571428,0.0902908788045611,0.00902908788045611,"weighted","soil micro-food web","arable"
"13",0.65,0.0485714285714286,0.0731255841797984,0.00731255841797984,"weighted","soil micro-food web","arable"
"14",0.7,0.0171428571428571,0.0466569474815843,0.00466569474815843,"weighted","soil micro-food web","arable"
"15",0.75,0.0114285714285714,0.0389514177634701,0.00389514177634701,"weighted","soil micro-food web","arable"
"16",0.8,0.0114285714285714,0.0389514177634701,0.00389514177634701,"weighted","soil micro-food web","arable"
"17",0.85,0.00285714285714286,0.0201007563051842,0.00201007563051842,"weighted","soil micro-food web","arable"
"18",0.9,0,0,0,"weighted","soil micro-food web","arable"
"19",0.95,0,0,0,"weighted","soil micro-food web","arable"
"20",1,0,0,0,"weighted","soil micro-food web","arable"
"21",0.05,0.312857142857143,0.0694383629577893,0.00694383629577893,"unweighted","soil micro-food web","arable"
"22",0.1,0.313571428571429,0.0657128740672771,0.00657128740672771,"unweighted","soil micro-food web","arable"
"23",0.15,0.262142857142857,0.0831352004527486,0.00831352004527486,"unweighted","soil micro-food web","arable"
"24",0.2,0.231428571428571,0.105076269773883,0.0105076269773883,"unweighted","soil micro-food web","arable"
"25",0.25,0.167142857142857,0.104140225462941,0.0104140225462941,"unweighted","soil micro-food web","arable"
"26",0.3,0.182142857142857,0.098103538504793,0.0098103538504793,"unweighted","soil micro-food web","arable"
"27",0.35,0.144285714285714,0.0984208440514782,0.00984208440514782,"unweighted","soil micro-food web","arable"
"28",0.4,0.101428571428571,0.0897671005649989,0.00897671005649989,"unweighted","soil micro-food web","arable"
"29",0.45,0.122857142857143,0.0897096716674536,0.00897096716674536,"unweighted","soil micro-food web","arable"
"30",0.5,0.0957142857142857,0.0892142571199771,0.00892142571199771,"unweighted","soil micro-food web","arable"
"31",0.55,0.0521428571428571,0.0687484187708193,0.00687484187708193,"unweighted","soil micro-food web","arable"
"32",0.6,0.0742857142857143,0.0818010014257831,0.00818010014257831,"unweighted","soil micro-food web","arable"
"33",0.65,0.055,0.0716842465961649,0.00716842465961649,"unweighted","soil micro-food web","arable"
"34",0.7,0.0364285714285714,0.0653984189833717,0.00653984189833717,"unweighted","soil micro-food web","arable"
"35",0.75,0.00857142857142857,0.0340976080822774,0.00340976080822774,"unweighted","soil micro-food web","arable"
"36",0.8,0.0114285714285714,0.0389514177634701,0.00389514177634701,"unweighted","soil micro-food web","arable"
"37",0.85,0,0,0,"unweighted","soil micro-food web","arable"
"38",0.9,0,0,0,"unweighted","soil micro-food web","arable"
"39",0.95,0,0,0,"unweighted","soil micro-food web","arable"
"40",1,0,0,0,"unweighted","soil micro-food web","arable"
