	Rhabditis	Mesorhabditis	Cephalobus	Acrobeloides	Ceratoplectus	Prismatolaimus	Filenchus	Ditylenchus	Aphelenchus	Paraphelenchus	Klarkus	Prodorylaimus	Epidorylaimus	Aporcelaimellus
Rhabditis	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhabditis	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Cephalobus	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Acrobeloides	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Ceratoplectus	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Prismatolaimus	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Filenchus	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Ditylenchus	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Aphelenchus	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Paraphelenchus	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Klarkus	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Prodorylaimus	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Epidorylaimus	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Aporcelaimellus	0	0	0	0	0	0	0	0	0	1	0	0	0	0
