ASVID	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4
Rhabditis	0.024096386	0.11627907	0	0	0.04	0.083333333	0.020408163	0.040816327
Mesorhabditis	0.240963855	0.162790698	0.272727273	0.273809524	0.22	0.197916667	0.214285714	0.224489796
Cephalobus	0.024096386	0.023255814	0.022727273	0.047619048	0.03	0.052083333	0.071428571	0.081632653
Heterocephalobus	0.024096386	0.034883721	0.034090909	0	0.02	0.041666667	0.051020408	0
Acrobeloides	0.168674699	0.209302326	0.181818182	0.261904762	0.14	0.177083333	0.193877551	0.224489796
Ceratoplectus	0.024096386	0.058139535	0.034090909	0.035714286	0.01	0.072916667	0.051020408	0.030612245
Rhabdolaimus	0.048192771	0.011627907	0.011363636	0	0.11	0	0.010204082	0
Paramphidelus	0.024096386	0	0	0	0.05	0	0	0
Filenchus	0.024096386	0	0.022727273	0.023809524	0.04	0	0.030612245	0.040816327
Aphelenchus	0.156626506	0.162790698	0.147727273	0.130952381	0.15	0.135416667	0.112244898	0.102040816
Klarkus	0.024096386	0	0.011363636	0.023809524	0.02	0	0.010204082	0.020408163
Mesodorylaimus	0.024096386	0.011627907	0	0	0.05	0.010416667	0	0
Microdorylaimus	0.036144578	0.011627907	0	0	0.03	0	0	0
Aporcelaimellus	0.024096386	0.023255814	0.022727273	0.047619048	0.02	0.041666667	0.030612245	0.040816327
