	Rhabditis	Mesorhabditis	Cephalobus	Heterocephalobus	Acrobeloides	Ceratoplectus	Rhabdolaimus	Paramphidelus	Filenchus	Aphelenchus	Klarkus	Mesodorylaimus	Microdorylaimus	Aporcelaimellus
Rhabditis	0	-0.826362120720149	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhabditis	-0.826362120720149	0	0	0	0	0	0	0	0	0	0.802409595481884	0	0	0
Cephalobus	0	0	0	0	0	0	0	0	0	-0.833333333333333	0	0	0	0
Heterocephalobus	0	0	0	0	0	0	0	0	0	0	-0.771084337349398	0	0	0
Acrobeloides	0	0	0	0	0	0	0	-0.763762615825973	0	0	0	-0.735652119676169	0	0
Ceratoplectus	0	0	0	0	0	0	0	-0.763762615825973	-0.730552019767088	0	-0.754504545005353	0	0	0
Rhabdolaimus	0	0	0	0	0	0	0	0.782623792124926	0	0.780720058358827	0	0.766815986242304	0.866476341281168	-0.87831006565368
Paramphidelus	0	0	0	0	-0.763762615825973	-0.763762615825973	0.782623792124926	0	0	0	0	0.813733471206735	0.839285714285714	0
Filenchus	0	0	0	0	0	-0.730552019767088	0	0	0	0	0	0	0	0
Aphelenchus	0	0	-0.833333333333333	0	0	0	0.780720058358827	0	0	0	0	0.773703091383558	0.791039852105472	0
Klarkus	0	0.802409595481884	0	-0.771084337349398	0	-0.754504545005353	0	0	0	0	0	0	0	0
Mesodorylaimus	0	0	0	0	-0.735652119676169	0	0.766815986242304	0.813733471206735	0	0.773703091383558	0	0	0.900919200264599	0
Microdorylaimus	0	0	0	0	0	0	0.866476341281168	0.839285714285714	0	0.791039852105472	0	0.900919200264599	0	0
Aporcelaimellus	0	0	0	0	0	0	-0.87831006565368	0	0	0	0	0	0	0
