	Mesorhabditis	Cephalobus	Heterocephalobus	Acrobeloides	Ceratoplectus	Prismatolaimus	Rhabdolaimus	Filenchus	Ditylenchus	Aphelenchus	Klarkus	Aporcelaimellus
Mesorhabditis	0	0	0	0	0	0	0	0	0	0	0.802409595481884	0
Cephalobus	0	0	0	0	0	0	0	0	0	-0.833333333333333	0	0
Heterocephalobus	0	0	0	0	0	0	0	0	0	0	-0.771084337349398	0
Acrobeloides	0	0	0	0	0	0	0	0	0.946124746911475	0	0	0
Ceratoplectus	0	0	0	0	0	0	0	-0.730552019767088	0	0	-0.754504545005353	0
Prismatolaimus	0	0	0	0	0	0	0	0	0	-0.80511756018254	0	0
Rhabdolaimus	0	0	0	0	0	0	0	0	-0.724049023168879	0.780720058358827	0	-0.87831006565368
Filenchus	0	0	0	0	-0.730552019767088	0	0	0	0	0	0	0
Ditylenchus	0	0	0	0.946124746911475	0	0	-0.724049023168879	0	0	0	0	0
Aphelenchus	0	-0.833333333333333	0	0	0	-0.80511756018254	0.780720058358827	0	0	0	0	0
Klarkus	0.802409595481884	0	-0.771084337349398	0	-0.754504545005353	0	0	0	0	0	0	0
Aporcelaimellus	0	0	0	0	0	0	-0.87831006565368	0	0	0	0	0
