id	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4
ProASV1	0	0	0	0	0	0	0.001176471	0
ProASV2	0.008235294	0	0	0	0	0	0.001176471	0.002352941
ProASV3	0	0	0	0	0	0.000588235	0	0
ProASV4	0	0	0	0	0	0	0	0.002352941
ProASV14	0	0	0	0	0	0	0.005882353	0
ProASV17	0	0	0.000588235	0	0	0	0	0
ProASV18	0	0.001764706	0	0	0	0	0	0.001764706
ProASV22	0.01	0	0.001764706	0	0	0.001176471	0.007058824	0.001176471
ProASV23	0	0.000588235	0	0	0	0	0	0
ProASV25	0	0	0	0	0	0	0.001176471	0
ProASV26	0.018235294	0.002941176	0.000588235	0.001764706	0	0.008823529	0.001764706	0.011764706
ProASV30	0	0.002352941	0	0	0	0	0	0
ProASV32	0	0	0.002941176	0	0	0	0.001764706	0
ProASV33	0	0	0	0	0	0.003529412	0	0
ProASV34	0	0	0	0	0	0.007647059	0	0.001764706
ProASV35	0.000588235	0	0	0	0	0.002352941	0	0.001764706
ProASV38	0	0	0	0	0	0	0.001176471	0.001764706
ProASV39	0.067058824	0.011176471	0.037647059	0.038823529	0	0	0.062941176	0.032352941
ProASV40	0	0.010588235	0	0	0	0	0.000588235	0.004705882
ProASV41	0.052941176	0.008823529	0.013529412	0.033529412	0	0.002941176	0.011764706	0.016470588
ProASV43	0	0	0	0	0	0	0	0.01
ProASV45	0	0.02	0	0.008823529	0	0.001176471	0.003529412	0.021764706
ProASV46	0	0.006470588	0	0	0	0	0	0
ProASV47	0	0	0	0.017647059	0	0.002941176	0	0.010588235
ProASV48	0	0.035882353	0	0.002352941	0	0	0.002352941	0.005294118
ProASV50	0	0	0	0.001176471	0	0.002352941	0	0.001176471
ProASV56	0	0	0	0	0	0	0.000588235	0
ProASV60	0	0.001764706	0	0.001176471	0	0	0	0
ProASV61	0	0	0	0	0	0.001176471	0	0
ProASV62	0.002352941	0	0	0.001764706	0	0	0	0
ProASV63	0	0.010588235	0.000588235	0	0	0	0.003529412	0.011176471
ProASV65	0	0	0.001176471	0	0	0	0	0
ProASV67	0	0	0.002941176	0	0	0	0	0.004117647
ProASV72	0	0	0	0	0	0.002352941	0	0.003529412
ProASV77	0	0	0	0	0	0.001764706	0	0
ProASV79	0	0	0	0.001764706	0	0	0	0.001176471
ProASV85	0	0	0.000588235	0	0	0	0	0
ProASV87	0	0	0.000588235	0.005294118	0	0	0	0
ProASV89	0	0	0	0.007647059	0	0	0	0
ProASV90	0.000588235	0.001764706	0.002941176	0.012352941	0	0.005294118	0.006470588	0.010588235
ProASV91	0.042941176	0.050588235	0.017058824	0.011176471	0	0.038823529	0.097058824	0.114117647
ProASV92	0	0	0	0.004117647	0	0.002941176	0	0
ProASV93	0.003529412	0	0.000588235	0	0	0	0.001764706	0.000588235
ProASV94	0	0	0	0	0	0	0	0.000588235
ProASV95	0	0.009411765	0.002941176	0.000588235	0	0.001176471	0.003529412	0.002941176
ProASV97	0	0.041176471	0.020588235	0.000588235	0	0.002352941	0.034117647	0.025882353
ProASV101	0	0	0.011764706	0.011176471	0	0.013529412	0.002941176	0.005882353
ProASV104	0	0	0.001764706	0	0	0.002352941	0	0.001176471
ProASV105	0	0	0	0	0	0	0.001176471	0
ProASV107	0.001764706	0.001176471	0.017647059	0.012941176	0	0.047647059	0.016470588	0.051764706
ProASV108	0	0	0	0.003529412	0	0	0	0.001176471
ProASV109	0	0	0.01	0	0	0.001764706	0.001176471	0.002941176
ProASV110	0.006470588	0	0.002941176	0.002941176	0	0.011764706	0	0.002941176
ProASV111	0.012941176	0.008823529	0.041764706	0.007647059	0	0.028235294	0.062352941	0.007058824
ProASV112	0	0.001176471	0	0	0	0.000588235	0	0.004705882
ProASV115	0.140588235	0.128823529	0.509411765	0.189411765	0	0.325294118	0.097058824	0.100588235
ProASV118	0.005294118	0.001176471	0.001176471	0	0	0	0	0.000588235
ProASV119	0	0	0	0	0	0	0	0.001764706
ProASV121	0	0	0	0.000588235	0	0	0	0.000588235
ProASV130	0.000588235	0	0.001176471	0.004117647	0	0	0.000588235	0.001176471
ProASV132	0	0	0	0.001176471	0	0	0	0
ProASV133	0	0	0	0.000588235	0	0	0	0
ProASV136	0.015882353	0.002941176	0	0.002352941	0	0	0	0
ProASV137	0.009411765	0.005882353	0.054117647	0.000588235	0	0.007647059	0	0.001176471
ProASV139	0	0	0	0	0	0	0.001176471	0
ProASV143	0.004117647	0	0	0	0	0	0.000588235	0.000588235
ProASV144	0.000588235	0.019411765	0.001176471	0.014705882	0	0.001176471	0	0.003529412
ProASV147	0	0	0	0	0	0	0	0.000588235
ProASV149	0	0	0	0	0	0	0.000588235	0
ProASV155	0	0	0.000588235	0	0	0	0	0.001764706
ProASV156	0	0	0	0	0	0	0.000588235	0
ProASV159	0	0	0.000588235	0	0	0	0	0
ProASV162	0	0	0	0.000588235	0	0	0.001764706	0
ProASV164	0.033529412	0.005294118	0.036470588	0.065294118	0	0.058823529	0.107058824	0.096470588
ProASV165	0.071764706	0.204117647	0.04	0.056470588	0	0.044117647	0.075882353	0.100588235
ProASV168	0	0	0.005294118	0.002352941	0	0.020588235	0.001764706	0.010588235
ProASV169	0	0	0.000588235	0.003529412	0	0.094117647	0	0
ProASV182	0	0.007058824	0.001176471	0	0	0.008235294	0.002941176	0.007647059
ProASV187	0	0	0	0	0	0.007058824	0	0.000588235
ProASV188	0	0	0	0	0	0.001764706	0	0
ProASV190	0	0	0	0	0	0.000588235	0	0.001764706
ProASV191	0	0	0.000588235	0.000588235	0	0	0	0
ProASV192	0.102941176	0.008823529	0.02	0.019411765	0	0.009411765	0.013529412	0.005294118
ProASV193	0	0	0	0	0	0.001176471	0	0
ProASV194	0	0	0.000588235	0	0	0	0.006470588	0.005882353
ProASV195	0	0	0	0	0	0	0	0.001176471
ProASV199	0	0	0	0.004705882	0	0.007647059	0.004705882	0.005294118
ProASV206	0.000588235	0	0	0.002941176	0	0.004705882	0	0.005294118
ProASV209	0.002352941	0	0	0	0	0	0	0.001176471
ProASV210	0.007058824	0.005882353	0.004705882	0.004117647	0	0.007647059	0	0.003529412
ProASV213	0	0.010588235	0.001764706	0.008823529	0	0.000588235	0.000588235	0
ProASV215	0.003529412	0.002352941	0.002941176	0.003529412	0	0.004117647	0.002941176	0
ProASV216	0.007058824	0.016470588	0.007647059	0.02	0	0.026470588	0.006470588	0.002352941
ProASV219	0	0	0	0	0	0	0	0.000588235
ProASV221	0.01	0	0	0.008235294	0	0.002941176	0.003529412	0.002941176
ProASV223	0.006470588	0	0	0.002941176	0	0.005294118	0	0
ProASV225	0	0	0	0	0	0	0.000588235	0
ProASV226	0	0	0	0.000588235	0	0.000588235	0	0
ProASV227	0	0	0	0.004117647	0	0.002941176	0.001764706	0.002941176
ProASV228	0.012941176	0.041764706	0.013529412	0.035294118	0	0.01	0.027058824	0.014117647
ProASV232	0	0	0	0.001176471	0	0	0	0.004705882
ProASV233	0.015294118	0.078823529	0.011764706	0.034705882	0	0.017647059	0.031176471	0.017647059
ProASV234	0	0	0	0	0	0.000588235	0	0
ProASV235	0.006470588	0.001764706	0.002941176	0.011176471	0	0.008235294	0.000588235	0.002941176
ProASV237	0	0.001764706	0	0	0	0	0	0
ProASV238	0	0.015882353	0.001764706	0.001176471	0	0	0.002352941	0
ProASV239	0.002941176	0.004705882	0.000588235	0.002941176	0	0.002941176	0.029411765	0.008235294
ProASV242	0.077647059	0.062941176	0.017647059	0.070588235	0	0.030588235	0.045882353	0.052941176
