id	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4	Abundance
ProASV1	0	0	0	0	0	0	0.001176471	0	0.014705882
ProASV2	0.008235294	0	0	0	0	0	0.001176471	0.002352941	0.147058824
ProASV3	0	0	0	0	0	0.000588235	0	0	0.007352941
ProASV4	0	0	0	0	0	0	0	0.002352941	0.029411765
ProASV14	0	0	0	0	0	0	0.005882353	0	0.073529412
ProASV17	0	0	0.000588235	0	0	0	0	0	0.007352941
ProASV18	0	0.001764706	0	0	0	0	0	0.001764706	0.044117647
ProASV22	0.01	0	0.001764706	0	0	0.001176471	0.007058824	0.001176471	0.264705882
ProASV23	0	0.000588235	0	0	0	0	0	0	0.007352941
ProASV25	0	0	0	0	0	0	0.001176471	0	0.014705882
ProASV26	0.018235294	0.002941176	0.000588235	0.001764706	0	0.008823529	0.001764706	0.011764706	0.573529412
ProASV30	0	0.002352941	0	0	0	0	0	0	0.029411765
ProASV32	0	0	0.002941176	0	0	0	0.001764706	0	0.058823529
ProASV33	0	0	0	0	0	0.003529412	0	0	0.044117647
ProASV34	0	0	0	0	0	0.007647059	0	0.001764706	0.117647059
ProASV35	0.000588235	0	0	0	0	0.002352941	0	0.001764706	0.058823529
ProASV38	0	0	0	0	0	0	0.001176471	0.001764706	0.036764706
ProASV39	0.067058824	0.011176471	0.037647059	0.038823529	0	0	0.062941176	0.032352941	3.125
ProASV40	0	0.010588235	0	0	0	0	0.000588235	0.004705882	0.198529412
ProASV41	0.052941176	0.008823529	0.013529412	0.033529412	0	0.002941176	0.011764706	0.016470588	1.75
ProASV43	0	0	0	0	0	0	0	0.01	0.125
ProASV45	0	0.02	0	0.008823529	0	0.001176471	0.003529412	0.021764706	0.691176471
ProASV46	0	0.006470588	0	0	0	0	0	0	0.080882353
ProASV47	0	0	0	0.017647059	0	0.002941176	0	0.010588235	0.389705882
ProASV48	0	0.035882353	0	0.002352941	0	0	0.002352941	0.005294118	0.573529412
ProASV50	0	0	0	0.001176471	0	0.002352941	0	0.001176471	0.058823529
ProASV56	0	0	0	0	0	0	0.000588235	0	0.007352941
ProASV60	0	0.001764706	0	0.001176471	0	0	0	0	0.036764706
ProASV61	0	0	0	0	0	0.001176471	0	0	0.014705882
ProASV62	0.002352941	0	0	0.001764706	0	0	0	0	0.051470588
ProASV63	0	0.010588235	0.000588235	0	0	0	0.003529412	0.011176471	0.323529412
ProASV65	0	0	0.001176471	0	0	0	0	0	0.014705882
ProASV67	0	0	0.002941176	0	0	0	0	0.004117647	0.088235294
ProASV72	0	0	0	0	0	0.002352941	0	0.003529412	0.073529412
ProASV77	0	0	0	0	0	0.001764706	0	0	0.022058824
ProASV79	0	0	0	0.001764706	0	0	0	0.001176471	0.036764706
ProASV85	0	0	0.000588235	0	0	0	0	0	0.007352941
ProASV87	0	0	0.000588235	0.005294118	0	0	0	0	0.073529412
ProASV89	0	0	0	0.007647059	0	0	0	0	0.095588235
ProASV90	0.000588235	0.001764706	0.002941176	0.012352941	0	0.005294118	0.006470588	0.010588235	0.5
ProASV91	0.042941176	0.050588235	0.017058824	0.011176471	0	0.038823529	0.097058824	0.114117647	4.647058824
ProASV92	0	0	0	0.004117647	0	0.002941176	0	0	0.088235294
ProASV93	0.003529412	0	0.000588235	0	0	0	0.001764706	0.000588235	0.080882353
ProASV94	0	0	0	0	0	0	0	0.000588235	0.007352941
ProASV95	0	0.009411765	0.002941176	0.000588235	0	0.001176471	0.003529412	0.002941176	0.257352941
ProASV97	0	0.041176471	0.020588235	0.000588235	0	0.002352941	0.034117647	0.025882353	1.558823529
ProASV101	0	0	0.011764706	0.011176471	0	0.013529412	0.002941176	0.005882353	0.566176471
ProASV104	0	0	0.001764706	0	0	0.002352941	0	0.001176471	0.066176471
ProASV105	0	0	0	0	0	0	0.001176471	0	0.014705882
ProASV107	0.001764706	0.001176471	0.017647059	0.012941176	0	0.047647059	0.016470588	0.051764706	1.867647059
ProASV108	0	0	0	0.003529412	0	0	0	0.001176471	0.058823529
ProASV109	0	0	0.01	0	0	0.001764706	0.001176471	0.002941176	0.198529412
ProASV110	0.006470588	0	0.002941176	0.002941176	0	0.011764706	0	0.002941176	0.338235294
