source	target	weight	correlation
ProASV1	ProASV14	1	1
ProASV1	ProASV25	1	1
ProASV1	ProASV56	1	1
ProASV1	ProASV105	1	1
ProASV1	ProASV139	1	1
ProASV1	ProASV149	1	1
ProASV1	ProASV156	1	1
ProASV1	ProASV225	1	1
ProASV2	ProASV143	0.992156741649221	0.992156741649221
ProASV3	ProASV33	1	1
ProASV3	ProASV61	1	1
ProASV3	ProASV77	1	1
ProASV3	ProASV188	1	1
ProASV3	ProASV193	1	1
ProASV3	ProASV234	1	1
ProASV3	ProASV256	1	1
ProASV4	ProASV43	1	1
ProASV4	ProASV94	1	1
ProASV4	ProASV119	1	1
ProASV4	ProASV147	1	1
ProASV4	ProASV195	1	1
ProASV4	ProASV219	1	1
ProASV4	ProASV251	1	1
ProASV14	ProASV25	1	1
ProASV14	ProASV56	1	1
ProASV14	ProASV105	1	1
ProASV14	ProASV139	1	1
ProASV14	ProASV149	1	1
ProASV14	ProASV156	1	1
ProASV14	ProASV225	1	1
ProASV17	ProASV65	1	1
ProASV17	ProASV85	1	1
ProASV17	ProASV159	1	1
ProASV23	ProASV30	1	1
ProASV23	ProASV46	1	1
ProASV23	ProASV237	1	1
ProASV23	ProASV245	1	1
ProASV25	ProASV56	1	1
ProASV25	ProASV105	1	1
ProASV25	ProASV139	1	1
ProASV25	ProASV149	1	1
ProASV25	ProASV156	1	1
ProASV25	ProASV225	1	1
ProASV30	ProASV46	1	1
ProASV30	ProASV237	1	1
ProASV30	ProASV245	1	1
ProASV33	ProASV61	1	1
ProASV33	ProASV77	1	1
ProASV33	ProASV188	1	1
ProASV33	ProASV193	1	1
ProASV33	ProASV234	1	1
ProASV33	ProASV256	1	1
ProASV34	ProASV72	0.959183673469388	0.959183673469388
ProASV34	ProASV187	1	1
ProASV34	ProASV190	0.959183673469388	0.959183673469388
ProASV41	ProASV248	0.928571428571429	0.928571428571429
ProASV43	ProASV94	1	1
ProASV43	ProASV119	1	1
ProASV43	ProASV147	1	1
ProASV43	ProASV195	1	1
ProASV43	ProASV219	1	1
ProASV43	ProASV251	1	1
ProASV45	ProASV48	0.929077462597629	0.929077462597629
ProASV46	ProASV237	1	1
ProASV46	ProASV245	1	1
ProASV56	ProASV105	1	1
ProASV56	ProASV139	1	1
ProASV56	ProASV149	1	1
ProASV56	ProASV156	1	1
ProASV56	ProASV225	1	1
ProASV61	ProASV77	1	1
ProASV61	ProASV188	1	1
ProASV61	ProASV193	1	1
ProASV61	ProASV234	1	1
ProASV61	ProASV256	1	1
ProASV65	ProASV85	1	1
ProASV65	ProASV159	1	1
ProASV67	ProASV155	1	1
ProASV72	ProASV187	0.959183673469388	0.959183673469388
ProASV72	ProASV190	1	1
ProASV77	ProASV188	1	1
ProASV77	ProASV193	1	1
ProASV77	ProASV234	1	1
ProASV77	ProASV256	1	1
ProASV79	ProASV108	1	1
ProASV79	ProASV121	0.989743318610787	0.989743318610787
ProASV79	ProASV232	0.959183673469388	0.959183673469388
ProASV85	ProASV159	1	1
ProASV87	ProASV191	0.989743318610787	0.989743318610787
ProASV87	ProASV254	1	1
ProASV89	ProASV132	1	1
ProASV89	ProASV133	1	1
ProASV92	ProASV226	0.989743318610787	0.989743318610787
ProASV94	ProASV119	1	1
ProASV94	ProASV147	1	1
ProASV94	ProASV195	1	1
ProASV94	ProASV219	1	1
ProASV94	ProASV251	1	1
ProASV95	ProASV97	0.993957648609293	0.993957648609293
ProASV105	ProASV139	1	1
ProASV105	ProASV149	1	1
ProASV105	ProASV156	1	1
ProASV105	ProASV225	1	1
ProASV108	ProASV121	0.989743318610787	0.989743318610787
ProASV108	ProASV232	0.959183673469388	0.959183673469388
ProASV119	ProASV147	1	1
ProASV119	ProASV195	1	1
ProASV119	ProASV219	1	1
ProASV119	ProASV251	1	1
ProASV121	ProASV232	0.989743318610787	0.989743318610787
ProASV132	ProASV133	1	1
ProASV139	ProASV149	1	1
ProASV139	ProASV156	1	1
ProASV139	ProASV225	1	1
ProASV147	ProASV195	1	1
ProASV147	ProASV219	1	1
ProASV147	ProASV251	1	1
ProASV149	ProASV156	1	1
ProASV149	ProASV225	1	1
ProASV156	ProASV225	1	1
ProASV187	ProASV190	0.959183673469388	0.959183673469388
ProASV188	ProASV193	1	1
ProASV188	ProASV234	1	1
ProASV188	ProASV256	1	1
ProASV191	ProASV254	0.989743318610787	0.989743318610787
ProASV193	ProASV234	1	1
ProASV193	ProASV256	1	1
ProASV195	ProASV219	1	1
ProASV195	ProASV251	1	1
ProASV219	ProASV251	1	1
ProASV234	ProASV256	1	1
ProASV237	ProASV245	1	1
ProASV250	ProASV252	1	1
ProASV257	ProASV258	1	1
ProASV257	ProASV259	1	1
ProASV258	ProASV259	1	1
