label	Abundance
ProASV1	0.014705882
ProASV2	0.147058824
ProASV3	0.007352941
ProASV4	0.029411765
ProASV14	0.073529412
ProASV17	0.007352941
ProASV23	0.007352941
ProASV25	0.014705882
ProASV30	0.029411765
ProASV33	0.044117647
ProASV34	0.117647059
ProASV41	1.75
ProASV43	0.125
ProASV45	0.691176471
ProASV46	0.080882353
ProASV48	0.573529412
ProASV56	0.007352941
ProASV61	0.014705882
ProASV65	0.014705882
ProASV67	0.088235294
ProASV72	0.073529412
ProASV77	0.022058824
ProASV79	0.036764706
ProASV85	0.007352941
ProASV87	0.073529412
ProASV89	0.095588235
ProASV92	0.088235294
ProASV94	0.007352941
ProASV95	0.257352941
ProASV97	1.558823529
ProASV105	0.014705882
ProASV108	0.058823529
ProASV119	0.022058824
ProASV121	0.014705882
ProASV132	0.014705882
ProASV133	0.007352941
ProASV139	0.014705882
ProASV143	0.066176471
ProASV147	0.007352941
ProASV149	0.007352941
ProASV155	0.029411765
ProASV156	0.007352941
ProASV159	0.007352941
ProASV187	0.095588235
ProASV188	0.022058824
ProASV190	0.029411765
ProASV191	0.014705882
ProASV193	0.014705882
ProASV195	0.014705882
ProASV219	0.007352941
ProASV225	0.007352941
ProASV226	0.014705882
ProASV232	0.073529412
ProASV234	0.007352941
ProASV237	0.022058824
ProASV245	0.139705882
ProASV248	3.220588235
ProASV250	0.066176471
ProASV251	0.007352941
ProASV252	0.25
ProASV254	0.110294118
ProASV256	0.014705882
ProASV257	0.330882353
ProASV258	0.029411765
ProASV259	12.13970588
