source	target	weight	correlation
ProASV3	ProASV33	1	1
ProASV3	ProASV34	0.755928946018454	0.755928946018454
ProASV3	ProASV61	1	1
ProASV3	ProASV77	1	1
ProASV3	ProASV187	0.755928946018454	0.755928946018454
ProASV3	ProASV188	1	1
ProASV3	ProASV193	1	1
ProASV3	ProASV234	1	1
ProASV3	ProASV256	1	1
ProASV33	ProASV34	0.755928946018454	0.755928946018454
ProASV33	ProASV61	1	1
ProASV33	ProASV77	1	1
ProASV33	ProASV187	0.755928946018454	0.755928946018454
ProASV33	ProASV188	1	1
ProASV33	ProASV193	1	1
ProASV33	ProASV234	1	1
ProASV33	ProASV256	1	1
ProASV34	ProASV61	0.755928946018454	0.755928946018454
ProASV34	ProASV72	0.959183673469388	0.959183673469388
ProASV34	ProASV77	0.755928946018454	0.755928946018454
ProASV34	ProASV187	1	1
ProASV34	ProASV188	0.755928946018454	0.755928946018454
ProASV34	ProASV190	0.959183673469388	0.959183673469388
ProASV34	ProASV193	0.755928946018454	0.755928946018454
ProASV34	ProASV234	0.755928946018454	0.755928946018454
ProASV34	ProASV256	0.755928946018454	0.755928946018454
ProASV41	ProASV248	0.928571428571429	0.928571428571429
ProASV61	ProASV77	1	1
ProASV61	ProASV187	0.755928946018454	0.755928946018454
ProASV61	ProASV188	1	1
ProASV61	ProASV193	1	1
ProASV61	ProASV234	1	1
ProASV61	ProASV256	1	1
ProASV72	ProASV187	0.959183673469388	0.959183673469388
ProASV72	ProASV190	1	1
ProASV77	ProASV187	0.755928946018454	0.755928946018454
ProASV77	ProASV188	1	1
ProASV77	ProASV193	1	1
ProASV77	ProASV234	1	1
ProASV77	ProASV256	1	1
ProASV92	ProASV226	0.989743318610787	0.989743318610787
ProASV95	ProASV97	0.993957648609293	0.993957648609293
ProASV187	ProASV188	0.755928946018454	0.755928946018454
ProASV187	ProASV190	0.959183673469388	0.959183673469388
ProASV187	ProASV193	0.755928946018454	0.755928946018454
ProASV187	ProASV234	0.755928946018454	0.755928946018454
ProASV187	ProASV256	0.755928946018454	0.755928946018454
ProASV188	ProASV193	1	1
ProASV188	ProASV234	1	1
ProASV188	ProASV256	1	1
ProASV193	ProASV234	1	1
ProASV193	ProASV256	1	1
ProASV234	ProASV256	1	1
