id	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4
ProASV1	0	0	0	0	0	0	0.001176471	0
ProASV2	0.008235294	0	0	0	0	0	0.001176471	0.002352941
ProASV3	0	0	0	0	0	0.000588235	0	0
ProASV4	0	0	0	0	0	0	0	0.002352941
ProASV14	0	0	0	0	0	0	0.005882353	0
ProASV17	0	0	0.000588235	0	0	0	0	0
ProASV23	0	0.000588235	0	0	0	0	0	0
ProASV25	0	0	0	0	0	0	0.001176471	0
ProASV30	0	0.002352941	0	0	0	0	0	0
ProASV33	0	0	0	0	0	0.003529412	0	0
ProASV34	0	0	0	0	0	0.007647059	0	0.001764706
ProASV41	0.052941176	0.008823529	0.013529412	0.033529412	0	0.002941176	0.011764706	0.016470588
ProASV43	0	0	0	0	0	0	0	0.01
ProASV45	0	0.02	0	0.008823529	0	0.001176471	0.003529412	0.021764706
ProASV46	0	0.006470588	0	0	0	0	0	0
ProASV48	0	0.035882353	0	0.002352941	0	0	0.002352941	0.005294118
ProASV56	0	0	0	0	0	0	0.000588235	0
ProASV61	0	0	0	0	0	0.001176471	0	0
ProASV65	0	0	0.001176471	0	0	0	0	0
ProASV67	0	0	0.002941176	0	0	0	0	0.004117647
ProASV72	0	0	0	0	0	0.002352941	0	0.003529412
ProASV77	0	0	0	0	0	0.001764706	0	0
ProASV79	0	0	0	0.001764706	0	0	0	0.001176471
ProASV85	0	0	0.000588235	0	0	0	0	0
ProASV87	0	0	0.000588235	0.005294118	0	0	0	0
ProASV89	0	0	0	0.007647059	0	0	0	0
ProASV92	0	0	0	0.004117647	0	0.002941176	0	0
ProASV94	0	0	0	0	0	0	0	0.000588235
ProASV95	0	0.009411765	0.002941176	0.000588235	0	0.001176471	0.003529412	0.002941176
ProASV97	0	0.041176471	0.020588235	0.000588235	0	0.002352941	0.034117647	0.025882353
ProASV105	0	0	0	0	0	0	0.001176471	0
ProASV108	0	0	0	0.003529412	0	0	0	0.001176471
ProASV119	0	0	0	0	0	0	0	0.001764706
ProASV121	0	0	0	0.000588235	0	0	0	0.000588235
ProASV132	0	0	0	0.001176471	0	0	0	0
ProASV133	0	0	0	0.000588235	0	0	0	0
ProASV139	0	0	0	0	0	0	0.001176471	0
ProASV143	0.004117647	0	0	0	0	0	0.000588235	0.000588235
ProASV147	0	0	0	0	0	0	0	0.000588235
ProASV149	0	0	0	0	0	0	0.000588235	0
ProASV155	0	0	0.000588235	0	0	0	0	0.001764706
ProASV156	0	0	0	0	0	0	0.000588235	0
ProASV159	0	0	0.000588235	0	0	0	0	0
ProASV187	0	0	0	0	0	0.007058824	0	0.000588235
ProASV188	0	0	0	0	0	0.001764706	0	0
ProASV190	0	0	0	0	0	0.000588235	0	0.001764706
ProASV191	0	0	0.000588235	0.000588235	0	0	0	0
ProASV193	0	0	0	0	0	0.001176471	0	0
ProASV195	0	0	0	0	0	0	0	0.001176471
ProASV219	0	0	0	0	0	0	0	0.000588235
ProASV225	0	0	0	0	0	0	0.000588235	0
ProASV226	0	0	0	0.000588235	0	0.000588235	0	0
ProASV232	0	0	0	0.001176471	0	0	0	0.004705882
ProASV234	0	0	0	0	0	0.000588235	0	0
ProASV237	0	0.001764706	0	0	0	0	0	0
ProASV245	0	0.011176471	0	0	0	0	0	0
ProASV248	0.066470588	0.030588235	0.014705882	0.055882353	0	0.009411765	0.032352941	0.048235294
ProASV250	0.004117647	0	0	0	0	0	0.001176471	0
ProASV251	0	0	0	0	0	0	0	0.000588235
ProASV252	0.017647059	0	0	0	0	0	0.002352941	0
ProASV254	0	0	0.000588235	0.008235294	0	0	0	0
ProASV256	0	0	0	0	0	0.001176471	0	0
ProASV257	0	0	0	0	0.026470588	0	0	0
ProASV258	0	0	0	0	0.002352941	0	0	0
ProASV259	0	0	0	0	0.971176471	0	0	0
