"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","biota","treat"
"1",0.05,1,0,0,"weighted","soil micro-food web","arable"
"2",0.1,0.79,0.073474000379468,0.0073474000379468,"weighted","soil micro-food web","arable"
"3",0.15,0.778333333333333,0.0787635937708768,0.00787635937708768,"weighted","soil micro-food web","arable"
"4",0.2,0.78,0.0781376953770252,0.00781376953770252,"weighted","soil micro-food web","arable"
"5",0.25,0.556666666666667,0.0793492047615872,0.00793492047615872,"weighted","soil micro-food web","arable"
"6",0.3,0.58,0.083686121928113,0.0083686121928113,"weighted","soil micro-food web","arable"
"7",0.35,0.59,0.0834847109936722,0.00834847109936722,"weighted","soil micro-food web","arable"
"8",0.4,0.583333333333333,0.083753151271601,0.0083753151271601,"weighted","soil micro-food web","arable"
"9",0.45,0.36,0.0614088248629118,0.00614088248629118,"weighted","soil micro-food web","arable"
"10",0.5,0.363333333333333,0.0643538199442282,0.00643538199442282,"weighted","soil micro-food web","arable"
"11",0.55,0.358333333333333,0.0598117135471061,0.00598117135471061,"weighted","soil micro-food web","arable"
"12",0.6,0.163333333333333,0.167472797931897,0.0167472797931897,"weighted","soil micro-food web","arable"
"13",0.65,0.156666666666667,0.167204519348864,0.0167204519348864,"weighted","soil micro-food web","arable"
"14",0.7,0.156666666666667,0.167204519348864,0.0167204519348864,"weighted","soil micro-food web","arable"
"15",0.75,0,0,0,"weighted","soil micro-food web","arable"
"16",0.8,0,0,0,"weighted","soil micro-food web","arable"
"17",0.85,0,0,0,"weighted","soil micro-food web","arable"
"18",0.9,0,0,0,"weighted","soil micro-food web","arable"
"19",0.95,0,0,0,"weighted","soil micro-food web","arable"
"20",1,0,0,0,"weighted","soil micro-food web","arable"
"21",0.05,1,0,0,"unweighted","soil micro-food web","arable"
"22",0.1,0.793333333333333,0.071539115998488,0.0071539115998488,"unweighted","soil micro-food web","arable"
"23",0.15,0.793333333333333,0.071539115998488,0.0071539115998488,"unweighted","soil micro-food web","arable"
"24",0.2,0.763333333333333,0.0826741606248097,0.00826741606248097,"unweighted","soil micro-food web","arable"
"25",0.25,0.578333333333333,0.083602259674432,0.0083602259674432,"unweighted","soil micro-food web","arable"
"26",0.3,0.575,0.0833333333333333,0.00833333333333333,"unweighted","soil micro-food web","arable"
"27",0.35,0.561666666666667,0.0808727645156516,0.00808727645156516,"unweighted","soil micro-food web","arable"
"28",0.4,0.57,0.0826741606248097,0.00826741606248097,"unweighted","soil micro-food web","arable"
"29",0.45,0.376666666666667,0.073474000379468,0.0073474000379468,"unweighted","soil micro-food web","arable"
"30",0.5,0.355,0.0563329448316052,0.00563329448316052,"unweighted","soil micro-food web","arable"
"31",0.55,0.363333333333333,0.0643538199442282,0.00643538199442282,"unweighted","soil micro-food web","arable"
"32",0.6,0.156666666666667,0.167204519348864,0.0167204519348864,"unweighted","soil micro-food web","arable"
"33",0.65,0.183333333333333,0.166666666666667,0.0166666666666667,"unweighted","soil micro-food web","arable"
"34",0.7,0.15,0.166666666666667,0.0166666666666667,"unweighted","soil micro-food web","arable"
"35",0.75,0,0,0,"unweighted","soil micro-food web","arable"
"36",0.8,0,0,0,"unweighted","soil micro-food web","arable"
"37",0.85,0,0,0,"unweighted","soil micro-food web","arable"
"38",0.9,0,0,0,"unweighted","soil micro-food web","arable"
"39",0.95,0,0,0,"unweighted","soil micro-food web","arable"
"40",1,0,0,0,"unweighted","soil micro-food web","arable"
