nodes_id	within_module_connectivities	among_module_connectivities	degree	modularity
ProASV1	0	0	8	1
ProASV105	0	0	8	1
ProASV139	0	0	8	1
ProASV14	0	0	8	1
ProASV143	0	0	3	2
ProASV149	0	0	8	1
ProASV156	0	0	8	1
ProASV2	0	0	3	2
ProASV225	0	0	8	1
ProASV248	0	0	1	4
ProASV25	0	0	8	1
ProASV250	0	0	3	2
ProASV252	0	0	3	2
ProASV41	0	0	1	4
ProASV45	-0.866025403784439	0	1	3
ProASV48	0.866025403784439	0	2	3
ProASV56	0	0	8	1
ProASV95	-0.866025403784439	0	1	3
ProASV97	0.866025403784439	0	2	3
