	ProASV41	ProASV45	ProASV48	ProASV79	ProASV87	ProASV89	ProASV92	ProASV95	ProASV97	ProASV108	ProASV121	ProASV132	ProASV133	ProASV191	ProASV226	ProASV232	ProASV248	ProASV254
ProASV41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ProASV45	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV48	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV79	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
ProASV87	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
ProASV89	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
ProASV92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ProASV95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ProASV97	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ProASV108	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
ProASV121	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ProASV132	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ProASV133	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ProASV191	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ProASV226	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ProASV232	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
ProASV248	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV254	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
