	ProASV1	ProASV2	ProASV14	ProASV25	ProASV41	ProASV45	ProASV48	ProASV56	ProASV95	ProASV97	ProASV105	ProASV139	ProASV143	ProASV149	ProASV156	ProASV225	ProASV248	ProASV250	ProASV252
ProASV1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0
ProASV2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ProASV14	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0
ProASV25	1	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0
ProASV41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ProASV45	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ProASV48	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV56	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0
ProASV95	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ProASV97	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ProASV105	1	0	1	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0
ProASV139	1	0	1	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0
ProASV143	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV149	1	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0
ProASV156	1	0	1	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0
ProASV225	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0
ProASV248	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ProASV252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
