	ProASV17	ProASV41	ProASV65	ProASV67	ProASV85	ProASV87	ProASV95	ProASV97	ProASV155	ProASV159	ProASV191	ProASV248	ProASV254
ProASV17	0	0	1	0	1	0	0	0	0	1	0	0	0
ProASV41	0	0	0	0	0	0	0	0	0	0	0	0.928571428571429	0
ProASV65	1	0	0	0	1	0	0	0	0	1	0	0	0
ProASV67	0	0	0	0	0	0	0	0	1	0	0	0	0
ProASV85	1	0	1	0	0	0	0	0	0	1	0	0	0
ProASV87	0	0	0	0	0	0	0	0	0	0	0.989743318610787	0	1
ProASV95	0	0	0	0	0	0	0	0.993957648609293	0	0	0	0	0
ProASV97	0	0	0	0	0	0	0.993957648609293	0	0	0	0	0	0
ProASV155	0	0	0	1	0	0	0	0	0	0	0	0	0
ProASV159	1	0	1	0	1	0	0	0	0	0	0	0	0
ProASV191	0	0	0	0	0	0.989743318610787	0	0	0	0	0	0	0.989743318610787
ProASV248	0	0.928571428571429	0	0	0	0	0	0	0	0	0	0	0
ProASV254	0	0	0	0	0	1	0	0	0	0	0.989743318610787	0	0
