	ProASV3	ProASV33	ProASV34	ProASV41	ProASV61	ProASV72	ProASV77	ProASV92	ProASV95	ProASV97	ProASV187	ProASV188	ProASV190	ProASV193	ProASV226	ProASV234	ProASV248	ProASV256
ProASV3	0	1	0.755928946018454	0	1	0	1	0	0	0	0.755928946018454	1	0	1	0	1	0	1
ProASV33	1	0	0.755928946018454	0	1	0	1	0	0	0	0.755928946018454	1	0	1	0	1	0	1
ProASV34	0.755928946018454	0.755928946018454	0	0	0.755928946018454	0.959183673469388	0.755928946018454	0	0	0	1	0.755928946018454	0.959183673469388	0.755928946018454	0	0.755928946018454	0	0.755928946018454
ProASV41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.928571428571429	0
ProASV61	1	1	0.755928946018454	0	0	0	1	0	0	0	0.755928946018454	1	0	1	0	1	0	1
ProASV72	0	0	0.959183673469388	0	0	0	0	0	0	0	0.959183673469388	0	1	0	0	0	0	0
ProASV77	1	1	0.755928946018454	0	1	0	0	0	0	0	0.755928946018454	1	0	1	0	1	0	1
ProASV92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.989743318610787	0	0	0
ProASV95	0	0	0	0	0	0	0	0	0	0.993957648609293	0	0	0	0	0	0	0	0
ProASV97	0	0	0	0	0	0	0	0	0.993957648609293	0	0	0	0	0	0	0	0	0
ProASV187	0.755928946018454	0.755928946018454	1	0	0.755928946018454	0.959183673469388	0.755928946018454	0	0	0	0	0.755928946018454	0.959183673469388	0.755928946018454	0	0.755928946018454	0	0.755928946018454
ProASV188	1	1	0.755928946018454	0	1	0	1	0	0	0	0.755928946018454	0	0	1	0	1	0	1
ProASV190	0	0	0.959183673469388	0	0	1	0	0	0	0	0.959183673469388	0	0	0	0	0	0	0
ProASV193	1	1	0.755928946018454	0	1	0	1	0	0	0	0.755928946018454	1	0	0	0	1	0	1
ProASV226	0	0	0	0	0	0	0	0.989743318610787	0	0	0	0	0	0	0	0	0	0
ProASV234	1	1	0.755928946018454	0	1	0	1	0	0	0	0.755928946018454	1	0	1	0	0	0	1
ProASV248	0	0	0	0.928571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV256	1	1	0.755928946018454	0	1	0	1	0	0	0	0.755928946018454	1	0	1	0	1	0	0
