id	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4
ProASV3	0	0	0	0	0	0.000588235	0	0
ProASV33	0	0	0	0	0	0.003529412	0	0
ProASV34	0	0	0	0	0	0.007647059	0	0.001764706
ProASV41	0.052941176	0.008823529	0.013529412	0.033529412	0	0.002941176	0.011764706	0.016470588
ProASV61	0	0	0	0	0	0.001176471	0	0
ProASV72	0	0	0	0	0	0.002352941	0	0.003529412
ProASV77	0	0	0	0	0	0.001764706	0	0
ProASV92	0	0	0	0.004117647	0	0.002941176	0	0
ProASV95	0	0.009411765	0.002941176	0.000588235	0	0.001176471	0.003529412	0.002941176
ProASV97	0	0.041176471	0.020588235	0.000588235	0	0.002352941	0.034117647	0.025882353
ProASV187	0	0	0	0	0	0.007058824	0	0.000588235
ProASV188	0	0	0	0	0	0.001764706	0	0
ProASV190	0	0	0	0	0	0.000588235	0	0.001764706
ProASV193	0	0	0	0	0	0.001176471	0	0
ProASV226	0	0	0	0.000588235	0	0.000588235	0	0
ProASV234	0	0	0	0	0	0.000588235	0	0
ProASV248	0.066470588	0.030588235	0.014705882	0.055882353	0	0.009411765	0.032352941	0.048235294
ProASV256	0	0	0	0	0	0.001176471	0	0
