ID	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4	Abundance	Kindom
BACasv1	0.099931147	0.118248321	0.142799228	0.103898933	0.074077306	0.071054926	0.070953215	0.073458783	9.430273238	Bac
BACasv2	0.009734324	0.008117046	0.008088803	0.00573586	0.048686851	0.044827085	0.05404053	0.07479726	3.175346988	Bac
BACasv3	0.040314347	0.030463974	0.045559846	0.045850577	0.012302591	0.009662889	0.010958219	0.013069837	2.6022785	Bac
BACasv4	0.037227854	0.033670708	0.029594595	0.0286793	0.090917023	0.072580645	0.045934451	0.046846705	4.818141013	Bac
BACasv5	0.013034497	0.001970805	0.009517375	0.015646555	0.020591571	0.029569892	0.018463848	0.021966774	1.634516463	Bac
BACasv6	0.003608823	0.013929251	0.002972973	0.003957017	0.023645406	0.023612322	0.024018014	0.015668058	1.3926483	Bac
BACasv7	0.023623543	0.016401109	0.040598456	0.033144558	0.040048861	0	0.062296723	0.020943233	2.963206038	Bac
BACasv8	0.063700468	0.056819321	0.105444015	0.088470195	0.009336009	0.015983726	0.015111334	0.023698921	4.732049863	Bac
BACasv9	0.027849664	0.024451348	0.032586873	0.031510927	0.005147893	0.010607382	0.00970728	0.006377451	1.852985225	Bac
BACasv10	0.013153209	0.015432408	0.00996139	0.015573949	0.018148504	0.017582098	0.017162872	0.025746004	1.659505425	Bac
BACasv11	0.019943493	0.016835354	0.014131274	0.024540768	0.045545764	0.071200232	0.062847135	0.064561846	3.995073325	Bac
BACasv12	0.004392317	0.003707786	0	0	0.013262368	0.016201686	0.020315236	0.01928982	0.964615163	Bac
BACasv13	0.002659132	0.003674383	0.003861004	0.003557685	0.015181921	0.016782912	0.012409307	0.021966774	1.001163975	Bac
BACasv14	0.049621311	0.04375856	0.063204633	0.05136862	0.057237588	0.067640221	0.075206405	0.048106448	5.701797325	Bac
BACasv15	0.001994349	0.002739085	0	0	0	0.013586167	0.009557168	0	0.348459613	Bac
BACasv16	0.004985873	0.004041821	0.002876448	0.006244101	0	0.001162453	0	0	0.2413837	Bac
BACasv17	0.027184881	0.020643351	0.028339768	0.026864155	0.013524125	0.013586167	0.012359269	0.010314148	1.9101983	Bac
BACasv18	0.010565303	0.008117046	0.014324324	0.010310027	0.013436873	0.003414705	0.005203903	0.005826313	0.889981175	Bac
BACasv19	0.003347658	0.002939506	0	0.004973499	0.017275979	0.015329846	0.01861396	0.023383986	1.073305425	Bac
BACasv20	0.012702106	0.009586799	0.015212355	0.00972918	0.031323619	0.011987794	0.018914186	0.014487048	1.549288588	Bac
BACasv21	0.010517819	0.013060761	0.00488417	0.00773252	0.01657796	0.018235978	0.020365274	0.032517125	1.548645088	Bac
BACasv22	0.002587906	0.001970805	0.001312741	0.001524722	0.008027223	0.013731473	0.01255942	0.011495158	0.6651181	Bac
BACasv23	0.01495762	0.01209206	0.006447876	0.005808466	0.018061251	0.010752688	0.013910433	0.008739469	1.134623288	Bac
BACasv24	0.005223296	0.001770384	0	0	0	0	0.000550413	0	0.094301163	Bac
BACasv25	0.00220803	0.003139927	0.002335907	0.005118711	0.023121892	0.015547806	0.021115837	0.022754114	1.1917778	Bac
BACasv26	0.007550037	0.007014731	0.008996139	0.010455239	0.00828898	0.036326649	0.010958219	0.009999213	1.244865088	Bac
BACasv27	0.011562478	0.015733039	0.007471042	0.013540986	0.019893552	0.039087475	0.028321241	0.038737107	2.1793365	Bac
BACasv28	0.010446592	0.008451081	0.008996139	0.010709359	0.001221534	0.002760825	0.001551163	0.002755689	0.586154775	Bac
BACasv29	0.001614473	0.003273541	0.001332046	0.001524722	0.006892941	0.009009009	0.009206905	0.006377451	0.4903886	Bac
BACasv30	0.001994349	0.001269332	0	0.000471938	0.006107669	0.007628596	0.010708031	0.002047083	0.377837475	Bac
BACasv31	0.003656307	0.004876908	0.006930502	0.00486459	0.012128087	0.017945365	0.014660996	0.019919691	1.062280575	Bac
BACasv32	0.020798215	0.016000267	0.009401544	0.013649895	0.002094058	0.001089799	0.001601201	0.001338477	0.8246682	Bac
BACasv33	0.021249317	0.019106791	0.029555985	0.021963261	0.006718436	0.005594304	0.003802852	0.009211873	1.465035238	Bac
BACasv35	0.012630879	0.00988743	0.007606178	0.017679518	0.012215339	0.011624528	0.008656492	0.014959452	1.1907477	Bac
BACasv36	0.000807237	0.001302736	0.000752896	0.000435635	0.010295786	0.005594304	0.005904428	0.005668845	0.384523338	Bac
BACasv37	0.00189938	0.002238033	0.000559846	0.000653452	0.006980194	0.001888986	0.002451839	0.001102275	0.222175063	Bac
BACasv38	0.002326741	0.001135718	0.006254826	0.008567487	0.00575866	0.002760825	0.003452589	0.00299189	0.4156092	Bac
BACasv39	0.019967236	0.016634933	0.030849421	0.03154723	0.004100864	0.004504505	0.002852139	0.007007322	1.468295625	Bac
BACasv40	0.005650656	0.006246451	0.003590734	0.006135192	0.008986999	0.001671026	0.005504128	0.004802771	0.532349463	Bac
BACasv41	0.000617299	0.000567859	0.000579151	0.000399332	0	0	0	0	0.027045513	Bac
BACasv42	0.001923123	0.001302736	0.000772201	0.000617149	0.005496903	0.009880849	0.013059795	0.006456185	0.493861763	Bac
BACasv43	0.001139628	0.001503157	0.006602317	0.004683076	0	0	0	0	0.174102225	Bac
BACasv44	0.006647831	0.002872699	0.002992278	0.004065926	0	0	0.001250938	0	0.2228709	Bac
BACasv45	0.00652912	0.005711995	0.004073359	0.004320046	0.006282174	0.008282476	0.004503378	0.005038973	0.559269013	Bac
BACasv46	0.014601486	0.013094164	0.021505792	0.019349452	0	0.004359198	0.003052289	0.002834422	0.984960038	Bac
BACasv47	0.012725848	0.012559709	0.010617761	0.019603572	0.010644795	0.009444929	0.009206905	0.009054405	1.17322405	Bac
BACasv48	0.012607137	0.012292481	0.005984556	0.009583969	0.013000611	0.006974717	0.006554916	0.009054405	0.9506599	Bac
BACasv49	0.008167335	0.009687009	0.002799228	0.005626951	0.006107669	0.002324906	0.003152364	0	0.473318275	Bac
BACasv50	0.013438116	0.012292481	0.006235521	0.008385973	0.006282174	0.009808195	0.00830623	0.004802771	0.869393263	Bac
BACasv53	0.002397968	0.003039717	0.001505792	0.001452116	0.001919553	0.001961639	0.001250938	0.003621762	0.214368563	Bac
BACasv54	0.006481635	0.008551291	0.006447876	0.01060045	0.010644795	0.015693112	0.010657993	0.013069837	1.026837363	Bac
BACasv55	0	0	0.004247104	0.00199666	0	0	0	0	0.07804705	Bac
BACasv56	0.004439802	0.003139927	0.001003861	0.00199666	0.003053835	0.003560012	0.002451839	0	0.2455742	Bac
BACasv58	0.008167335	0.005311153	0.008610039	0.006824947	0.00287933	0.00726533	0.003152364	0.006062515	0.603412663	Bac
BACasv59	0.004819678	0.00297291	0.006833977	0.006788644	0	0	0	0	0.267690113	Bac
BACasv60	0.005199554	0.005210943	0.004189189	0.00399332	0.004537126	0.005666957	0.006054541	0.005353909	0.502569238	Bac
BACasv61	0.008238562	0.009954237	0.006100386	0.004937196	0.004100864	0.007846556	0.002351764	0.009684277	0.665173025	Bac
BACasv65	0.001638216	0.001402946	0.001042471	0.001561025	0	0.002034292	0.002301726	0.001495945	0.143457763	Bac
BACasv66	0.004511028	0.004075225	0.006216216	0.003630291	0	0.001598373	0.001250938	0.001889615	0.289646075	Bac
BACasv67	0.003466369	0.003340348	0.001293436	0.002141872	0.004711631	0.003124092	0.005103828	0.004251634	0.342915125	Bac
BACasv68	0.001970607	0.003006313	0.000521236	0	0.000610767	0.001307759	0.000500375	0	0.098963213	Bac
BACasv69	0.007621264	0.008718308	0.003146718	0.002323386	0.002181311	0	0.007605704	0.00377923	0.442199013	Bac
BACasv70	0.000617299	0.001235929	0.001795367	0.00112539	0.00575866	0.001888986	0.001250938	0.002755689	0.205353225	Bac
BACasv71	0.004249863	0.004275646	0.00011583	0	0.001047029	0.000799186	0.000550413	0.000708606	0.146832163	Bac
BACasv72	0.006125502	0.007315362	0.001988417	0.001488419	0.006194922	0.002542865	0.002852139	0.001023541	0.369139588	Bac
BACasv73	0.001923123	0.00297291	0.000405405	0.000399332	0.004013611	0.001961639	0.004003002	0.004094166	0.24716485	Bac
BACasv75	0.004226121	0.003774593	0.002548263	0	0	0.001089799	0.001601201	0.001653413	0.186167375	Bac
BACasv76	0.00220803	0.004208839	0.001563707	0.000508241	0.007590961	0.004722464	0.003102327	0.004094166	0.349984188	Bac
BACasv77	0.004819678	0.005311153	0.000637066	0.003412474	0.004100864	0.003850625	0.002351764	0.005432643	0.373953338	Bac
BACasv78	0.005104585	0.006580486	0.001891892	0.002650113	0.003490097	0.003560012	0.002151614	0.003070624	0.356242788	Bac
BACasv80	0.003964956	0.004709891	0.001467181	0.002722718	0.002704825	0.005666957	0.001701276	0	0.28672255	Bac
BACasv82	0.00052233	0.000634666	0.002586873	0.003521382	0.002094058	0.001525719	0.002501876	0	0.1673363	Bac
BACasv84	0.000641041	0.001169122	0	0	0	0	0	0	0.022627038	Bac
BACasv86	0.001543247	0.002605471	0.001621622	0	0	0	0	0	0.07212925	Bac
BACasv87	0.001139628	0.001803788	0.003571429	0.002287083	0.002094058	0.001380413	0.001150863	0.001495945	0.186540088	Bac
