label	Kindom	Abundance
BACasv1	Bac	9.430273238
BACasv2	Bac	3.175346988
BACasv3	Bac	2.6022785
BACasv4	Bac	4.818141013
BACasv5	Bac	1.634516463
BACasv6	Bac	1.3926483
BACasv8	Bac	4.732049863
BACasv9	Bac	1.852985225
BACasv10	Bac	1.659505425
BACasv11	Bac	3.995073325
BACasv12	Bac	0.964615163
BACasv13	Bac	1.001163975
BACasv15	Bac	0.348459613
BACasv16	Bac	0.2413837
BACasv17	Bac	1.9101983
BACasv18	Bac	0.889981175
BACasv19	Bac	1.073305425
BACasv20	Bac	1.549288588
BACasv21	Bac	1.548645088
BACasv22	Bac	0.6651181
BACasv23	Bac	1.134623288
BACasv25	Bac	1.1917778
BACasv26	Bac	1.244865088
BACasv27	Bac	2.1793365
BACasv28	Bac	0.586154775
BACasv29	Bac	0.4903886
BACasv30	Bac	0.377837475
BACasv31	Bac	1.062280575
BACasv32	Bac	0.8246682
BACasv33	Bac	1.465035238
BACasv36	Bac	0.384523338
BACasv37	Bac	0.222175063
BACasv39	Bac	1.468295625
BACasv41	Bac	0.027045513
BACasv42	Bac	0.493861763
BACasv43	Bac	0.174102225
BACasv44	Bac	0.2228709
BACasv46	Bac	0.984960038
BACasv47	Bac	1.17322405
BACasv48	Bac	0.9506599
BACasv49	Bac	0.473318275
BACasv50	Bac	0.869393263
BACasv54	Bac	1.026837363
BACasv55	Bac	0.07804705
BACasv59	Bac	0.267690113
BACasv66	Bac	0.289646075
BACasv67	Bac	0.342915125
BACasv70	Bac	0.205353225
BACasv73	Bac	0.24716485
BACasv75	Bac	0.186167375
BACasv76	Bac	0.349984188
BACasv77	Bac	0.373953338
BACasv80	Bac	0.28672255
BACasv82	Bac	0.1673363
BACasv84	Bac	0.022627038
BACasv86	Bac	0.07212925
BACasv88	Bac	0.081777425
BACasv89	Bac	0.190696488
BACasv90	Bac	0.124749113
BACasv91	Bac	0.4638622
BACasv92	Bac	0.1424499
BACasv96	Bac	0.525749575
BACasv99	Bac	0.230366988
BACasv100	Bac	0.088098
BACasv101	Bac	0.100109063
BACasv102	Bac	0.167716938
BACasv103	Bac	0.157238863
BACasv110	Bac	0.18126565
BACasv112	Bac	0.03752815
BACasv113	Bac	0.07541495
BACasv114	Bac	0.1985152
BACasv116	Bac	0.20726915
BACasv120	Bac	0.062906513
BACasv121	Bac	0.17164895
BACasv123	Bac	0.292068813
BACasv124	Bac	0.299483
BACasv125	Bac	0.128474263
BACasv126	Bac	0.119573813
BACasv128	Bac	0.280591025
BACasv129	Bac	0.147751638
BACasv131	Bac	0.180819325
BACasv132	Bac	0.105576888
BACasv134	Bac	0.06902985
BACasv139	Bac	0.150612275
BACasv141	Bac	0.2939084
BACasv142	Bac	0.123872475
BACasv143	Bac	0.478180538
BACasv145	Bac	0.1350781
BACasv148	Bac	0.2852723
BACasv152	Bac	0.1404099
BACasv153	Bac	0.03811815
BACasv156	Bac	0.088152275
BACasv157	Bac	0.122357913
BACasv160	Bac	0.149599325
BACasv161	Bac	0.072035963
BACasv164	Bac	0.0378879
BACasv167	Bac	0.0740422
BACasv169	Bac	0.008739838
BACasv173	Bac	0.04143205
BACasv174	Bac	0.037835563
BACasv176	Bac	0.093573075
BACasv177	Bac	0.016797138
BACasv181	Bac	0.039296013
BACasv182	Bac	0.052170575
BACasv183	Bac	0.043807325
BACasv186	Bac	0.085644388
BACasv187	Bac	0.455380288
BACasv188	Bac	0.0545582
BACasv192	Bac	0.099051213
BACasv193	Bac	0.060485538
BACasv194	Bac	0.053351063
BACasv195	Bac	0.073192188
BACasv199	Bac	0.1104479
BACasv205	Bac	0.045464788
BACasv206	Bac	0.037513338
BACasv207	Bac	0.054829313
BACasv208	Bac	0.029525238
BACasv209	Bac	0.033523
BACasv211	Bac	0.073043475
BACasv213	Bac	0.068905363
BACasv215	Bac	0.09595785
BACasv219	Bac	0.059603538
BACasv221	Bac	0.04187575
BACasv222	Bac	0.067985275
BACasv223	Bac	0.046972463
BACasv230	Bac	0.0606633
BACasv231	Bac	0.092702963
BACasv233	Bac	0.003861
BACasv234	Bac	0.014597075
BACasv235	Bac	0.054163975
BACasv236	Bac	0.042061738
BACasv237	Bac	0.103353513
BACasv238	Bac	0.030732775
BACasv240	Bac	0.02105975
BACasv241	Bac	0.004537863
BACasv242	Bac	0.116622638
BACasv245	Bac	0.015835838
BACasv247	Bac	0.0505803
BACasv252	Bac	0.024190613
BACasv253	Bac	0.160967413
BACasv254	Bac	0.011189038
BACasv260	Bac	0.10228015
BACasv265	Bac	0.024858175
BACasv267	Bac	0.063220725
BACasv268	Bac	0.0162622
BACasv270	Bac	0.0214472
BACasv271	Bac	0.0541296
BACasv283	Bac	0.004592975
BACasv284	Bac	0.03490975
BACasv285	Bac	0.042169675
BACasv287	Bac	0.090065038
BACasv288	Bac	0.192432275
BACasv290	Bac	0.00626315
BACasv293	Bac	0.0444966
BACasv294	Bac	0.002171813
BACasv296	Bac	0.03446195
BACasv299	Bac	0.004362625
BACasv300	Bac	0.02536805
BACasv301	Bac	0.023351488
BACasv302	Bac	0.01262185
BACasv305	Bac	0.036902675
BACasv306	Bac	0.03641445
BACasv309	Bac	0.02865755
BACasv311	Bac	0.046796663
BACasv315	Bac	0.03566555
BACasv317	Bac	0.003264563
BACasv319	Bac	0.024387163
BACasv323	Bac	0.031712288
BACasv324	Bac	0.083283688
BACasv325	Bac	0.029277188
BACasv330	Bac	0.021163688
BACasv331	Bac	0.025742888
BACasv333	Bac	0.0004825
BACasv336	Bac	0.02850735
BACasv343	Bac	0.099692113
BACasv347	Bac	0.026046763
BACasv348	Bac	0.041601213
BACasv351	Bac	0.048155763
BACasv352	Bac	0.0201348
BACasv355	Bac	0.009075725
BACasv358	Bac	0.028100075
BACasv359	Bac	0.018605238
BACasv362	Bac	0.005638788
BACasv366	Bac	0.047895363
BACasv367	Bac	0.047951663
BACasv374	Bac	0.026292888
BACasv385	Bac	0.010377675
BACasv387	Bac	0.0382247
BACasv388	Bac	0.0304999
BACasv389	Bac	0.063971338
BACasv391	Bac	0.002967788
BACasv393	Bac	0.035857
BACasv397	Bac	0.0254596
BACasv398	Bac	0.010684013
BACasv399	Bac	0.022754638
BACasv403	Bac	0.004964138
BACasv404	Bac	0.019522313
BACasv408	Bac	0.012838938
BACasv409	Bac	0.014614025
BACasv411	Bac	0.030105225
