"","whole_microbiotaportion.removed","remain.mean","remain.sd","remain.se","weighted","biota","treat"
"1",0.05,0.710514184397163,0.0258207338680011,0.00258207338680011,"weighted","arable-whole_microbiota","arable"
"2",0.1,0.675496453900709,0.019899209710507,0.0019899209710507,"weighted","arable-whole_microbiota","arable"
"3",0.15,0.634397163120567,0.027435578240764,0.0027435578240764,"weighted","arable-whole_microbiota","arable"
"4",0.2,0.592269503546099,0.0307730481677145,0.00307730481677145,"weighted","arable-whole_microbiota","arable"
"5",0.25,0.544982269503546,0.0372102877088926,0.00372102877088926,"weighted","arable-whole_microbiota","arable"
"6",0.3,0.511028368794326,0.0321958129496388,0.00321958129496388,"weighted","arable-whole_microbiota","arable"
"7",0.35,0.468847517730496,0.0388547708470126,0.00388547708470126,"weighted","arable-whole_microbiota","arable"
"8",0.4,0.430868794326241,0.0346956002675348,0.00346956002675348,"weighted","arable-whole_microbiota","arable"
"9",0.45,0.386223404255319,0.0338042068324549,0.00338042068324549,"weighted","arable-whole_microbiota","arable"
"10",0.5,0.352393617021277,0.0328826371183177,0.00328826371183177,"weighted","arable-whole_microbiota","arable"
"11",0.55,0.315425531914894,0.0322824116156403,0.00322824116156403,"weighted","arable-whole_microbiota","arable"
"12",0.6,0.273528368794326,0.0361112869822938,0.00361112869822938,"weighted","arable-whole_microbiota","arable"
"13",0.65,0.230177304964539,0.03454139299409,0.003454139299409,"weighted","arable-whole_microbiota","arable"
"14",0.7,0.196329787234043,0.029135110477132,0.0029135110477132,"weighted","arable-whole_microbiota","arable"
"15",0.75,0.166507092198582,0.0250621617273651,0.00250621617273651,"weighted","arable-whole_microbiota","arable"
"16",0.8,0.128156028368794,0.0193606905044753,0.00193606905044753,"weighted","arable-whole_microbiota","arable"
"17",0.85,0.0965957446808511,0.0168592444172548,0.00168592444172548,"weighted","arable-whole_microbiota","arable"
"18",0.9,0.0640957446808511,0.0131731139354051,0.00131731139354051,"weighted","arable-whole_microbiota","arable"
"19",0.95,0.0304432624113475,0.00816239157862772,0.000816239157862772,"weighted","arable-whole_microbiota","arable"
"20",1,0,0,0,"weighted","arable-whole_microbiota","arable"
"21",0.05,0.788244680851064,0.00482292021699041,0.000482292021699041,"unweighted","arable-whole_microbiota","arable"
"22",0.1,0.746294326241135,0.00571399671746856,0.000571399671746856,"unweighted","arable-whole_microbiota","arable"
"23",0.15,0.703421985815603,0.0078885867009947,0.00078885867009947,"unweighted","arable-whole_microbiota","arable"
"24",0.2,0.662517730496454,0.00751911920639081,0.000751911920639081,"unweighted","arable-whole_microbiota","arable"
"25",0.25,0.622517730496454,0.00825309695258211,0.000825309695258211,"unweighted","arable-whole_microbiota","arable"
"26",0.3,0.579769503546099,0.0076126093365004,0.00076126093365004,"unweighted","arable-whole_microbiota","arable"
"27",0.35,0.538244680851064,0.00832113063395791,0.000832113063395791,"unweighted","arable-whole_microbiota","arable"
"28",0.4,0.49709219858156,0.00890819884282152,0.000890819884282152,"unweighted","arable-whole_microbiota","arable"
"29",0.45,0.456099290780142,0.00873760097985534,0.000873760097985534,"unweighted","arable-whole_microbiota","arable"
"30",0.5,0.413297872340426,0.00787103662831916,0.000787103662831916,"unweighted","arable-whole_microbiota","arable"
"31",0.55,0.372074468085106,0.00826799295058548,0.000826799295058548,"unweighted","arable-whole_microbiota","arable"
"32",0.6,0.330265957446809,0.00963211928340218,0.000963211928340218,"unweighted","arable-whole_microbiota","arable"
"33",0.65,0.287340425531915,0.00759308339435958,0.000759308339435958,"unweighted","arable-whole_microbiota","arable"
"34",0.7,0.246489361702128,0.0078000343938975,0.00078000343938975,"unweighted","arable-whole_microbiota","arable"
"35",0.75,0.203262411347518,0.00824547518987957,0.000824547518987957,"unweighted","arable-whole_microbiota","arable"
"36",0.8,0.163209219858156,0.00819081946903717,0.000819081946903717,"unweighted","arable-whole_microbiota","arable"
"37",0.85,0.121117021276596,0.00712211167886838,0.000712211167886838,"unweighted","arable-whole_microbiota","arable"
"38",0.9,0.077854609929078,0.00589992127434048,0.000589992127434048,"unweighted","arable-whole_microbiota","arable"
"39",0.95,0.0375531914893617,0.00443265993251521,0.000443265993251521,"unweighted","arable-whole_microbiota","arable"
"40",1,0,0,0,"unweighted","arable-whole_microbiota","arable"
