nodes_id	degree	modularity
BACasv1	88	3
BACasv2	80	3
BACasv3	95	3
BACasv4	84	3
BACasv5	72	3
BACasv6	113	3
BACasv8	104	3
BACasv9	95	3
BACasv10	90	3
BACasv11	87	3
BACasv12	82	3
BACasv13	81	3
BACasv17	85	3
BACasv18	35	1
BACasv19	87	3
BACasv21	86	3
BACasv22	87	3
BACasv23	18	1
BACasv25	92	3
BACasv26	37	2
BACasv27	94	3
BACasv28	96	3
BACasv29	99	3
BACasv30	96	3
BACasv31	80	3
BACasv32	78	3
BACasv33	99	3
BACasv36	93	3
BACasv37	24	2
BACasv39	97	3
BACasv42	88	3
BACasv47	47	3
BACasv48	17	3
BACasv49	35	1
BACasv50	14	1
BACasv54	88	3
BACasv67	47	3
BACasv70	53	3
BACasv73	60	3
BACasv76	34	3
BACasv77	5	3
BACasv80	6	1
BACasv82	4	3
BACasv89	61	3
BACasv90	83	3
BACasv91	21	3
BACasv92	90	3
BACasv96	82	3
BACasv99	19	1
BACasv101	91	3
BACasv110	74	3
BACasv114	15	3
BACasv116	14	2
BACasv123	29	1
BACasv124	92	3
BACasv128	89	3
BACasv129	41	2
BACasv131	54	3
BACasv139	87	3
BACasv143	23	1
BACasv145	92	3
BACasv148	81	3
BACasv153	35	3
BACasv156	91	3
BACasv157	31	3
BACasv160	29	2
BACasv173	110	3
BACasv176	86	3
BACasv177	32	1
BACasv182	9	1
BACasv187	82	3
BACasv207	105	3
BACasv215	62	3
BACasv221	31	3
BACasv223	59	2
BACasv231	33	1
BACasv242	17	3
BACasv285	38	2
BACasv287	21	3
BACasv299	38	2
BACasv347	64	2
BACasv412	15	3
BACasv496	50	3
BACasv528	55	3
BACasv533	6	1
BACasv541	38	2
BACasv562	83	3
BACasv579	37	1
BACasv580	38	2
BACasv870	38	2
BACasv901	38	2
BACasv902	38	2
BACasv973	38	2
BACasv988	46	1
BACasv1034	38	2
FUNasv2	83	3
FUNasv3	45	3
FUNasv5	73	3
FUNasv6	89	3
FUNasv7	23	3
FUNasv8	11	3
FUNasv9	13	1
FUNasv10	6	2
FUNasv11	69	3
FUNasv12	94	3
FUNasv13	50	1
FUNasv14	82	3
FUNasv16	8	2
FUNasv17	27	2
FUNasv18	9	1
FUNasv19	4	3
FUNasv20	19	1
FUNasv22	38	2
FUNasv23	23	1
FUNasv24	83	3
FUNasv27	15	1
FUNasv28	37	3
FUNasv29	85	3
FUNasv30	85	3
FUNasv31	97	3
FUNasv32	73	3
FUNasv33	92	3
FUNasv34	82	3
FUNasv35	80	3
FUNasv36	58	2
FUNasv38	85	3
FUNasv39	37	1
FUNasv40	95	3
FUNasv41	18	1
FUNasv43	23	3
FUNasv44	85	3
FUNasv47	18	1
FUNasv48	38	1
FUNasv51	77	3
FUNasv52	83	3
FUNasv53	26	2
FUNasv58	23	2
FUNasv62	80	3
FUNasv63	89	3
FUNasv66	34	2
FUNasv67	29	2
FUNasv68	85	3
FUNasv73	17	1
FUNasv75	49	1
FUNasv76	13	1
FUNasv77	44	2
FUNasv81	93	3
FUNasv84	23	1
FUNasv86	86	3
FUNasv89	54	3
FUNasv90	29	1
FUNasv91	85	3
FUNasv92	88	3
FUNasv95	34	1
FUNasv98	97	3
FUNasv101	52	2
FUNasv102	104	3
FUNasv103	91	3
FUNasv112	91	3
FUNasv119	48	3
FUNasv132	86	3
FUNasv139	34	1
FUNasv140	17	1
FUNasv143	118	3
FUNasv146	59	1
FUNasv155	38	2
FUNasv156	81	3
FUNasv158	41	3
FUNasv163	96	3
FUNasv166	9	2
FUNasv169	101	3
FUNasv170	73	3
FUNasv172	16	1
FUNasv182	67	3
FUNasv186	88	3
FUNasv188	79	3
FUNasv192	52	1
FUNasv196	27	3
FUNasv203	57	3
FUNasv204	35	3
FUNasv207	87	3
FUNasv211	20	1
FUNasv214	98	3
FUNasv218	37	3
FUNasv224	72	3
FUNasv225	15	1
FUNasv229	98	3
FUNasv233	24	3
FUNasv249	22	1
FUNasv254	94	3
FUNasv257	13	2
FUNasv269	86	3
FUNasv276	24	1
FUNasv277	83	3
FUNasv286	99	3
FUNasv291	61	2
FUNasv296	111	3
FUNasv301	106	3
FUNasv309	67	3
FUNasv310	64	2
FUNasv313	38	2
FUNasv314	38	2
FUNasv317	39	2
FUNasv325	37	2
FUNasv329	38	2
FUNasv330	17	1
FUNasv334	14	1
FUNasv340	28	3
FUNasv361	28	3
FUNasv364	61	2
FUNasv370	5	2
FUNasv371	44	2
FUNasv372	54	3
FUNasv378	9	1
FUNasv379	64	2
FUNasv394	38	2
FUNasv403	38	2
FUNasv406	18	3
FUNasv418	35	3
FUNasv419	61	2
FUNasv427	10	3
FUNasv477	38	2
FUNasv485	61	2
FUNasv501	64	2
FUNasv514	35	3
FUNasv515	61	2
FUNasv541	6	1
FUNasv544	61	2
FUNasv568	38	2
FUNasv617	38	2
FUNasv628	38	2
FUNasv629	38	2
FUNasv630	30	2
FUNasv644	38	2
FUNasv645	38	2
FUNasv652	38	2
FUNasv667	38	2
FUNasv668	38	2
FUNasv672	38	2
FUNasv707	35	3
FUNasv726	38	2
FUNasv759	38	2
ProASV257	38	2
ProASV258	38	2
ProASV259	38	2
Cephalobus	45	3
Prismatolaimus	14	1
Rhabdolaimus	26	1
Alaimus	38	2
Paramphidelus	46	1
Filenchus	16	3
Aphelenchus	30	1
Mesodorylaimus	24	1
Microdorylaimus	34	1
