nodes_id	within_module_connectivities	among_module_connectivities	degree	modularity
Acrobeloides	-1.8448757057321	0.5	6	1
Aphelenchus	-0.537579675842467	0.185493460166469	29	1
Aporcelaimellus	-1.44700300098308	0	10	1
BACasv1	0.542360522762015	0.530954631379962	92	1
BACasv10	0.315004691476861	0.496049382716049	90	1
BACasv100	1.22442801661748	0	57	1
BACasv101	0.759180239712759	0.437282986111111	96	5
BACasv103	0.669684936895235	0.399524375743163	87	5
BACasv11	1.56546176354521	0.442055228610231	94	1
BACasv110	0.535441982668948	0.392623438429506	82	5
BACasv114	-1.98431348329844	0.631111111111111	15	3
BACasv12	0.599199480583304	0.498348526885982	87	1
BACasv123	0.371843649298149	0	42	1
BACasv125	1.20665675380038	0.395890281836177	103	5
BACasv126	-1.56068091662566	0.473372781065089	13	1
BACasv128	1.05391114315361	0.498821755113583	103	1
BACasv129	-0.49375399973258	0.176085663295657	41	5
BACasv13	0.769716354047169	0.497873345935728	92	1
BACasv131	-0.480740718021179	0.497621878715815	58	1
BACasv142	0.893423193939045	0.413194444444444	96	5
BACasv143	-1.33332508534051	0.142011834319527	13	1
BACasv145	0.201326775834284	0.512523629489603	92	1
BACasv148	0.712877396225881	0.494649227110583	87	1
BACasv15	-2.31881410383337	0.578512396694215	11	2
BACasv157	-1.12022111945525	0.460973370064279	33	5
BACasv16	0.714432588303997	0.453144523115369	98	5
BACasv160	-1.33332508534051	0.62396694214876	22	1
BACasv161	1.73597863700907	0.13330688355485	71	1
BACasv17	0.542360522762015	0.499094612947035	94	1
BACasv173	1.47514266225295	0.42603550295858	117	5
BACasv174	-0.0591002095429794	0.621748178980229	62	2
BACasv176	1.1107501009749	0.483292866227309	93	1
BACasv18	-0.139706971093447	0.30375	40	1
BACasv187	1.39494489008134	0.46875	96	1
BACasv188	-1.52294998213411	0.544423440453686	23	5
BACasv19	0.485521564940727	0.499753086419753	90	1
BACasv2	0.258165733655572	0.498269896193772	85	1
BACasv20	-1.43345467931658	0.110726643598616	17	5
BACasv207	1.20665675380038	0.43827611395179	111	5
BACasv21	1.1107501009749	0.483292866227309	93	1
BACasv211	-1.27648612751922	0.425925925925926	18	1
BACasv213	1.22442801661748	0	57	1
BACasv22	0.712877396225881	0.526666666666667	90	1
BACasv223	0.445946679851424	0.149155958679768	63	5
BACasv23	-1.61751987444695	0.462809917355372	11	1
BACasv230	0.599199480583304	0	46	1
BACasv231	-0.708096549306333	0.1472	25	1
BACasv238	-0.0591002095429794	0.621748178980229	62	2
BACasv25	0.893423193939045	0.44623076169003	101	5
BACasv26	-0.764935507127621	0.50137741046832	33	1
BACasv267	-1.97116581240408	0.42603550295858	13	2
BACasv27	1.56546176354521	0.475068338203412	103	1
BACasv28	1.25140440520914	0.393491124260355	104	5
BACasv285	-0.717492256776391	0.156734693877551	35	5
BACasv288	0.177460771398851	0.467992451734649	83	5
BACasv29	0.490694331260186	0.501665972511454	98	5
BACasv3	0.445946679851424	0.503772983313848	97	5
BACasv30	0.535441982668948	0.499540863177227	99	5
BACasv309	0.723108446172924	0.0475907198096371	41	2
BACasv31	1.33810593226005	0.460066162570889	92	1
BACasv32	1.05391114315361	0.477212473172579	89	1
BACasv324	0.669684936895235	0.446759002770083	95	5
BACasv33	0.490694331260186	0.501665972511454	98	5
BACasv331	0.485521564940727	0	44	1
BACasv36	1.07241379957409	0.420774813837308	103	5
BACasv367	1.90649551047294	0	69	1
BACasv37	-1.47820233072535	0.433884297520661	22	5
BACasv388	-0.359511045506294	0.396694214876033	55	5
BACasv39	0.803927891121521	0.4296875	96	5
BACasv4	0.669684936895235	0.444470699432892	92	5
BACasv404	-1.62351752097479	0.483471074380165	22	2
BACasv42	0.599199480583304	0.530465949820789	93	1
BACasv428	0.485521564940727	0.0434567901234568	45	1
BACasv46	0.580189634077711	0.4974	100	5
BACasv47	0.0308099023704182	0.389837567680133	49	1
BACasv472	-2.14498995811872	0.37037037037037	9	2
BACasv48	-1.61751987444695	0.42	10	1
BACasv49	0.0308099023704182	0.0525931336742148	37	1
BACasv493	-1.62351752097479	0.530321046373365	29	2
BACasv5	0.712877396225881	0.482853223593964	81	1
BACasv50	-1.56769763354287	0.54421768707483	21	5
BACasv54	1.56546176354521	0.459183673469388	98	1
BACasv556	0.201326775834284	0	39	1
BACasv561	0.549284300458279	0.135633551457466	41	2
BACasv562	0.428682607119438	0.497873345935728	92	1
BACasv569	0.549284300458279	0.135633551457466	41	2
BACasv6	1.25140440520914	0.431783134485837	111	5
BACasv610	0.201636009028989	0	34	2
BACasv637	-0.253384886736024	0	31	1
BACasv66	1.25140440520914	0.379853902345252	102	5
BACasv67	-0.935452380591487	0.493239588967009	43	1
BACasv70	-0.0462774856449591	0.307372175980975	58	5
BACasv73	-0.651257591485044	0.532115022843322	61	1
BACasv76	-0.627996953958867	0.192520775623269	38	5
BACasv77	0.661437827766148	0	7	3
BACasv775	-1.36278130240282	0.36281179138322	21	2
BACasv8	1.16190910239162	0.431412894375857	108	5
BACasv800	0.549284300458279	0.135633551457466	41	2
BACasv82	-0.661437827766148	0	6	3
BACasv89	-0.314763394097532	0.483245149911817	63	5
BACasv9	0.580189634077711	0.4974	100	5
BACasv90	0.0876488601917067	0.487345041322314	88	1
BACasv903	0.549284300458279	0.135633551457466	41	2
BACasv91	-1.2992117250903	0.3936	25	5
BACasv92	0.445946679851424	0.462263011713561	91	5
BACasv96	1.2961520566179	0.272920604914934	92	5
BACasv962	0.723108446172924	0.0475907198096371	41	2
BACasv99	-1.27648612751922	0.231111111111111	15	1
BACasv996	0.549284300458279	0.135633551457466	41	2
Cephalobus	0.769716354047169	0.0753556324490581	51	1
Ditylenchus	-1.61751987444695	0.21875	8	1
Epidorylaimus	0.201326775834284	0	39	1
Eudorylaimus	0.201636009028989	0	34	2
FUNasv10	-1.83618354199544	0	7	5
FUNasv101	0.445946679851424	0.146132527084908	63	5
FUNasv102	1.16190910239162	0.410502958579882	104	5
FUNasv103	0.848675542530283	0.380493827160494	90	5
FUNasv11	0.3564513770339	0.368151935719503	74	5
FUNasv12	1.25140440520914	0.356698296092235	99	5
FUNasv132	1.05391114315361	0.488909008601177	94	1
FUNasv138	-1.16280821187664	0.277777777777778	18	1
FUNasv139	-0.82177446494891	0.498046875	32	1
FUNasv14	0.222208422807614	0.461605457976484	83	5
FUNasv143	1.56463796507048	0.434963719430261	122	5
FUNasv146	0.599199480583304	0.357777777777778	60	1
FUNasv156	1.33810593226005	0.455983576862698	91	1
FUNasv158	-1.03072581663773	0.547322877230936	43	5
FUNasv16	-1.79143589058668	0.34	10	5
FUNasv163	0.580189634077711	0.487830800297587	97	5
FUNasv166	-1.74668823917792	0.473372781065089	13	5
FUNasv17	-1.16496877086401	0.318244170096022	27	5
FUNasv172	-1.10596925405535	0.380952380952381	21	1
FUNasv174	-1.79734166668943	0.152777777777778	12	2
FUNasv176	-0.935452380591487	0.34375	24	1
FUNasv178	-1.88093119340421	0.244897959183674	7	5
FUNasv182	0.580189634077711	0.329229212346095	77	5
FUNasv186	1.02766614816533	0.392390264640238	97	5
FUNasv188	0.542360522762015	0.495240928019036	82	1
FUNasv19	-0.661437827766148	0	6	3
FUNasv192	-0.253384886736024	0.5096	50	1
FUNasv196	-1.25446407368154	0.558071585098612	37	5
FUNasv2	0.201326775834284	0.508112493239589	86	1
FUNasv20	-1.44700300098308	0	10	1
FUNasv203	0.266956074216376	0.263671875	64	5
FUNasv206	0.549284300458279	0.135633551457466	41	2
FUNasv207	0.624937285486473	0.439508506616257	92	5
FUNasv209	0.723108446172924	0.0475907198096371	41	2
FUNasv210	-1.79734166668943	0.152777777777778	12	2
FUNasv211	-1.33332508534051	0.244897959183674	14	1
FUNasv214	0.580189634077711	0.494439342924191	99	5
FUNasv216	1.16758905879619	0.266758494031221	66	1
FUNasv218	-0.896482862411439	0.400277008310249	38	5
FUNasv22	-0.583249302550105	0.102264426588751	37	5
FUNasv220	0.669684936895235	0.47917534360683	98	5
FUNasv223	-1.36278130240282	0.36281179138322	21	2
FUNasv224	0.714432588303997	0.353026564087676	83	5
FUNasv229	1.07241379957409	0.435742257030972	106	5
FUNasv23	-0.992291338412776	0.4544	25	1
FUNasv230	0.714432588303997	0.451171875	96	5
FUNasv239	-1.03072581663773	0.523339907955293	39	5
FUNasv24	0.714432588303997	0.380746349378042	86	5
FUNasv246	0.549284300458279	0.135633551457466	41	2
FUNasv251	-0.538501651141343	0.374830239927569	47	5
FUNasv254	0.826555311868458	0.528109376594225	99	1
FUNasv257	-1.25446407368154	0	20	5
FUNasv263	-1.44700300098308	0	10	1
FUNasv27	-0.253384886736024	0	31	1
FUNasv277	0.535441982668948	0.41522491349481	85	5
FUNasv28	-0.480740718021179	0.48	45	1
FUNasv286	1.28126697443877	0.499963474322449	117	1
FUNasv29	1.28126697443877	0.469418429876286	93	1
FUNasv291	0.580189634077711	0	61	5
FUNasv296	1.43039501084419	0.432464022207612	117	5
FUNasv3	-0.449006348323818	0.235537190082645	44	5
FUNasv30	1.25140440520914	0.275329066537858	91	5
FUNasv301	0.656038438404592	0.487085459183674	112	1
FUNasv31	0.98291849675657	0.430603613994617	102	5
FUNasv317	-0.672744605367629	0.30375	40	5
FUNasv32	0.599199480583304	0.49546485260771	84	1
FUNasv325	-0.762239908185153	0.284879474068663	37	5
FUNasv330	-1.21964716969793	0	14	1
FUNasv34	0.826555311868458	0.486749594375338	86	1
FUNasv340	-1.34395937649906	0.375	24	5
FUNasv347	0.661437827766148	0.42	10	3
FUNasv359	0.723108446172924	0.0475907198096371	41	2
FUNasv36	-0.180520439871245	0.412777777777778	60	5
FUNasv361	-1.34395937649906	0.375	24	5
FUNasv364	0.580189634077711	0	61	5
FUNasv370	-1.97042649622173	0.444444444444444	6	5
FUNasv371	-0.135772788462483	0.0425330812854442	46	5
FUNasv38	0.542360522762015	0.499094612947035	94	1
FUNasv39	0.144487818012995	0	38	1
FUNasv40	0.201326775834284	0.506293402777778	96	1
FUNasv406	-1.38870702790782	0.104938271604938	18	5
FUNasv41	-1.16280821187664	0	15	1
FUNasv413	-0.0591002095429794	0.621748178980229	62	2
FUNasv419	0.266956074216376	0.128418549346017	58	5
FUNasv427	-1.83618354199544	0	7	5
FUNasv43	0.661437827766148	0.635	20	3
FUNasv44	0.803927891121521	0.411389413988658	92	5
FUNasv443	0.549284300458279	0.135633551457466	41	2
FUNasv45	0.490694331260186	0.41109014370736	83	5
FUNasv469	0.258165733655572	0.484429065743945	68	1
FUNasv47	-0.253384886736024	0	31	1
FUNasv485	0.266956074216376	0.128418549346017	58	5
FUNasv49	0.714432588303997	0.470564228139986	99	5
FUNasv5	0.599199480583304	0.49546485260771	84	1
FUNasv51	0.445946679851424	0.39875	80	5
FUNasv513	0.723108446172924	0.0475907198096371	41	2
FUNasv515	0.266956074216376	0.128418549346017	58	5
FUNasv516	0.201326775834284	0	39	1
FUNasv52	0.759180239712759	0.424827919333414	91	5
FUNasv53	-1.16496877086401	0	22	5
FUNasv54	-1.44700300098308	0.355029585798817	13	1
FUNasv544	0.580189634077711	0	61	5
FUNasv55	0.266956074216376	0.474173553719008	88	5
FUNasv550	0.549284300458279	0.135633551457466	41	2
FUNasv569	0.549284300458279	0.135633551457466	41	2
FUNasv58	-1.20971642227277	0.21875	24	5
FUNasv588	0.549284300458279	0.135633551457466	41	2
FUNasv6	0.669684936895235	0.46005540166205	95	5
FUNasv62	1.47514266225295	0.238343141693074	94	5
FUNasv63	0.826555311868458	0.497167302578333	93	1
