"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","biota","treat"
"1",0.05,0.525673981191223,0.0134754994305127,0.00134754994305127,"weighted","soil micro-food web","arable"
"2",0.1,0.495924764890282,0.0211535700663262,0.00211535700663262,"weighted","soil micro-food web","arable"
"3",0.15,0.4658934169279,0.0201774488093173,0.00201774488093173,"weighted","soil micro-food web","arable"
"4",0.2,0.435235109717868,0.023495535500242,0.0023495535500242,"weighted","soil micro-food web","arable"
"5",0.25,0.407084639498433,0.021645347335687,0.0021645347335687,"weighted","soil micro-food web","arable"
"6",0.3,0.383510971786834,0.0215451440913811,0.00215451440913811,"weighted","soil micro-food web","arable"
"7",0.35,0.353385579937304,0.0223618794192846,0.00223618794192846,"weighted","soil micro-food web","arable"
"8",0.4,0.325611285266458,0.0256290471384985,0.00256290471384985,"weighted","soil micro-food web","arable"
"9",0.45,0.293918495297806,0.0205254027059088,0.00205254027059088,"weighted","soil micro-food web","arable"
"10",0.5,0.268557993730408,0.0230275711492836,0.00230275711492836,"weighted","soil micro-food web","arable"
"11",0.55,0.245423197492163,0.0198126447067467,0.00198126447067467,"weighted","soil micro-food web","arable"
"12",0.6,0.216300940438871,0.019262443069602,0.0019262443069602,"weighted","soil micro-food web","arable"
"13",0.65,0.19282131661442,0.0178363119361271,0.00178363119361271,"weighted","soil micro-food web","arable"
"14",0.7,0.16705329153605,0.0171947981977043,0.00171947981977043,"weighted","soil micro-food web","arable"
"15",0.75,0.137617554858934,0.018172644049664,0.0018172644049664,"weighted","soil micro-food web","arable"
"16",0.8,0.110501567398119,0.0156668550343681,0.00156668550343681,"weighted","soil micro-food web","arable"
"17",0.85,0.0807836990595611,0.0130652982463627,0.00130652982463627,"weighted","soil micro-food web","arable"
"18",0.9,0.0536050156739812,0.012747236969121,0.0012747236969121,"weighted","soil micro-food web","arable"
"19",0.95,0.0226018808777429,0.00830340044313423,0.000830340044313423,"weighted","soil micro-food web","arable"
"20",1,0,0,0,"weighted","soil micro-food web","arable"
"21",0.05,0.63564263322884,0.00912969737829201,0.000912969737829201,"unweighted","soil micro-food web","arable"
"22",0.1,0.603228840125392,0.0114748491193821,0.00114748491193821,"unweighted","soil micro-food web","arable"
"23",0.15,0.567523510971787,0.0128048857802117,0.00128048857802117,"unweighted","soil micro-food web","arable"
"24",0.2,0.534545454545455,0.0161233823266757,0.00161233823266757,"unweighted","soil micro-food web","arable"
"25",0.25,0.498620689655172,0.0181689293934974,0.00181689293934974,"unweighted","soil micro-food web","arable"
"26",0.3,0.464764890282132,0.018331012416072,0.0018331012416072,"unweighted","soil micro-food web","arable"
"27",0.35,0.43269592476489,0.016668103423571,0.0016668103423571,"unweighted","soil micro-food web","arable"
"28",0.4,0.393479623824451,0.0186416905319875,0.00186416905319875,"unweighted","soil micro-food web","arable"
"29",0.45,0.364858934169279,0.0175976388457524,0.00175976388457524,"unweighted","soil micro-food web","arable"
"30",0.5,0.326739811912226,0.0200048989770349,0.00200048989770349,"unweighted","soil micro-food web","arable"
"31",0.55,0.29717868338558,0.0173939893960241,0.00173939893960241,"unweighted","soil micro-food web","arable"
"32",0.6,0.259780564263323,0.0182443574150642,0.00182443574150642,"unweighted","soil micro-food web","arable"
"33",0.65,0.226583072100313,0.0179172960797327,0.00179172960797327,"unweighted","soil micro-food web","arable"
"34",0.7,0.188902821316614,0.0172312724593384,0.00172312724593384,"unweighted","soil micro-food web","arable"
"35",0.75,0.159184952978056,0.0147276461330622,0.00147276461330622,"unweighted","soil micro-food web","arable"
"36",0.8,0.125548589341693,0.0154435099631635,0.00154435099631635,"unweighted","soil micro-food web","arable"
"37",0.85,0.0904075235109718,0.0131249156579672,0.00131249156579672,"unweighted","soil micro-food web","arable"
"38",0.9,0.0575862068965517,0.0110554244975127,0.00110554244975127,"unweighted","soil micro-food web","arable"
"39",0.95,0.0237931034482759,0.00745691848438344,0.000745691848438344,"unweighted","soil micro-food web","arable"
"40",1,0,0,0,"unweighted","soil micro-food web","arable"
