	BACasv1	BACasv2	BACasv3	BACasv4	BACasv5	BACasv6	BACasv8	BACasv9	BACasv10	BACasv11	BACasv12	BACasv13	BACasv17	BACasv18	BACasv19	BACasv21	BACasv22	BACasv23	BACasv25	BACasv26	BACasv27	BACasv28	BACasv29	BACasv30	BACasv31	BACasv32	BACasv33	BACasv36	BACasv37	BACasv39	BACasv42	BACasv47	BACasv48	BACasv49	BACasv50	BACasv54	BACasv67	BACasv70	BACasv73	BACasv76	BACasv77	BACasv80	BACasv82	BACasv89	BACasv90	BACasv91	BACasv92	BACasv96	BACasv99	BACasv101	BACasv110	BACasv114	BACasv116	BACasv123	BACasv124	BACasv128	BACasv129	BACasv131	BACasv139	BACasv143	BACasv145	BACasv148	BACasv153	BACasv156	BACasv157	BACasv160	BACasv173	BACasv176	BACasv177	BACasv182	BACasv187	BACasv207	BACasv215	BACasv221	BACasv223	BACasv231	BACasv242	BACasv285	BACasv287	BACasv299	BACasv347	BACasv412	BACasv496	BACasv528	BACasv533	BACasv541	BACasv562	BACasv579	BACasv580	BACasv870	BACasv901	BACasv902	BACasv973	BACasv988	BACasv1034	FUNasv2	FUNasv3	FUNasv5	FUNasv6	FUNasv7	FUNasv8	FUNasv9	FUNasv10	FUNasv11	FUNasv12	FUNasv13	FUNasv14	FUNasv16	FUNasv17	FUNasv18	FUNasv19	FUNasv20	FUNasv22	FUNasv23	FUNasv24	FUNasv27	FUNasv28	FUNasv29	FUNasv30	FUNasv31	FUNasv32	FUNasv33	FUNasv34	FUNasv35	FUNasv36	FUNasv38	FUNasv39	FUNasv40	FUNasv41	FUNasv43	FUNasv44	FUNasv47	FUNasv48	FUNasv51	FUNasv52	FUNasv53	FUNasv58	FUNasv62	FUNasv63	FUNasv66	FUNasv67	FUNasv68	FUNasv73	FUNasv75	FUNasv76	FUNasv77	FUNasv81	FUNasv84	FUNasv86	FUNasv89	FUNasv90	FUNasv91	FUNasv92	FUNasv95	FUNasv98	FUNasv101	FUNasv102	FUNasv103	FUNasv112	FUNasv119	FUNasv132	FUNasv139	FUNasv140	FUNasv143	FUNasv146	FUNasv155	FUNasv156	FUNasv158	FUNasv163	FUNasv166	FUNasv169	FUNasv170	FUNasv172	FUNasv182	FUNasv186	FUNasv188	FUNasv192	FUNasv196	FUNasv203	FUNasv204	FUNasv207	FUNasv211	FUNasv214	FUNasv218	FUNasv224	FUNasv225	FUNasv229	FUNasv233	FUNasv249	FUNasv254	FUNasv257	FUNasv269	FUNasv276	FUNasv277	FUNasv286	FUNasv291	FUNasv296	FUNasv301	FUNasv309	FUNasv310	FUNasv313	FUNasv314	FUNasv317	FUNasv325	FUNasv329	FUNasv330	FUNasv334	FUNasv340	FUNasv361	FUNasv364	FUNasv370	FUNasv371	FUNasv372	FUNasv378	FUNasv379	FUNasv394	FUNasv403	FUNasv406	FUNasv418	FUNasv419	FUNasv427	FUNasv477	FUNasv485	FUNasv501	FUNasv514	FUNasv515	FUNasv541	FUNasv544	FUNasv568	FUNasv617	FUNasv628	FUNasv629	FUNasv630	FUNasv644	FUNasv645	FUNasv652	FUNasv667	FUNasv668	FUNasv672	FUNasv707	FUNasv726	FUNasv759	ProASV257	ProASV258	ProASV259	Cephalobus	Prismatolaimus	Rhabdolaimus	Alaimus	Paramphidelus	Filenchus	Aphelenchus	Mesodorylaimus	Microdorylaimus
BACasv1	0	-0.80952380952381	0.833333333333333	-0.714285714285714	-0.80952380952381	-0.833333333333333	0.785714285714286	0.714285714285714	-0.714285714285714	-0.904761904761905	-0.934148484292342	0	0.785714285714286	0.738095238095238	-0.857142857142857	-0.857142857142857	-0.952380952380952	0	0	0	-0.833333333333333	0	-0.904761904761905	-0.952380952380952	0	0.714285714285714	0.904761904761905	-0.714285714285714	0	0.80952380952381	-0.928571428571429	0	0	0	0	-0.857142857142857	0	0	0	0	0	0	0	0	-0.80952380952381	0	-0.880952380952381	0	0	-0.785714285714286	-0.738095238095238	0	0	-0.761904761904762	0.756322556535113	-0.738095238095238	0	0.718575757147955	0.785714285714286	0	0.785714285714286	-0.857142857142857	0	0.95150257112482	0	0	-0.761019434147762	-0.857142857142857	0	0	0.833333333333333	-0.710284805204577	0.80952380952381	0	0	0	0	0	0	0	0	0	0	0.853912563829967	0	0	-0.790433332862751	0	0	0	0	0	0	0	0	0	0	0	0.714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738095238095238	-0.904761904761905	0.738095238095238	-0.761904761904762	0	0.756322556535113	0.714285714285714	0	0.738095238095238	0.785714285714286	0	0	0	0	-0.738095238095238	0	0	-0.761904761904762	0	0	0	0	0.761904761904762	-0.780720058358827	0	0.904761904761905	0	0	0	0	0.928571428571429	0	0.857142857142857	0	0	-0.714285714285714	0.802409595481884	0	0.714285714285714	0	0.761904761904762	-0.833333333333333	0.780720058358827	0.754504545005353	-0.761904761904762	0	0	-0.786386748619354	0.742528282386221	0	-0.928571428571429	0	0	0	0.756322556535113	0.826362120720149	-0.761904761904762	0	-0.80511756018254	0.976190476190476	0	0	-0.742528282386221	0	0	0	-0.927105069301107	0	0	0	0	0	0	0.928571428571429	0	0.802409595481884	0	-0.880952380952381	-0.786386748619354	0	-0.811754063090946	-0.811754063090946	0	0	0	0	-0.722968462440373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.736485379546474	0	0	-0.736485379546474	0	0	-0.736485379546474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.857142857142857	0	0	0	0	0	0	0	0
BACasv2	-0.80952380952381	0	-0.761904761904762	0.80952380952381	0	0.738095238095238	-0.785714285714286	-0.880952380952381	0.761904761904762	0.714285714285714	0.946124746911475	0.738095238095238	-0.880952380952381	0	0.857142857142857	0.928571428571429	0.80952380952381	0	0.714285714285714	0	0.738095238095238	-0.833333333333333	0.785714285714286	0.80952380952381	0.761904761904762	0	-0.785714285714286	0.880952380952381	0	-0.833333333333333	0.880952380952381	-0.785714285714286	0	0	0	0	0.833333333333333	0	0.904761904761905	0	0	0	0	0.738095238095238	0.952380952380952	0	0.904761904761905	0.714285714285714	0	0.904761904761905	0	0	0	0	-0.707527552887687	0.80952380952381	0	-0.898219696434944	0	0	-0.952380952380952	0.928571428571429	0	-0.902707567477393	0	0	0.710284805204577	0.928571428571429	0	0	-0.928571428571429	0.735652119676169	0	0	0	0	0	0	0	0	0	0	0.763762615825973	-0.853912563829967	0	0	0.97007727214974	0	0	0	0	0	0	0	0	-0.785714285714286	0	0	-0.928571428571429	0	0	0	0	0	0	0	-0.714285714285714	0	0	0	0	0	0	0	0	0	0	0.833333333333333	0	0.857142857142857	0	-0.707527552887687	-0.761904761904762	-0.730552019767088	0	-0.880952380952381	0	-0.904761904761905	0	0	0.738095238095238	0	0	0	0	0	0	0	-0.80952380952381	0	0	-0.785714285714286	0	0	0	0	-0.833333333333333	0	-0.928571428571429	0	0	0.857142857142857	-0.790433332862751	0	-0.761904761904762	0	0	0	-0.853912563829967	0	0.80952380952381	0	0	0.761019434147762	0	0	0.785714285714286	0	0.850314645958414	0	-0.780720058358827	-0.874267171196679	0	0	0.756322556535113	-0.880952380952381	0	0	0	0	0.826362120720149	0	0.756322556535113	0	0	0	0.7319250547114	0	0	-0.714285714285714	0	0	0	0	0.761019434147762	0	0	0.938590635448906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.791039852105472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.714285714285714	0	0	0	0	0	0	0	0
BACasv3	0.833333333333333	-0.761904761904762	0	-0.857142857142857	0	-0.857142857142857	0.880952380952381	0.761904761904762	0	-0.761904761904762	-0.850314645958414	-0.714285714285714	0.714285714285714	0	0	-0.80952380952381	-0.928571428571429	0	0	0	-0.857142857142857	0.80952380952381	-0.952380952380952	-0.928571428571429	-0.738095238095238	0.738095238095238	0.952380952380952	-0.833333333333333	0	0.928571428571429	-0.928571428571429	0	0	0	0	-0.785714285714286	0	0	0	-0.785714285714286	0	0	0	-0.714285714285714	-0.833333333333333	0	-0.80952380952381	-0.833333333333333	0	-0.857142857142857	0	0	0	0	0.7319250547114	-0.904761904761905	-0.714285714285714	0	0.785714285714286	0	0.714285714285714	-0.880952380952381	0	0.87831006565368	0	0	-0.86248869203413	-0.80952380952381	0	0	0.833333333333333	-0.811754063090946	0.880952380952381	0	-0.84559432466447	0	0	-0.780720058358827	0	0	0	0	0	0.780720058358827	0	0	-0.778457070243618	0	0	0	0	0	0	0	0	0	0.880952380952381	0	0.761904761904762	0	0	0	0	-0.730552019767088	0.80952380952381	0	0	0	0	0	0	0	0	0	0	0	0	-0.880952380952381	0	-0.80952380952381	0	0.7319250547114	0	0.778457070243618	0	0.714285714285714	0	0.785714285714286	0	0	0	0	0	-0.738095238095238	0	0	0	0.80952380952381	0.80952380952381	0	0	0.738095238095238	0	0	0	0	0.928571428571429	0	0.80952380952381	0	0	0	0.946124746911475	0	0.857142857142857	0	0.833333333333333	-0.738095238095238	0.902707567477393	0.874267171196679	-0.738095238095238	0.80952380952381	0	-0.837121377562538	0	0	-0.80952380952381	-0.902707567477393	-0.802409595481884	0	0.853912563829967	0.826362120720149	0	0	-0.853912563829967	0.761904761904762	0	0	-0.850314645958414	0	-0.814385858101016	0	-0.927105069301107	0	0	0	-0.853912563829967	0	0	0.80952380952381	0	0.778457070243618	0	-0.857142857142857	-0.837121377562538	-0.791039852105472	-0.913223320977314	-0.710284805204577	0	0	0	0	0	0	0	0	0.742528282386221	0	0	-0.791039852105472	0	-0.849805034798334	0	0	0	0	0	0	0	-0.791039852105472	0	0	-0.791039852105472	0	0	-0.791039852105472	0	-0.791039852105472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv4	-0.714285714285714	0.80952380952381	-0.857142857142857	0	0.761904761904762	0.738095238095238	-0.880952380952381	-0.880952380952381	0.761904761904762	0.714285714285714	0.754504545005353	0.738095238095238	0	0	0	0.738095238095238	0.80952380952381	0	0.714285714285714	0	0.738095238095238	-0.833333333333333	0.785714285714286	0.80952380952381	0	0	-0.785714285714286	0.880952380952381	0	-0.833333333333333	0.785714285714286	0	0	0	0	0	0	0.738095238095238	0.761904761904762	0.857142857142857	0	0	0	0.880952380952381	0.761904761904762	0.714285714285714	0.80952380952381	0.904761904761905	0	0.80952380952381	0.833333333333333	0	0	0	0	0.904761904761905	0	0	0	0	-0.857142857142857	0.738095238095238	0	-0.80511756018254	0	0	0.913223320977314	0.738095238095238	0	0	-0.833333333333333	0.938590635448906	-0.880952380952381	0	0.763762615825973	0	0	0	0	0	0	0	0	-0.707527552887687	0	0	0.778457070243618	0	0	0	0	0	0	0	0	0	-0.80952380952381	0	-0.928571428571429	-0.714285714285714	0	0	0	0.778457070243618	0	0	-0.714285714285714	0	0	0	0	0	0	0	0.738095238095238	0	-0.80952380952381	0.833333333333333	-0.714285714285714	0.857142857142857	0	0	0	0	0	0	0	-0.904761904761905	0	-0.714285714285714	0	0	0	0.738095238095238	0	0	0	-0.80952380952381	0	0	0	0	0	0	0	0	-0.738095238095238	0	-0.738095238095238	0	0	0.857142857142857	-0.742528282386221	0	-0.952380952380952	0	0	0.785714285714286	-0.756322556535113	0	0	0	0	0.86248869203413	0	0	0.785714285714286	0	0.946124746911475	0	0	-0.826362120720149	0	0.80952380952381	0.95150257112482	0	0	0	0.922172221673209	0	0.730552019767088	0	0.853912563829967	0	0.761904761904762	0	0.927105069301107	0	0	0	0	0	0	0.880952380952381	0.86248869203413	0.791039852105472	0.887856006505722	0.735652119676169	0	0	0	0	0	0	0	0	0	0	0	0.791039852105472	0	0	0	0	0	0	0	0.7319250547114	0	0	0	0	0	0	0	0	0	0.791039852105472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv5	-0.80952380952381	0	0	0.761904761904762	0	0	0	0	0.857142857142857	0.952380952380952	0	0.785714285714286	0	0	0.80952380952381	0.714285714285714	0.80952380952381	0	0.738095238095238	0	0.833333333333333	0	0	0.714285714285714	0.761904761904762	-0.857142857142857	0	0	0	0	0	0	0	0	0	0.904761904761905	0	0	0	0	0	0	0	0	0	0	0	0.714285714285714	0	0	0.928571428571429	0	0	0	-0.80511756018254	0.785714285714286	0	0	-0.833333333333333	0	-0.738095238095238	0	0	-0.80511756018254	0	0	0.811754063090946	0.714285714285714	0	0	-0.785714285714286	0.86248869203413	-0.714285714285714	0	0	0	0	0	0	0	0	0	0	-0.707527552887687	0	0	0	0	0	0	0	0	0	0	0	-0.714285714285714	0	-0.857142857142857	0	0	0	0	0	0.886243433815812	0	-0.707527552887687	-0.80952380952381	0	0	0	0	0	0	0	0.833333333333333	0.738095238095238	-0.928571428571429	0.857142857142857	-0.785714285714286	0	-0.857142857142857	-0.80511756018254	-0.761904761904762	-0.778457070243618	0	0	0	-0.714285714285714	0	0	0	0	0	0.904761904761905	0.761904761904762	0	0	0	0	0	0	-0.761904761904762	0	0	0	0	0	0	-0.714285714285714	0	0	0.761904761904762	0	0	-0.761904761904762	0	0	0.785714285714286	0	0	0.714285714285714	0	0	0.735652119676169	-0.742528282386221	0	0.928571428571429	0	0.718575757147955	0	-0.707527552887687	-0.826362120720149	0	0.857142857142857	0.80511756018254	-0.785714285714286	0.742528282386221	0	0	0	0	0	0.829515062006253	0	0.857142857142857	0	0.756322556535113	0	0	-0.785714285714286	0	-0.802409595481884	0	0.880952380952381	0.938590635448906	0	0.86248869203413	0.761019434147762	0	0	0	0	0	0	0	0	0	0.773703091383558	0.773703091383558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80952380952381	0	0	0	0	0	0	0	0
BACasv6	-0.833333333333333	0.738095238095238	-0.857142857142857	0.738095238095238	0	0	-0.952380952380952	-0.857142857142857	0.761904761904762	0.738095238095238	0.814385858101016	0	-0.857142857142857	0	0.785714285714286	0.80952380952381	0.80952380952381	0	0.833333333333333	0	0.80952380952381	-0.857142857142857	0.952380952380952	0.904761904761905	0	0	-0.952380952380952	0.880952380952381	0.714285714285714	-0.928571428571429	0.80952380952381	0	0	0	0	0.785714285714286	0.761904761904762	0	0.714285714285714	0	0	0	0	0.714285714285714	0.857142857142857	0	0.904761904761905	0.714285714285714	0	0.904761904761905	0.714285714285714	0	0	0	-0.707527552887687	0.714285714285714	0.80952380952381	-0.826362120720149	-0.714285714285714	0	-0.761904761904762	0.833333333333333	0	-0.80511756018254	0	0	0.86248869203413	0.80952380952381	0	0	0	0.786386748619354	-0.761904761904762	0	0.763762615825973	0	0	0.80511756018254	0	0	0.732588631506546	0	0.763762615825973	0	0	0	0.814385858101016	0	0	0	0	0	0	0	0	0	-0.714285714285714	0	-0.761904761904762	0	0	0	0	0	-0.857142857142857	0	0	0	0	0	0	0	0	0	0.714285714285714	0	0	0.738095238095238	-0.80952380952381	0.928571428571429	0	-0.707527552887687	0	0	-0.80952380952381	-0.857142857142857	0	-0.714285714285714	0	0	0.761904761904762	0	0	0.738095238095238	0.761904761904762	-0.761904761904762	-0.738095238095238	-0.785714285714286	-0.833333333333333	0.756322556535113	0	-0.880952380952381	0	0	0	-0.714285714285714	-0.904761904761905	0	-0.80952380952381	0	0	0	-0.814385858101016	0	-0.833333333333333	0	-0.976190476190476	0.904761904761905	-0.780720058358827	-0.790433332862751	0.80952380952381	-0.761904761904762	0	0.913223320977314	0	0	0.714285714285714	0.80511756018254	0.790433332862751	0	-0.80511756018254	0	0	0	0.80511756018254	-0.80952380952381	0	0	0.766480807624486	0	0.898219696434944	0	0.80511756018254	0	0.738095238095238	0	0.829515062006253	0	0	-0.904761904761905	0	-0.742528282386221	0	0.80952380952381	0.710284805204577	0.791039852105472	0.837121377562538	0.786386748619354	0	0.732588631506546	0	0	0.786386748619354	0.735652119676169	0	0	-0.718575757147955	0	0	0.791039852105472	0	0.773703091383558	0.791039852105472	0	0.732588631506546	0	0	0	0	0.87287156094397	0	0	0.87287156094397	0.732588631506546	0	0.87287156094397	0	0.791039852105472	0	0	0	0	0.763762615825973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv8	0.785714285714286	-0.785714285714286	0.880952380952381	-0.880952380952381	0	-0.952380952380952	0	0.928571428571429	-0.761904761904762	0	-0.802409595481884	0	0.80952380952381	0	-0.738095238095238	-0.785714285714286	-0.80952380952381	0	-0.80952380952381	0	-0.761904761904762	0.904761904761905	-0.928571428571429	-0.904761904761905	0	0	0.928571428571429	-0.952380952380952	-0.80952380952381	0.952380952380952	-0.80952380952381	0	0	0	0	-0.714285714285714	-0.80952380952381	0	-0.785714285714286	-0.80952380952381	0	0	0	-0.833333333333333	-0.857142857142857	-0.761904761904762	-0.928571428571429	-0.80952380952381	0	-0.928571428571429	-0.761904761904762	0	0	0	0	-0.785714285714286	-0.880952380952381	0.814385858101016	0	0	0.833333333333333	-0.80952380952381	0	0.80511756018254	0	0	-0.913223320977314	-0.785714285714286	0	0	0.714285714285714	-0.86248869203413	0.857142857142857	0	-0.791039852105472	0	0	-0.829515062006253	0	0	-0.763762615825973	0	-0.791039852105472	0	0	0	-0.826362120720149	0	0	0	0	0	0	0	0	0	0.80952380952381	0	0.880952380952381	0	0	0	0	0	0.80952380952381	0	0	0	0	0	0	0	0	0	-0.714285714285714	0	0	-0.761904761904762	0.785714285714286	-0.976190476190476	0	0	0	0	0	0.80952380952381	0	0.80952380952381	0	0	-0.714285714285714	0	0	-0.714285714285714	-0.738095238095238	0.714285714285714	0	0.80952380952381	0.738095238095238	0	0	0.761904761904762	0	0	0	0	0.857142857142857	0	0.785714285714286	0	0	-0.761904761904762	0.778457070243618	0	0.928571428571429	0	0.904761904761905	-0.904761904761905	0.756322556535113	0.730552019767088	-0.714285714285714	0	0	-0.938590635448906	0	0	-0.714285714285714	-0.756322556535113	-0.898219696434944	0	0.7319250547114	0	0	0	-0.902707567477393	0.761904761904762	0	0	-0.898219696434944	0	-0.874267171196679	0	-0.829515062006253	0	-0.738095238095238	0	-0.902707567477393	0	0	0.785714285714286	0	0	0	-0.857142857142857	-0.735652119676169	-0.84559432466447	-0.86248869203413	-0.761019434147762	0	-0.763762615825973	0	0	0	0	0	0	0	0	0	-0.84559432466447	0	-0.79907040585515	-0.763762615825973	0	-0.763762615825973	0	0	0	0	-0.84559432466447	0	0	-0.84559432466447	-0.763762615825973	0	-0.84559432466447	0	-0.84559432466447	0	0	0	0	-0.732588631506546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv9	0.714285714285714	-0.880952380952381	0.761904761904762	-0.880952380952381	0	-0.857142857142857	0.928571428571429	0	-0.880952380952381	0	-0.802409595481884	-0.714285714285714	0.904761904761905	0	-0.833333333333333	-0.857142857142857	-0.738095238095238	0	-0.880952380952381	0	-0.761904761904762	0.904761904761905	-0.80952380952381	-0.785714285714286	0	0	0.80952380952381	-0.952380952380952	0	0.857142857142857	-0.738095238095238	0	0	0	0	-0.714285714285714	-0.833333333333333	0	-0.928571428571429	-0.785714285714286	0	0	0	-0.928571428571429	-0.880952380952381	-0.833333333333333	-0.904761904761905	-0.738095238095238	0	-0.904761904761905	-0.761904761904762	-0.714285714285714	0	0	0	-0.80952380952381	-0.738095238095238	0.898219696434944	0	0	0.952380952380952	-0.80952380952381	-0.732588631506546	0.80511756018254	0	0	-0.837121377562538	-0.857142857142857	0	0	0.785714285714286	-0.86248869203413	0.714285714285714	-0.748335776911965	0	0	0	0	0	0	0	0	-0.84559432466447	0	0	0	-0.922172221673209	0	0	0	0	0	0	0	0	0.714285714285714	0	0	0.952380952380952	0.761904761904762	0	0	0	0	0.714285714285714	0	0.738095238095238	0	0	0	0	0	0	0	-0.785714285714286	0	0	-0.761904761904762	0.714285714285714	-0.976190476190476	0	0	0	0	0	0.904761904761905	0	0.928571428571429	0	0.761904761904762	0	0	0	0	-0.80952380952381	0	0	0.738095238095238	0.738095238095238	0	0	0.761904761904762	0	0	0	0	0.785714285714286	0	0.857142857142857	0	0	-0.833333333333333	0	0	0.928571428571429	0	0.80952380952381	-0.833333333333333	0.756322556535113	0	-0.785714285714286	0	0	-0.86248869203413	0	0	-0.714285714285714	0	-0.97007727214974	0	0.7319250547114	0	0	0	-0.829515062006253	0.761904761904762	0	0	-0.778457070243618	-0.732588631506546	-0.850314645958414	0	-0.707527552887687	0	-0.738095238095238	0	-0.902707567477393	0	0	0.714285714285714	0	0	0	-0.761904761904762	-0.761019434147762	0	-0.761019434147762	-0.86248869203413	-0.763762615825973	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.791039852105472	0	0	0	0	0	-0.732588631506546	0	0	0	0	0	-0.732588631506546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.732588631506546	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv10	-0.714285714285714	0.761904761904762	0	0.761904761904762	0.857142857142857	0.761904761904762	-0.761904761904762	-0.880952380952381	0	0.857142857142857	0	0.80952380952381	-0.904761904761905	0	0.904761904761905	0.833333333333333	0.714285714285714	0	0.928571428571429	0	0.857142857142857	-0.714285714285714	0	0	0.761904761904762	-0.738095238095238	0	0.738095238095238	0	0	0	0	0	0	0	0.880952380952381	0	0.714285714285714	0.761904761904762	0	0	0	0	0.857142857142857	0.714285714285714	0	0.738095238095238	0	0	0	0.857142857142857	0	0	0	-0.7319250547114	0.785714285714286	0	-0.754504545005353	0	0	-0.880952380952381	0	0.763762615825973	-0.780720058358827	0	0	0.786386748619354	0.833333333333333	0	0	-0.761904761904762	0.86248869203413	0	0.761019434147762	0	0	0	0	0	0	0	0	0	0	0	0	0.826362120720149	0	0	0	0	0	0	0	0	-0.785714285714286	0	-0.833333333333333	-0.785714285714286	0	0	0	0	0.754504545005353	0	0	-0.857142857142857	0	0	0	0	0	0	0	0.904761904761905	0	-0.738095238095238	0.785714285714286	-0.738095238095238	0.80952380952381	-0.833333333333333	-0.7319250547114	-0.761904761904762	-0.742528282386221	0	-0.904761904761905	0	-0.857142857142857	0	0	0	0	0	0.738095238095238	0.880952380952381	0	0	0	-0.714285714285714	0	0	-0.833333333333333	0	0	0	0	-0.714285714285714	0	-0.833333333333333	0	0	0.761904761904762	0	0	-0.857142857142857	0	-0.738095238095238	0.80952380952381	-0.707527552887687	0	0.857142857142857	0	0	0.761019434147762	-0.730552019767088	0	0.80952380952381	0	0.874267171196679	0	-0.756322556535113	0	0	0.761904761904762	0.7319250547114	-0.761904761904762	0	0	0	0.763762615825973	0	0	0	0	0.857142857142857	0	0.853912563829967	0.707527552887687	0	-0.785714285714286	0	0	0	0.761904761904762	0.86248869203413	0	0.761019434147762	0.86248869203413	0.732588631506546	0	0	0	0	0	0	0	0	0.849805034798334	0.849805034798334	0	0	0	0	0	0	0	0	0	0.763762615825973	0	0	0	0	0	0.763762615825973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.763762615825973	0	0	0	0	0	0.80952380952381	0	0	0	0	0	0	0	0
BACasv11	-0.904761904761905	0.714285714285714	-0.761904761904762	0.714285714285714	0.952380952380952	0.738095238095238	0	0	0.857142857142857	0	0.802409595481884	0.738095238095238	-0.785714285714286	-0.761904761904762	0.857142857142857	0.833333333333333	0.904761904761905	0	0.714285714285714	0.714285714285714	0.928571428571429	0	0.785714285714286	0.80952380952381	0.761904761904762	-0.833333333333333	-0.785714285714286	0	0	0	0.785714285714286	0	0	0	0	0.976190476190476	0	0	0	0	0	0	0	0	0	0	0.714285714285714	0	0	0	0.833333333333333	0	0	0.785714285714286	-0.80511756018254	0.80952380952381	0	0	-0.785714285714286	0	-0.761904761904762	0.738095238095238	0	-0.902707567477393	0	0	0.761019434147762	0.833333333333333	0	0	-0.833333333333333	0.786386748619354	-0.738095238095238	0	0	0	0	0	0	0	0	0	0	-0.756322556535113	0	0	0.730552019767088	0	0	0	0	0	0	0	0	0	0	-0.785714285714286	0	0	0	0	0	0.778457070243618	0	-0.756322556535113	-0.714285714285714	0	0	0	0	0	0	0	0.738095238095238	0.761904761904762	-0.857142857142857	0.928571428571429	-0.714285714285714	0	-0.785714285714286	-0.80511756018254	-0.761904761904762	-0.778457070243618	-0.714285714285714	-0.785714285714286	0	-0.714285714285714	0	0	0	0	0	0.833333333333333	0	0	0	0	-0.714285714285714	0.756322556535113	0	-0.880952380952381	0	0.714285714285714	0	0	-0.833333333333333	0	-0.833333333333333	0	0	0	-0.742528282386221	0	-0.761904761904762	0	0	0.785714285714286	-0.756322556535113	0	0.80952380952381	0	0	0.710284805204577	-0.802409595481884	0	0.976190476190476	0	0	0	-0.780720058358827	-0.826362120720149	0	0.714285714285714	0.756322556535113	-0.880952380952381	0.730552019767088	0	0	0	0	0	0.853912563829967	0	0.761904761904762	0	0.7319250547114	0	0	-0.904761904761905	0	-0.766480807624486	0	0.880952380952381	0.913223320977314	0	0.837121377562538	0.786386748619354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.904761904761905	0	0	0	0	0	0	0	0
