ASVID	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4	Phylum	Abundance
BACasv1	0.001920898	0.001738802	0.002109224	0.00235304	0.07212455	0.078850204	0	0	Chloroflexi	0.01988709
BACasv3	0	0	0	0	0.013132811	0.010333292	0	0	Chloroflexi	0.002933263
BACasv4	0.003743289	0.001852202	0.006213659	0.004285894	0.07667867	0.060339487	0.00839079	0.013317191	Actinobacteria	0.021852648
BACasv6	0.00413732	0.008920809	0.021833314	0.01911845	0.021976276	0.02584562	0.021074541	0.015277297	Actinobacteria	0.017272953
BACasv7	0.001723883	0.0002646	0.000855091	0.002016891	0.005401398	0.023392393	0.003057109	0.002767209	Cyanobacteria	0.004934822
BACasv8	0	0	0	0	0.005560263	0.007434023	0	0	WPS-2	0.001624286
BACasv11	0	0	0	0	0.061427664	0.05491265	0	0	Actinobacteria	0.014542539
BACasv12	0	0	0	0	0.008049142	0.015512328	0	0	Actinobacteria	0.002945184
BACasv13	0	0	0	0	0.021764457	0.01598315	0	0	Chloroflexi	0.004718451
BACasv14	0.001674629	0.003515404	0.005073538	0.007605362	0.058197416	0.079519267	0.001300898	0.000864753	Chloroflexi	0.019718908
BACasv15	0	0	0	0	0	0.010060711	0	0	Actinobacteria	0.001257589
BACasv16	0.042358272	0.029181629	0.050621366	0.046598597	0	0.000569942	0.035969819	0.064856451	Proteobacteria	0.03376951
BACasv17	0.000837315	0.001965602	0.001710181	0.002269003	0.015303961	0.011126254	0	0.000634152	Chloroflexi	0.004230809
BACasv19	0	0.001171801	0.00028503	0.000630279	0.029442915	0.018064676	0.000975673	0	Chloroflexi	0.006321297
BACasv20	0	0	0	0	0.020758314	0.02254987	0	0	Chloroflexi	0.005413523
BACasv21	0.003743289	0.003250803	0.004047429	0.001974873	0.013397585	0.018634618	0.009821777	0.017698605	Acidobacteria	0.009071122
BACasv22	0	0	0	0	0.007890277	0.010481972	0	0	Actinobacteria	0.002296531
BACasv23	0	0	0	0	0.014191908	0.00954033	0	0	Acidobacteria	0.00296653
BACasv24	0	0	0	0	0.000423639	0	0.08462339	0	Cyanobacteria	0.010630879
BACasv25	0.004038812	0.001701002	0.001824193	0.002226984	0.020864224	0.019824061	0.015415637	0.009224029	Firmicutes	0.009389868
BACasv26	0.005713441	0.003666604	0.003705393	0.004327913	0.012073713	0.012241358	0.006764668	0.013259541	Actinobacteria	0.007719079
BACasv27	0.000837315	0	0	0.000714316	0.032884982	0.033577004	0.003837648	0.002133057	Actinobacteria	0.00924804
BACasv28	0	0	0	0	0.000476594	0.000867303	0	0	WPS-2	0.000167987
BACasv29	0.002708959	0.004120204	0.002679284	0.001344594	0.007996187	0.00956511	0.003902693	0.004669664	Chloroflexi	0.004623337
BACasv30	0	0	0	0	0.006990044	0.010506753	0	0	Acidobacteria	0.0021871
BACasv31	0	0	0	0	0.021552637	0.01613183	0	0	Chloroflexi	0.004710558
BACasv32	0.003940304	0.001965602	0.004446471	0.003907727	0.001853421	0	0.007675296	0.008301626	Chloroflexi	0.004011306
BACasv33	0.009407477	0.02003402	0.034887698	0.026891886	0.006142766	0.003717012	0.008911149	0.016545601	Acidobacteria	0.015817201
BACasv34	0	0	0	0	0	0	0.031026408	0.001787156	Cyanobacteria	0.004101696
BACasv35	0.015908979	0.013494613	0.016189716	0.009580234	0.007678458	0.008078305	0.010277091	0.013086591	Proteobacteria	0.011786748
BACasv36	0	0	0	0	0.007943232	0.005402057	0	0	Actinobacteria	0.001668161
BACasv37	0	0	0	0	0.003124338	0.002403667	0	0	Actinobacteria	0.000691001
BACasv38	0	0	0	0	0.00206524	0.001585925	0	0	Actinobacteria	0.000456396
BACasv39	0	0	0	0	0.003865706	0.003989592	0.000520359	0	Chloroflexi	0.001046957
BACasv40	0.000935822	0	0.001425151	0.001050464	0.009796653	0.005005576	0.00253675	0	Actinobacteria	0.002593802
BACasv41	0.069595626	0.111661312	0.070402463	0.108407916	0.000158865	0	0.001496032	0.003862562	Acidobacteria	0.045698097
BACasv42	0.000541792	0	0	0.000378167	0.007996187	0.007508363	0.000520359	0.000403551	Chloroflexi	0.002168552
BACasv44	0.01423435	0.012549613	0.020693193	0.014454389	0.000900233	0.001635485	0.005073501	0.008935778	Proteobacteria	0.009809568
BACasv45	0.003004482	0.001209601	0.003933417	0.003445523	0.007095954	0.006071119	0.000650449	0.001671855	Actinobacteria	0.0033853
BACasv46	0.000492538	0.001852202	0.003192338	0.003865709	0.001906376	0.004336513	0	0	Planctomycetes	0.00195571
BACasv47	0.00310299	0.006917407	0.008835937	0.009076012	0.005189578	0.006814521	0.016326265	0.011472386	Proteobacteria	0.008466887
BACasv48	0	0	0	0	0.010114383	0.00956511	0	0	Proteobacteria	0.002459937
BACasv49	0	0	0	0	0.002330015	0.002230207	0	0	Acidobacteria	0.000570028
BACasv50	0	0	0.001083115	0	0.008313917	0.009862471	0.003447379	0.005015566	Proteobacteria	0.003465306
BACasv51	0.015219426	0.01999622	0.010489112	0.008193622	0	0	0.014244829	0.013893693	Chloroflexi	0.010254613
BACasv52	0.004383589	0.012058212	0.000912097	0.000798353	0	0	0	0.000807103	Acidobacteria	0.002369919
BACasv53	0.025070187	0.016518617	0.017101813	0.010966847	0.002012286	0.003766572	0.012943931	0.012510089	Actinobacteria	0.012611293
BACasv54	0.002167167	0.001965602	0.004788508	0.006428842	0.011597119	0.014248544	0.002861975	0.000922403	Chloroflexi	0.00562252
BACasv55	0	0	0	0	0	0	0.001430987	0	Cyanobacteria	0.000178873
BACasv56	0	0	0	0	0.001588646	0.001313344	0.004553142	0	Proteobacteria	0.000931892
BACasv57	0.010392553	0.006917407	0.007011743	0.008193622	0	0	0.002731885	0.004900265	Nitrospirae	0.005018434
BACasv58	0	0	0.000912097	0.001260557	0.005401398	0.003816132	0	0	Chloroflexi	0.001423773
BACasv60	0	0	0.00057006	0.00058826	0.003759797	0.004311733	0	0	Chloroflexi	0.001153731
BACasv61	0	0	0	0	0.001853421	0.004410854	0	0	Acidobacteria	0.000783034
BACasv62	0	0	0	0	0	0	0.007870431	0.004554364	Actinobacteria	0.001553099
BACasv63	0.031670197	0.047401247	0.032379432	0.037900752	0	0	0.003707558	0.008301626	Acidobacteria	0.020170102
BACasv64	0.005417919	0.003591004	0.003477369	0.00235304	0	0	0.004748276	0.006918021	Actinobacteria	0.003313204
BACasv65	0	0	0	0	0.002118195	0.001462025	0	0	Proteobacteria	0.000447528
BACasv66	0	0	0	0	0	0.001189444	0	0	Chloroflexi	0.000148681
BACasv67	0	0	0.00028503	0.000420186	0.002753654	0.003989592	0.001496032	0	Chloroflexi	0.001118062
BACasv69	0	0	0	0	0.003336158	0.003419651	0	0	Actinobacteria	0.000844476
BACasv70	0.017632862	0.011529012	0.012997378	0.014160259	0.008419826	0.004138273	0.021464811	0.023348322	Actinobacteria	0.014211343
BACasv71	0	0	0	0	0.000529549	0.000916863	0	0	Chloroflexi	0.000180802
BACasv72	0.002265675	0.000869401	0.001596169	0.001848817	0.005242533	0.002800149	0.00292702	0.004784965	Actinobacteria	0.002791841
BACasv73	0	0	0	0	0.006036857	0.002775369	0	0	Chloroflexi	0.001101528
BACasv74	0.002364183	0.003213003	0.002565272	0.002142947	0	0	0.012033303	0.013893693	Proteobacteria	0.00452655
BACasv75	0	0	0	0	0	0.001908066	0	0	Actinobacteria	0.000238508
BACasv76	0	0	0	0	0.002806609	0.002924049	0	0	Actinobacteria	0.000716332
BACasv77	0	0	0	0	0.002435925	0.002626688	0	0	Chloroflexi	0.000632827
BACasv78	0	0	0	0	0.003442067	0.001536365	0	0	Actinobacteria	0.000622304
BACasv79	0.002610452	0.008127008	0.009063961	0.00617673	0	0	0.001886302	0.002248357	Acidobacteria	0.003764101
BACasv80	0	0	0	0	0.005295488	0.002874489	0	0	Actinobacteria	0.001021247
BACasv81	0.003989558	0.003553204	0.008037852	0.006849027	0	0	0.01385456	0.011530036	Actinobacteria	0.00597678
BACasv82	0.001625376	0.001323001	0	0.000672297	0.001800466	0.002081526	0.002081436	0.00328606	Proteobacteria	0.00160877
BACasv83	0.004432842	0.002683803	0.009919051	0.00764738	0	0	0.000975673	0.001268304	Proteobacteria	0.003365882
BACasv84	0.00206866	0.001058401	0.002394254	0.001428631	0	0.000322141	0.006049174	0.00651447	Proteobacteria	0.002479466
BACasv85	0.005220903	0.01013041	0.004218447	0.003025337	0	0	0.000910628	0.001383604	Actinobacteria	0.003111166
BACasv87	0	0.0003402	0	0	0.001747511	0.000941643	0	0	Chloroflexi	0.000378669
BACasv88	0.002856721	0.001587602	0	0.000924409	0	0	0	0	Actinobacteria	0.000671092
BACasv89	0	0	0	0	0.002912519	0.001065543	0	0	Proteobacteria	0.000497258
BACasv90	0	0	0	0	0.001906376	0.00307273	0.001756212	0.002651908	Actinobacteria	0.001173403
BACasv91	0.00660001	0.002532603	0.002337248	0.001722761	0.00683118	0.008450006	0.002016391	0.000518852	Patescibacteria	0.003876131
BACasv92	0	0	0	0	0.002700699	0.001660265	0	0	Actinobacteria	0.000545121
BACasv93	0	0	0	0	0.001588646	0.002155867	0	0	Acidobacteria	0.000468064
BACasv94	0	0	0	0	0.002012286	0.001239004	0.001561077	0	Actinobacteria	0.000601546
BACasv96	0	0	0	0	0.009373014	0.007409243	0	0	Chloroflexi	0.002097782
BACasv97	0	0	0	0	0	0.001412464	0	0	Proteobacteria	0.000176558
BACasv98	0.006107472	0.009109809	0.004959526	0.009790327	0	0	0.001951346	0.002594258	Acidobacteria	0.004314092
BACasv99	0	0	0	0	0.007307774	0.006071119	0	0	Actinobacteria	0.001672362
BACasv100	0	0	0	0	0.001906376	0.001660265	0	0	Firmicutes	0.00044583
BACasv101	0.00039403	0.0003402	0.000798085	0.000462204	0.001747511	0.001561145	0	0	Acidobacteria	0.000662897
BACasv102	0	0	0	0	0.001641601	0.001263784	0.001886302	0.001383604	Chloroflexi	0.000771911
BACasv104	0.007880609	0.006652807	0.005415574	0.006849027	0	0	0	0	Proteobacteria	0.003349752
BACasv105	0	0	0	0	0.002965473	0.002131087	0	0	Actinobacteria	0.00063707
BACasv106	0	0	0	0	0.002330015	0.000792962	0	0	Cyanobacteria	0.000390372
BACasv107	0.006255233	0.005670006	0.004788508	0.00058826	0	0	0	0	Proteobacteria	0.002162751
BACasv108	0.006550756	0.006237006	0.006213659	0.008865919	0	0	0.001300898	0.000980053	Verrucomicrobia	0.003768536
BACasv109	0.008767177	0.006917407	0.010204082	0.010378587	0	0	0.001300898	0.003689611	Proteobacteria	0.00515722
BACasv110	0.000443284	0	0	0	0.005030714	0.002874489	0	0.000172951	Chloroflexi	0.00106518
BACasv112	0	0.002192402	0	0.00147065	0.001747511	0.001536365	0	0	Actinobacteria	0.000868366
BACasv113	0	0	0	0	0.000476594	0	0	0	Proteobacteria	5.96E-05
BACasv114	0	0	0	0	0.002594789	0.001462025	0	0	Proteobacteria	0.000507102
BACasv116	0.004285081	0.004195804	0.004560483	0.005252322	0.002965473	0.001486805	0.014570053	0.010146431	Chloroflexi	0.005932807
BACasv117	0	0	0	0	0	0	0.007740341	0	Cyanobacteria	0.000967543
BACasv118	0.000935822	0.001096201	0	0	0.003547977	0.001908066	0	0	Proteobacteria	0.000936008
BACasv119	0.014923903	0.024116424	0.015619656	0.01382411	0	0	0	0.001729505	Acidobacteria	0.0087767
BACasv120	0	0	0	0	0.005877992	0.003047949	0	0	Actinobacteria	0.001115743
BACasv121	0	0	0	0	0	0.000892083	0.004423052	0.006860371	Actinobacteria	0.001521938
BACasv122	0	0	0	0.000210093	0	0	0.005073501	0.008993428	Actinobacteria	0.001784628
BACasv123	0	0.0002268	0	0	0.002647744	0.005278156	0	0	Proteobacteria	0.001019088
BACasv124	0	0	0	0	0.001376827	0.000669062	0	0	Actinobacteria	0.000255736
BACasv125	0.015761218	0.011566812	0.018013909	0.014832556	0	0	0.006374398	0.00968523	Gemmatimonadetes	0.009529265
BACasv126	0	0	0.001767187	0.001302576	0	0.001833726	0.003252244	0.001844806	Actinobacteria	0.001250067
BACasv127	0	0	0	0	0	0	0.002992065	0.003747262	Actinobacteria	0.000842416
BACasv128	0	0	0	0	0.003653887	0.000495602	0.00266684	0.001210654	Actinobacteria	0.001003373
BACasv129	0	0	0	0	0.001588646	0.002007186	0	0	Actinobacteria	0.000449479
BACasv130	0	0.001134001	0	0	0	0	0.003252244	0.005880318	Proteobacteria	0.00128332
BACasv131	0.001674629	0.001814402	0.002280242	0.002269003	0.000317729	0.000173461	0	0.000461201	Chloroflexi	0.001123833
BACasv132	0.000640299	0.0004158	0.000969103	0.001260557	0	0	0	0	Chloroflexi	0.00041072
BACasv133	0.012017928	0.008316008	0.006726713	0.008571789	0	0	0	0.000807103	Rokubacteria	0.004554943
BACasv134	0	0	0	0	0	0.002948829	0	0	Actinobacteria	0.000368604
