label	Phylum	Abundance
BACasv1	Chloroflexi	0.01988709
BACasv3	Chloroflexi	0.002933263
BACasv4	Actinobacteria	0.021852648
BACasv6	Actinobacteria	0.017272953
BACasv7	Cyanobacteria	0.004934822
BACasv8	WPS-2	0.001624286
BACasv11	Actinobacteria	0.014542539
BACasv12	Actinobacteria	0.002945184
BACasv13	Chloroflexi	0.004718451
BACasv14	Chloroflexi	0.019718908
BACasv15	Actinobacteria	0.001257589
BACasv16	Proteobacteria	0.03376951
BACasv17	Chloroflexi	0.004230809
BACasv19	Chloroflexi	0.006321297
BACasv20	Chloroflexi	0.005413523
BACasv21	Acidobacteria	0.009071122
BACasv22	Actinobacteria	0.002296531
BACasv23	Acidobacteria	0.00296653
BACasv24	Cyanobacteria	0.010630879
BACasv25	Firmicutes	0.009389868
BACasv26	Actinobacteria	0.007719079
BACasv27	Actinobacteria	0.00924804
BACasv28	WPS-2	0.000167987
BACasv29	Chloroflexi	0.004623337
BACasv30	Acidobacteria	0.0021871
BACasv31	Chloroflexi	0.004710558
BACasv32	Chloroflexi	0.004011306
BACasv33	Acidobacteria	0.015817201
BACasv34	Cyanobacteria	0.004101696
BACasv35	Proteobacteria	0.011786748
BACasv36	Actinobacteria	0.001668161
BACasv37	Actinobacteria	0.000691001
BACasv38	Actinobacteria	0.000456396
BACasv39	Chloroflexi	0.001046957
BACasv40	Actinobacteria	0.002593802
BACasv41	Acidobacteria	0.045698097
BACasv42	Chloroflexi	0.002168552
BACasv44	Proteobacteria	0.009809568
BACasv45	Actinobacteria	0.0033853
BACasv46	Planctomycetes	0.00195571
BACasv47	Proteobacteria	0.008466887
BACasv48	Proteobacteria	0.002459937
BACasv49	Acidobacteria	0.000570028
BACasv50	Proteobacteria	0.003465306
BACasv51	Chloroflexi	0.010254613
BACasv52	Acidobacteria	0.002369919
BACasv53	Actinobacteria	0.012611293
BACasv54	Chloroflexi	0.00562252
BACasv55	Cyanobacteria	0.000178873
BACasv56	Proteobacteria	0.000931892
BACasv57	Nitrospirae	0.005018434
BACasv58	Chloroflexi	0.001423773
BACasv60	Chloroflexi	0.001153731
BACasv61	Acidobacteria	0.000783034
BACasv62	Actinobacteria	0.001553099
BACasv63	Acidobacteria	0.020170102
BACasv64	Actinobacteria	0.003313204
BACasv65	Proteobacteria	0.000447528
BACasv66	Chloroflexi	0.000148681
BACasv67	Chloroflexi	0.001118062
BACasv69	Actinobacteria	0.000844476
BACasv70	Actinobacteria	0.014211343
BACasv71	Chloroflexi	0.000180802
BACasv72	Actinobacteria	0.002791841
BACasv73	Chloroflexi	0.001101528
BACasv74	Proteobacteria	0.00452655
BACasv75	Actinobacteria	0.000238508
BACasv76	Actinobacteria	0.000716332
BACasv77	Chloroflexi	0.000632827
BACasv78	Actinobacteria	0.000622304
