nodes_id	degree	modularity
BACasv1	56	3
BACasv4	151	2
BACasv6	99	3
BACasv7	114	2
BACasv14	61	3
BACasv16	37	3
BACasv17	59	3
BACasv21	108	2
BACasv25	107	2
BACasv26	80	2
BACasv27	105	2
BACasv29	74	2
BACasv32	52	3
BACasv33	69	2
BACasv35	70	3
BACasv40	50	3
BACasv41	108	2
BACasv42	40	2
BACasv44	114	2
BACasv45	44	3
BACasv46	40	3
BACasv47	18	3
BACasv52	129	2
BACasv53	64	3
BACasv54	55	3
BACasv57	135	2
BACasv63	107	2
BACasv64	74	3
BACasv70	63	3
BACasv72	86	2
BACasv74	51	3
BACasv79	104	2
BACasv81	49	3
BACasv82	87	2
BACasv83	114	2
BACasv84	52	3
BACasv85	162	2
BACasv88	106	2
BACasv91	33	3
BACasv98	120	2
BACasv101	57	3
BACasv104	127	2
BACasv107	151	2
BACasv108	125	2
BACasv109	112	2
BACasv110	19	3
BACasv116	50	3
BACasv118	36	3
BACasv119	112	2
BACasv125	126	2
BACasv131	99	2
BACasv132	108	2
BACasv133	132	2
BACasv137	51	2
BACasv138	42	3
BACasv142	56	2
BACasv143	29	3
BACasv147	154	2
BACasv149	59	3
BACasv150	26	3
BACasv155	58	3
BACasv157	50	3
BACasv159	57	3
BACasv162	28	3
BACasv164	46	3
BACasv165	47	3
BACasv166	110	2
BACasv167	54	3
BACasv168	21	3
BACasv169	102	2
BACasv170	19	3
BACasv171	121	2
BACasv172	45	3
BACasv177	49	3
BACasv179	53	3
BACasv185	43	3
BACasv191	65	3
BACasv196	55	3
BACasv197	53	3
BACasv199	73	2
BACasv202	151	2
BACasv203	75	3
BACasv204	32	3
BACasv206	43	3
BACasv208	65	3
BACasv209	102	2
BACasv210	166	2
BACasv211	58	3
BACasv216	102	2
BACasv217	47	3
BACasv220	168	2
BACasv224	107	2
BACasv225	108	2
BACasv226	28	3
BACasv227	42	3
BACasv228	112	2
BACasv229	140	2
BACasv233	59	3
BACasv234	42	1
BACasv235	42	2
BACasv239	63	3
BACasv241	35	3
BACasv243	46	3
BACasv245	39	3
BACasv246	114	2
BACasv248	106	2
BACasv249	35	3
BACasv254	105	2
BACasv256	60	3
BACasv257	11	3
BACasv258	47	3
BACasv259	40	3
BACasv262	156	2
BACasv263	107	2
BACasv264	47	3
BACasv266	75	1
BACasv272	53	3
BACasv273	46	3
BACasv274	107	2
BACasv275	107	2
BACasv277	42	3
BACasv278	46	3
BACasv279	151	2
BACasv280	154	2
BACasv281	79	1
BACasv282	102	2
BACasv283	47	3
BACasv284	75	1
BACasv286	47	3
BACasv289	154	2
BACasv290	60	3
BACasv293	55	2
BACasv294	15	3
BACasv298	58	3
BACasv302	62	3
BACasv303	110	2
BACasv307	17	3
BACasv310	46	3
BACasv312	107	2
BACasv313	154	2
BACasv314	79	1
BACasv320	96	3
BACasv326	124	1
BACasv327	151	2
BACasv330	33	2
BACasv332	124	1
BACasv333	124	2
BACasv334	115	2
BACasv335	65	3
BACasv337	12	3
BACasv338	81	2
BACasv339	154	2
BACasv341	33	3
BACasv342	97	2
BACasv343	107	2
BACasv345	61	2
BACasv349	152	2
BACasv350	55	3
BACasv352	58	3
BACasv353	154	2
BACasv354	50	3
BACasv355	57	3
BACasv360	106	2
BACasv361	55	3
BACasv362	55	3
BACasv364	115	3
BACasv366	42	1
BACasv368	98	2
BACasv369	48	3
BACasv370	15	3
BACasv371	61	2
BACasv375	151	2
BACasv376	100	2
BACasv377	101	2
BACasv378	106	2
BACasv380	14	3
BACasv383	56	3
BACasv385	48	3
BACasv387	37	3
BACasv390	58	3
BACasv391	106	2
BACasv392	112	2
BACasv393	129	2
BACasv400	106	2
BACasv401	79	1
BACasv402	43	3
BACasv403	20	3
BACasv404	86	2
BACasv408	12	3
BACasv414	107	2
BACasv416	81	2
BACasv417	57	2
BACasv418	127	2
BACasv422	44	3
BACasv432	69	3
BACasv435	44	3
BACasv436	50	3
BACasv437	55	3
BACasv443	65	2
BACasv444	46	2
BACasv445	121	2
BACasv452	106	2
BACasv453	152	2
BACasv457	106	2
BACasv458	108	2
BACasv463	40	3
BACasv464	108	2
BACasv465	94	2
BACasv468	124	2
BACasv471	75	1
BACasv472	124	2
BACasv475	101	2
BACasv478	39	3
BACasv479	35	3
BACasv485	122	2
BACasv488	33	2
BACasv489	68	3
BACasv491	61	3
BACasv497	124	1
BACasv498	124	1
BACasv499	107	2
BACasv500	124	1
BACasv508	123	2
BACasv509	56	2
BACasv510	127	2
BACasv515	73	2
BACasv516	75	1
BACasv517	75	1
BACasv518	121	2
BACasv526	25	3
BACasv527	23	3
BACasv528	67	3
BACasv534	123	2
BACasv535	53	3
BACasv536	98	2
BACasv545	20	3
BACasv551	121	2
BACasv552	55	2
BACasv563	124	1
BACasv564	75	1
BACasv565	27	3
BACasv566	154	2
BACasv574	32	3
BACasv582	75	1
BACasv583	75	1
BACasv584	73	3
BACasv585	44	3
BACasv586	27	3
BACasv590	151	2
BACasv591	79	1
BACasv594	93	2
BACasv595	32	3
BACasv600	13	3
BACasv602	32	3
BACasv603	25	3
BACasv613	124	1
BACasv614	123	1
BACasv616	31	3
BACasv618	97	2
BACasv624	47	3
BACasv625	42	3
BACasv626	47	3
BACasv638	73	3
BACasv639	121	2
BACasv640	94	2
BACasv641	58	2
BACasv642	124	1
BACasv651	151	2
BACasv652	124	1
BACasv653	75	1
BACasv654	101	2
BACasv655	122	2
BACasv671	53	3
BACasv674	75	1
BACasv675	124	1
BACasv676	73	2
BACasv680	63	2
BACasv681	27	2
BACasv684	46	3
BACasv685	35	3
BACasv691	124	1
BACasv692	101	2
BACasv693	33	2
BACasv694	81	2
BACasv695	36	3
BACasv699	47	3
BACasv700	79	1
BACasv703	33	2
BACasv711	32	3
BACasv713	124	1
BACasv714	79	1
BACasv720	106	2
BACasv721	23	3
BACasv730	124	1
BACasv731	79	1
BACasv738	124	1
BACasv751	75	1
BACasv752	75	1
BACasv753	124	1
BACasv754	73	2
BACasv755	75	1
BACasv757	79	1
BACasv761	79	1
BACasv768	61	2
BACasv777	124	1
BACasv778	123	2
BACasv779	152	2
BACasv780	106	2
BACasv782	79	1
BACasv784	79	1
BACasv792	12	3
BACasv798	75	1
BACasv799	124	1
BACasv800	75	1
BACasv801	75	1
BACasv802	75	1
BACasv803	12	3
BACasv804	75	1
BACasv805	82	2
BACasv807	107	2
BACasv811	124	1
BACasv823	57	2
BACasv836	75	1
BACasv837	75	1
BACasv838	124	1
BACasv839	73	2
BACasv840	75	1
BACasv841	124	1
BACasv842	75	1
BACasv843	75	1
BACasv844	75	1
BACasv845	75	1
BACasv846	75	1
BACasv852	55	2
BACasv873	124	1
BACasv874	124	1
BACasv882	55	2
BACasv884	56	2
BACasv904	75	1
BACasv905	75	1
BACasv906	75	1
BACasv907	75	1
BACasv914	27	2
BACasv938	75	1
BACasv939	75	1
BACasv940	75	1
BACasv941	75	1
BACasv942	75	1
BACasv943	75	1
BACasv944	75	1
BACasv945	101	2
BACasv956	27	2
BACasv973	75	1
BACasv974	124	1
BACasv975	75	1
BACasv976	73	2
BACasv977	124	1
BACasv998	72	1
BACasv999	75	1
BACasv1020	75	1
BACasv1021	124	1
