nodes_id	within_module_connectivities	among_module_connectivities	degree	modularity
BACasv1	0.977147230100159	0	47	3
BACasv1005	-2.17415258697285	0.444444444444444	12	3
BACasv1006	0.298541775937281	0.278698979591837	56	1
BACasv101	0.830575145585135	0	45	3
BACasv1023	-1.9729877525297	0.530108339632149	63	2
BACasv1024	0.298541775937281	0.278698979591837	56	1
BACasv1025	-1.85448856875326	0.53416955017301	68	1
BACasv104	0.425844208340889	0.0940023068050749	102	2
BACasv1041	0.298541775937281	0.278698979591837	56	1
BACasv1042	0.298541775937281	0.278698979591837	56	1
BACasv107	0.35315233073875	0.143274578188331	103	2
BACasv108	0.35315233073875	0.0962	100	2
BACasv109	0.752957657550514	0.417148919753086	144	2
BACasv116	0.977147230100159	0	47	3
BACasv119	0.861995473953723	0.190405804891158	122	2
BACasv125	0.462190147141958	0.376960753921508	127	2
BACasv126	-2.24743862923036	0	3	3
BACasv131	0.534882024744097	0.391429702074736	133	2
BACasv132	0.971033290356931	0.32530612244898	140	2
BACasv133	0.171422636733402	0.261302954788181	106	2
BACasv135	-1.2214340376252	0	17	3
BACasv137	-1.24606897650831	0.535693039857228	82	2
BACasv14	1.19700535687269	0	50	3
BACasv141	-2.17415258697285	0.244897959183674	28	3
BACasv142	-1.76477897105782	0.534285714285714	70	1
BACasv143	0.097714723010016	0	35	3
BACasv147	0.389498269539819	0.0941084207430644	101	2
BACasv149	0.317572849782552	0.3648	50	3
BACasv150	-1.07486195311017	0.423076923076923	26	3
BACasv152	1.10592815519623	0.546220958729536	101	1
BACasv155	1.12371931461518	0	49	3
BACasv157	-0.342001530535055	0.663675692997917	79	3
BACasv16	0.903861187842647	0.181468665897732	51	3
BACasv162	-0.855003826337639	0.0831758034026465	23	3
BACasv164	0.977147230100159	0.0407986111111112	48	3
BACasv166	0.425844208340889	0.0395877971635548	99	2
BACasv167	0.464144934297576	0	40	3
BACasv168	-1.51457820665525	0.525519848771267	23	3
BACasv169	0.752957657550514	0.368053705578347	137	2
BACasv17	1.12371931461518	0	49	3
BACasv170	-2.15471744653505	0.33425160697888	33	2
BACasv171	0.898341412754792	0.24006448012896	127	2
BACasv177	0.977147230100159	0	47	3
BACasv179	0.830575145585135	0	45	3
BACasv180	0.0244286807525041	0.0555102040816327	35	3
BACasv181	-1.71856618092221	0.451843043995244	58	2
BACasv183	-2.15471744653505	0.185493460166469	29	2
BACasv184	0.464144934297576	0	40	3
BACasv185	1.05043327235767	0	48	3
BACasv19	0.977147230100159	0.176775147928994	52	3
BACasv191	1.41686348364523	0	53	3
BACasv196	0.830575145585135	0	45	3
BACasv202	0.35315233073875	0.143274578188331	103	2
BACasv203	-0.0488573615050078	0.586945522010457	77	3
BACasv204	-0.781717784080127	0	23	3
BACasv206	-1.14814799536769	0.657551020408163	70	3
BACasv208	1.41686348364523	0	53	3
BACasv209	0.789303596351584	0.0862563775510204	112	2
BACasv21	0.425844208340889	0.0201999167013744	98	2
BACasv210	0.31680639193768	0.292243767313019	114	2
BACasv211	1.49014952590274	0	54	3
BACasv216	0.752957657550514	0.0185169010393921	107	2
BACasv217	1.49014952590274	0.100954139735303	57	3
BACasv220	0.31680639193768	0.34669762994331	121	2
BACasv224	0.934687351555862	0.0176977040816326	112	2
BACasv225	0.971033290356931	0.32530612244898	140	2
BACasv226	-0.635145699565103	0.286666666666667	30	3
BACasv228	0.752957657550514	0.417148919753086	144	2
BACasv229	-0.855003826337639	0.392623438429506	82	3
BACasv233	0.0244286807525041	0.411045722046175	47	3
BACasv239	1.27029139913021	0	51	3
BACasv241	-0.342001530535055	0.461451247165533	42	3
BACasv242	-0.12214340376252	0.529177295918367	112	3
BACasv243	0.390858892040064	0	39	3
BACasv246	0.571227963545167	0.0382693939108304	103	2
BACasv247	0	0	1	4
BACasv248	0.898341412754792	0.338284767869158	139	2
BACasv249	0.464144934297576	0.203456790123457	45	3
BACasv25	1.11641704556121	0.159464318928638	127	2
BACasv254	0.752957657550514	0.376391514387734	138	2
BACasv256	1.12371931461518	0	49	3
BACasv257	-1.80772237568529	0.42603550295858	13	3
BACasv259	0.684003061070111	0	43	3
BACasv26	0.571227963545167	0	101	2
BACasv262	0.207768575534472	0.21875	104	2
BACasv263	0.971033290356931	0.31302727602091	139	2
BACasv273	0.317572849782552	0.095	40	3
BACasv274	0.971033290356931	0.31302727602091	139	2
BACasv275	0.934687351555862	0.0176977040816326	112	2
BACasv278	1.05043327235767	0.0399833402748855	49	3
BACasv279	0.35315233073875	0.143274578188331	103	2
BACasv280	0.389498269539819	0.0941084207430644	101	2
BACasv282	0.752957657550514	0.368053705578347	137	2
BACasv283	0.903861187842647	0	46	3
BACasv286	0.830575145585135	0	45	3
BACasv289	0.35315233073875	0.127835447904652	102	2
BACasv29	-0.882609588497613	0.522053353172494	97	2
BACasv290	-0.342001530535055	0.601662887377173	63	3
BACasv293	-1.64587430332007	0.432396694214876	55	2
BACasv298	0.537430976555088	0	41	3
BACasv302	0.830575145585135	0.297520661157025	55	3
BACasv303	0.425844208340889	0.0395877971635548	99	2
BACasv304	0.298541775937281	0.278698979591837	56	1
BACasv310	0.317572849782552	0.095	40	3
BACasv312	-0.918955527298683	0.360618014464168	78	2
BACasv313	0.35315233073875	0.127835447904652	102	2
BACasv315	-1.85448856875326	0.53416955017301	68	1
BACasv32	1.27029139913021	0	51	3
BACasv322	-1.51457820665525	0.421849648458626	43	3
BACasv327	0.35315233073875	0.143274578188331	103	2
BACasv328	-1.73443633342778	0.602235371466141	39	3
BACasv33	-0.591842078089057	0.495377218934911	104	2
BACasv330	-0.50884460332167	0.53369140625	64	1
BACasv331	-2.02758050245783	0.444444444444444	9	3
BACasv333	0.244114514335541	0.297378459540622	111	2
BACasv334	0.898341412754792	0.221718316956412	126	2
BACasv335	1.41686348364523	0	53	3
BACasv338	-1.42779867051366	0.364263142775065	59	2
BACasv339	0.389498269539819	0.0941084207430644	101	2
BACasv341	-0.415287572792567	0	28	3
BACasv342	1.11641704556121	0.0169479143838118	117	2
BACasv343	0.934687351555862	0.0176977040816326	112	2
BACasv345	-1.20972303770724	0.494943486020226	82	2
BACasv346	-0.664533955691196	0.398985629754861	91	2
BACasv349	0.389498269539819	0.126684890187577	103	2
BACasv35	-0.561859657307591	0.526234567901235	72	3
BACasv350	0.977147230100159	0.144559784698193	51	3
BACasv352	0.684003061070111	0	43	3
BACasv353	0.389498269539819	0.0941084207430644	101	2
BACasv354	1.12371931461518	0	49	3
BACasv355	0.757289103327623	0	44	3
BACasv362	-0.0488573615050078	0.375	44	3
