"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","biota","treat"
"1",0.05,0.821702127659574,0.00647190720378059,0.000647190720378059,"weighted","soil micro-food web","arable"
"2",0.1,0.778340425531915,0.00925391715396647,0.000925391715396647,"weighted","soil micro-food web","arable"
"3",0.15,0.739148936170213,0.0126363504611691,0.00126363504611691,"weighted","soil micro-food web","arable"
"4",0.2,0.69263829787234,0.0141308466908576,0.00141308466908576,"weighted","soil micro-food web","arable"
"5",0.25,0.649106382978723,0.0150042862581156,0.00150042862581156,"weighted","soil micro-food web","arable"
"6",0.3,0.607574468085106,0.0157786240839508,0.00157786240839508,"weighted","soil micro-food web","arable"
"7",0.35,0.562382978723404,0.0149835484481914,0.00149835484481914,"weighted","soil micro-food web","arable"
"8",0.4,0.515787234042553,0.0168841998155166,0.00168841998155166,"weighted","soil micro-food web","arable"
"9",0.45,0.472340425531915,0.0168267413314751,0.00168267413314751,"weighted","soil micro-food web","arable"
"10",0.5,0.426127659574468,0.0162631509742129,0.00162631509742129,"weighted","soil micro-food web","arable"
"11",0.55,0.385531914893617,0.0168593197575837,0.00168593197575837,"weighted","soil micro-food web","arable"
"12",0.6,0.341106382978723,0.0179697080620614,0.00179697080620614,"weighted","soil micro-food web","arable"
"13",0.65,0.297787234042553,0.0182651059338015,0.00182651059338015,"weighted","soil micro-food web","arable"
"14",0.7,0.249787234042553,0.0158008651297315,0.00158008651297315,"weighted","soil micro-food web","arable"
"15",0.75,0.207914893617021,0.0190017025182743,0.00190017025182743,"weighted","soil micro-food web","arable"
"16",0.8,0.165021276595745,0.0185492950044688,0.00185492950044688,"weighted","soil micro-food web","arable"
"17",0.85,0.117446808510638,0.0180132197917163,0.00180132197917163,"weighted","soil micro-food web","arable"
"18",0.9,0.0763404255319149,0.01443771226905,0.001443771226905,"weighted","soil micro-food web","arable"
"19",0.95,0.0368085106382979,0.00947424681841737,0.000947424681841737,"weighted","soil micro-food web","arable"
"20",1,0,0,0,"weighted","soil micro-food web","arable"
"21",0.05,0.850595744680851,0.00494682295383688,0.000494682295383688,"unweighted","soil micro-food web","arable"
"22",0.1,0.803191489361702,0.00789464258052999,0.000789464258052999,"unweighted","soil micro-food web","arable"
"23",0.15,0.761531914893617,0.00898973843151707,0.000898973843151707,"unweighted","soil micro-food web","arable"
"24",0.2,0.714382978723404,0.0112223920206247,0.00112223920206247,"unweighted","soil micro-food web","arable"
"25",0.25,0.669829787234043,0.0103898783768024,0.00103898783768024,"unweighted","soil micro-food web","arable"
"26",0.3,0.628042553191489,0.0110716796698815,0.00110716796698815,"unweighted","soil micro-food web","arable"
"27",0.35,0.58068085106383,0.0137844319015675,0.00137844319015675,"unweighted","soil micro-food web","arable"
"28",0.4,0.533191489361702,0.0130633740472467,0.00130633740472467,"unweighted","soil micro-food web","arable"
"29",0.45,0.486978723404255,0.0135015521177874,0.00135015521177874,"unweighted","soil micro-food web","arable"
"30",0.5,0.441063829787234,0.0136906322210232,0.00136906322210232,"unweighted","soil micro-food web","arable"
"31",0.55,0.401063829787234,0.0145205178783565,0.00145205178783565,"unweighted","soil micro-food web","arable"
"32",0.6,0.352893617021277,0.013199251752743,0.0013199251752743,"unweighted","soil micro-food web","arable"
"33",0.65,0.305914893617021,0.0138436836067321,0.00138436836067321,"unweighted","soil micro-food web","arable"
"34",0.7,0.262851063829787,0.0114893617021277,0.00114893617021277,"unweighted","soil micro-food web","arable"
"35",0.75,0.220382978723404,0.0123848109053314,0.00123848109053314,"unweighted","soil micro-food web","arable"
"36",0.8,0.17468085106383,0.0106038557006052,0.00106038557006052,"unweighted","soil micro-food web","arable"
"37",0.85,0.127106382978723,0.0104698462137658,0.00104698462137658,"unweighted","soil micro-food web","arable"
"38",0.9,0.0828936170212766,0.00887836553737932,0.000887836553737932,"unweighted","soil micro-food web","arable"
"39",0.95,0.0382127659574468,0.0079317407459006,0.00079317407459006,"unweighted","soil micro-food web","arable"
"40",1,0,0,0,"unweighted","soil micro-food web","arable"
