ASVID	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4
BACasv4	0.003743289	0.001852202	0.006213659	0.004285894	0.07667867	0.060339487	0.00839079	0.013317191
BACasv6	0.00413732	0.008920809	0.021833314	0.01911845	0.021976276	0.02584562	0.021074541	0.015277297
BACasv7	0.001723883	0.0002646	0.000855091	0.002016891	0.005401398	0.023392393	0.003057109	0.002767209
BACasv14	0.001674629	0.003515404	0.005073538	0.007605362	0.058197416	0.079519267	0.001300898	0.000864753
BACasv16	0.042358272	0.029181629	0.050621366	0.046598597	0	0.000569942	0.035969819	0.064856451
BACasv19	0	0.001171801	0.00028503	0.000630279	0.029442915	0.018064676	0.000975673	0
BACasv21	0.003743289	0.003250803	0.004047429	0.001974873	0.013397585	0.018634618	0.009821777	0.017698605
BACasv24	0	0	0	0	0.000423639	0	0.08462339	0
BACasv25	0.004038812	0.001701002	0.001824193	0.002226984	0.020864224	0.019824061	0.015415637	0.009224029
BACasv27	0.000837315	0	0	0.000714316	0.032884982	0.033577004	0.003837648	0.002133057
BACasv29	0.002708959	0.004120204	0.002679284	0.001344594	0.007996187	0.00956511	0.003902693	0.004669664
BACasv32	0.003940304	0.001965602	0.004446471	0.003907727	0.001853421	0	0.007675296	0.008301626
BACasv33	0.009407477	0.02003402	0.034887698	0.026891886	0.006142766	0.003717012	0.008911149	0.016545601
BACasv34	0	0	0	0	0	0	0.031026408	0.001787156
BACasv35	0.015908979	0.013494613	0.016189716	0.009580234	0.007678458	0.008078305	0.010277091	0.013086591
BACasv39	0	0	0	0	0.003865706	0.003989592	0.000520359	0
BACasv40	0.000935822	0	0.001425151	0.001050464	0.009796653	0.005005576	0.00253675	0
BACasv41	0.069595626	0.111661312	0.070402463	0.108407916	0.000158865	0	0.001496032	0.003862562
BACasv42	0.000541792	0	0	0.000378167	0.007996187	0.007508363	0.000520359	0.000403551
BACasv44	0.01423435	0.012549613	0.020693193	0.014454389	0.000900233	0.001635485	0.005073501	0.008935778
BACasv45	0.003004482	0.001209601	0.003933417	0.003445523	0.007095954	0.006071119	0.000650449	0.001671855
BACasv47	0.00310299	0.006917407	0.008835937	0.009076012	0.005189578	0.006814521	0.016326265	0.011472386
BACasv50	0	0	0.001083115	0	0.008313917	0.009862471	0.003447379	0.005015566
BACasv53	0.025070187	0.016518617	0.017101813	0.010966847	0.002012286	0.003766572	0.012943931	0.012510089
BACasv54	0.002167167	0.001965602	0.004788508	0.006428842	0.011597119	0.014248544	0.002861975	0.000922403
BACasv55	0	0	0	0	0	0	0.001430987	0
BACasv56	0	0	0	0	0.001588646	0.001313344	0.004553142	0
BACasv57	0.010392553	0.006917407	0.007011743	0.008193622	0	0	0.002731885	0.004900265
BACasv62	0	0	0	0	0	0	0.007870431	0.004554364
BACasv63	0.031670197	0.047401247	0.032379432	0.037900752	0	0	0.003707558	0.008301626
BACasv64	0.005417919	0.003591004	0.003477369	0.00235304	0	0	0.004748276	0.006918021
BACasv67	0	0	0.00028503	0.000420186	0.002753654	0.003989592	0.001496032	0
BACasv70	0.017632862	0.011529012	0.012997378	0.014160259	0.008419826	0.004138273	0.021464811	0.023348322
BACasv74	0.002364183	0.003213003	0.002565272	0.002142947	0	0	0.012033303	0.013893693
BACasv79	0.002610452	0.008127008	0.009063961	0.00617673	0	0	0.001886302	0.002248357
BACasv81	0.003989558	0.003553204	0.008037852	0.006849027	0	0	0.01385456	0.011530036
BACasv83	0.004432842	0.002683803	0.009919051	0.00764738	0	0	0.000975673	0.001268304
BACasv84	0.00206866	0.001058401	0.002394254	0.001428631	0	0.000322141	0.006049174	0.00651447
BACasv85	0.005220903	0.01013041	0.004218447	0.003025337	0	0	0.000910628	0.001383604
BACasv90	0	0	0	0	0.001906376	0.00307273	0.001756212	0.002651908
BACasv91	0.00660001	0.002532603	0.002337248	0.001722761	0.00683118	0.008450006	0.002016391	0.000518852
BACasv94	0	0	0	0	0.002012286	0.001239004	0.001561077	0
BACasv98	0.006107472	0.009109809	0.004959526	0.009790327	0	0	0.001951346	0.002594258
BACasv102	0	0	0	0	0.001641601	0.001263784	0.001886302	0.001383604
BACasv108	0.006550756	0.006237006	0.006213659	0.008865919	0	0	0.001300898	0.000980053
BACasv109	0.008767177	0.006917407	0.010204082	0.010378587	0	0	0.001300898	0.003689611
BACasv116	0.004285081	0.004195804	0.004560483	0.005252322	0.002965473	0.001486805	0.014570053	0.010146431
BACasv117	0	0	0	0	0	0	0.007740341	0
BACasv121	0	0	0	0	0	0.000892083	0.004423052	0.006860371
BACasv122	0	0	0	0.000210093	0	0	0.005073501	0.008993428
BACasv125	0.015761218	0.011566812	0.018013909	0.014832556	0	0	0.006374398	0.00968523
BACasv126	0	0	0.001767187	0.001302576	0	0.001833726	0.003252244	0.001844806
BACasv127	0	0	0	0	0	0	0.002992065	0.003747262
BACasv128	0	0	0	0	0.003653887	0.000495602	0.00266684	0.001210654
BACasv130	0	0.001134001	0	0	0	0	0.003252244	0.005880318
BACasv135	0	0.001323001	0.001140121	0	0.000582504	0	0.004292962	0.005246166
BACasv136	0	0.000642601	0	0.000840371	0	0	0.00292702	0.004381414
BACasv137	0.003447766	0.003477603	0.006498689	0.007563343	0	0	0.004032783	0.002651908
BACasv138	0.000886568	0	0	0	0	0	0.003187199	0.00317076
BACasv141	0.000935822	0.000982801	0.001254133	0.001386613	0.001112053	0.001982406	0.003057109	0.002421308
BACasv143	0.002610452	0.003402003	0.004275453	0.007017102	0.001694556	0.002849709	0.008846104	0.016315001
BACasv144	0	0	0	0	0	0	0.004032783	0.002133057
BACasv149	0.008126878	0.006955207	0.005016532	0.004748099	0	0	0.001300898	0.007090972
BACasv151	0	0	0	0	0	0	0.003577468	0.002248357
BACasv155	0.00103433	0.001323001	0.000912097	0.00058826	0	0	0.002146481	0.003459011
BACasv157	0.006747771	0.005518806	0.011515221	0.009748309	0	0.0001239	0.005528815	0.008359276
BACasv158	0	0.000529201	0	0	0	0	0.00253675	0.003055459
BACasv159	0.004826873	0.004044604	0	0.001344594	0	0	0.00266684	0.007033322
BACasv162	0.008077624	0.006237006	0.006384677	0.005168284	0	0	0.006894757	0.005765018
BACasv163	0	0	0	0	0	0	0.003512424	0.002075406
BACasv164	0.001625376	0.002797203	0.003477369	0.002395059	0	0.000495602	0.00572395	0.004612014
BACasv165	0.001132838	0.000718201	0	0	0	0	0.002731885	0.003574311
BACasv167	0.004285081	0.001701002	0.001026109	0.000840371	0.000741368	0.000892083	0.00279693	0.002882509
BACasv168	0.008520908	0.007673408	0.016816783	0.009076012	0.000582504	0	0.012943931	0.006110919
BACasv170	0.002758213	0.004762805	0.006612701	0.004033783	0	0	0.004488097	0.00334371
BACasv172	0.000738807	0.000907201	0	0	0	0	0.006504488	0.004554364
BACasv173	0	0	0	0	0.001217962	0.000768182	0.000390269	0
BACasv175	0	0	0	0	0.000529549	0	0.00533368	0.003747262
