ASVID	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4
FUNasv1	0.007321718	0.006798857	0.004597621	0.0117293	0.001090146	0.002875771	0.004106252	0.001715756
FUNasv2	0.270673729	0.213225929	0.233329249	0.278185045	0.219628739	0.189242054	0.26670989	0.279350554
FUNasv3	0.018375432	0.023844768	0.029032691	0.02882718	0.053142065	0.049400396	0.061122244	0.085819591
FUNasv4	0.042792103	0.049181268	0.043391504	0.031065007	0.046275165	0.092036326	0.060287241	0.077653862
FUNasv5	0.061583417	0.061906893	0.093224344	0.076780616	0.006377863	0.004715334	0.014902354	0.014552156
FUNasv6	0.001094427	0.001543369	0.001948738	0.007077266	0.001232782	0.000116428	0.001041298	0.000254186
FUNasv7	0.000777043	0.000596693	0.002147112	0.004122893	0	0.000256142	0.001011828	0.000651352
FUNasv8	0.001477477	0.001405671	0.001767867	0.0051922	0.000163012	0.000256142	0.000972533	0.000460712
FUNasv9	0.019349472	0.009931495	0.01061887	0.011222206	0.031817997	0.105111189	0.058735117	0.069885299
FUNasv10	0.017270061	0.01648938	0.012124182	0.021650701	0.024329611	0.106077541	0.03922551	0.057366632
FUNasv11	0	0	0	0	0.000244519	0	0.001630712	0.000683125
FUNasv12	0.016646237	0.020964577	0.029785347	0.040391124	0.005736001	0.001932705	0.009872687	0.005051949
FUNasv13	0.050595368	0.042841406	0.00939945	0.007573336	0.039550901	0.044650134	0.010442454	0.010707591
FUNasv14	0.024175896	0.034757364	0.028460906	0.015389194	0	0.002945628	0.015540886	0.005735075
FUNasv15	0	5.74E-05	0.00051344	0.000948045	0	0	0.000265236	6.35E-05
FUNasv16	0.001083483	0.00152042	0.001960407	0.000440951	0.114709838	0.007311678	0.024401745	0.011104756
FUNasv17	0.00015322	0.000206548	0.00077016	0.002193732	0	0.000104785	0.000334001	0.000206526
FUNasv18	3.28E-05	7.46E-05	7.58E-05	0.000220476	0.10800595	0.001106066	0.002406774	0.000921425
