label	Class	Abundance
FUNasv1	Eurotiomycetes	0.005029428
FUNasv5	Mortierellomycetes	0.041755372
FUNasv6	Eurotiomycetes	0.001788562
FUNasv7	Sordariomycetes	0.001195383
FUNasv8	Leotiomycetes	0.001461952
FUNasv9	Sordariomycetes	0.039583956
FUNasv10	Sordariomycetes	0.036816702
FUNasv12	Mortierellomycetes	0.016297578
FUNasv14	Mortierellomycetes	0.015875619
FUNasv15	Agaricomycetes	0.000230955
FUNasv16	Sordariomycetes	0.02031666
FUNasv17	Dothideomycetes	0.000496121
FUNasv20	Sordariomycetes	0.01366122
FUNasv22	Sordariomycetes	0.01503071
FUNasv23	Sordariomycetes	0.00266095
FUNasv25	Sordariomycetes	0.013250199
FUNasv26	Eurotiomycetes	0.001997316
FUNasv27	Eurotiomycetes	0.001561922
FUNasv28	Rhizophlyctidomycetes	0.000833376
FUNasv30	Dothideomycetes	0.000463364
FUNasv33	Sordariomycetes	0.005275504
FUNasv34	Dothideomycetes	0.002478532
FUNasv35	Sordariomycetes	0.004725588
FUNasv38	Dothideomycetes	0.004568851
FUNasv39	Fungi	0.029060645
FUNasv40	Sordariomycetes	0.005327825
FUNasv43	Eurotiomycetes	0.000875485
FUNasv47	Eurotiomycetes	0.004931615
FUNasv48	Dothideomycetes	0.004685524
FUNasv49	Sordariomycetes	0.003287656
FUNasv50	Agaricomycetes	0.010780275
FUNasv51	Leotiomycetes	0.001583695
FUNasv52	unidentified	0.016087677
FUNasv53	Sordariomycetes	0.000439969
FUNasv54	Agaricomycetes	2.70E-05
FUNasv55	Tremellomycetes	0.005534188
FUNasv58	Eurotiomycetes	0.000313735
FUNasv61	Sordariomycetes	0.000115859
FUNasv62	Sordariomycetes	0.005015123
FUNasv63	Dothideomycetes	0.008801203
FUNasv64	Sordariomycetes	0.000620775
FUNasv65	Sordariomycetes	0.004205846
FUNasv66	Sordariomycetes	0.004076677
FUNasv67	Agaricomycetes	1.91E-05
FUNasv68	Sordariomycetes	0.000969799
FUNasv69	Dothideomycetes	0.002220457
FUNasv71	Sordariomycetes	0.003269766
FUNasv72	Dothideomycetes	0.001342645
FUNasv73	Orbiliomycetes	0.002324232
FUNasv74	Dothideomycetes	0.003212258
FUNasv75	Sordariomycetes	0.000775702
FUNasv77	Dothideomycetes	0.000714117
FUNasv79	Sordariomycetes	0.002280947
FUNasv80	Sordariomycetes	0.000117016
FUNasv81	Dothideomycetes	0.000721073
FUNasv82	Agaricomycetes	0.00431155
FUNasv83	Eurotiomycetes	0.00188388
FUNasv84	Dothideomycetes	0.001256461
FUNasv85	Eurotiomycetes	0.001668385
FUNasv87	Sordariomycetes	0.001329301
FUNasv88	Mortierellomycetes	0.001707328
FUNasv93	Sordariomycetes	0.001222036
FUNasv94	Sordariomycetes	0.001694379
FUNasv95	Olpidiomycetes	0.002667593
FUNasv98	Dothideomycetes	0.000209033
FUNasv99	Sordariomycetes	0.000975417
FUNasv100	Agaricomycetes	0.001620243
FUNasv103	unidentified	0.005466575
FUNasv104	Sordariomycetes	0.001581776
FUNasv105	Sordariomycetes	0.001636511
FUNasv106	Sordariomycetes	0.00112195
FUNasv107	Sordariomycetes	0.003760668
FUNasv110	Sordariomycetes	0.001263602
FUNasv111	Eurotiomycetes	0.001303197
FUNasv112	Sordariomycetes	0.000839642
FUNasv114	Dothideomycetes	0.001643445
FUNasv115	Sordariomycetes	0.001250255
FUNasv116	Dothideomycetes	0.001630952
FUNasv117	Pezizomycetes	0.000582284
FUNasv118	Dothideomycetes	0.001137249
FUNasv120	Sordariomycetes	0.000885307
FUNasv122	Tremellomycetes	0.000490345
FUNasv123	Sordariomycetes	0.000914845
