"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","biota","treat"
"1",0.05,0.630343511450382,0.0774655690885892,0.00774655690885892,"weighted","soil micro-food web","arable"
"2",0.1,0.60206106870229,0.0939216487414927,0.00939216487414927,"weighted","soil micro-food web","arable"
"3",0.15,0.564656488549618,0.111732758233067,0.0111732758233067,"weighted","soil micro-food web","arable"
"4",0.2,0.499847328244275,0.113605751586658,0.0113605751586658,"weighted","soil micro-food web","arable"
"5",0.25,0.48412213740458,0.110389122145104,0.0110389122145104,"weighted","soil micro-food web","arable"
"6",0.3,0.455572519083969,0.0936736198869544,0.00936736198869544,"weighted","soil micro-food web","arable"
"7",0.35,0.412595419847328,0.106428014513351,0.0106428014513351,"weighted","soil micro-food web","arable"
"8",0.4,0.369923664122137,0.106180484601412,0.0106180484601412,"weighted","soil micro-food web","arable"
"9",0.45,0.319580152671756,0.0992052819126461,0.00992052819126461,"weighted","soil micro-food web","arable"
"10",0.5,0.308206106870229,0.0868846325160685,0.00868846325160685,"weighted","soil micro-food web","arable"
"11",0.55,0.270229007633588,0.0923326637932649,0.00923326637932649,"weighted","soil micro-food web","arable"
"12",0.6,0.241908396946565,0.0754396069070056,0.00754396069070056,"weighted","soil micro-food web","arable"
"13",0.65,0.198893129770992,0.0646956146319431,0.00646956146319431,"weighted","soil micro-food web","arable"
"14",0.7,0.189503816793893,0.0600294577269139,0.00600294577269139,"weighted","soil micro-food web","arable"
"15",0.75,0.146679389312977,0.0490808659028381,0.00490808659028381,"weighted","soil micro-food web","arable"
"16",0.8,0.117328244274809,0.0431603470472488,0.00431603470472488,"weighted","soil micro-food web","arable"
"17",0.85,0.0875190839694656,0.0321826259340451,0.00321826259340451,"weighted","soil micro-food web","arable"
"18",0.9,0.0623664122137405,0.0232781761940945,0.00232781761940945,"weighted","soil micro-food web","arable"
"19",0.95,0.0331679389312977,0.0112323420008982,0.00112323420008982,"weighted","soil micro-food web","arable"
"20",1,0,0,0,"weighted","soil micro-food web","arable"
"21",0.05,0.830687022900763,0.00449060428423972,0.000449060428423972,"unweighted","soil micro-food web","arable"
"22",0.1,0.78587786259542,0.00734876134241272,0.000734876134241272,"unweighted","soil micro-food web","arable"
"23",0.15,0.742328244274809,0.00785204790036106,0.000785204790036106,"unweighted","soil micro-food web","arable"
"24",0.2,0.699541984732824,0.00845805924864128,0.000845805924864128,"unweighted","soil micro-food web","arable"
"25",0.25,0.651412213740458,0.0081384264362104,0.00081384264362104,"unweighted","soil micro-food web","arable"
"26",0.3,0.608854961832061,0.00955901017921645,0.000955901017921645,"unweighted","soil micro-food web","arable"
"27",0.35,0.563664122137405,0.0100892488588838,0.00100892488588838,"unweighted","soil micro-food web","arable"
"28",0.4,0.519809160305344,0.0122476085097309,0.00122476085097309,"unweighted","soil micro-food web","arable"
"29",0.45,0.474389312977099,0.0106347791685408,0.00106347791685408,"unweighted","soil micro-food web","arable"
"30",0.5,0.430114503816794,0.0124855893221677,0.00124855893221677,"unweighted","soil micro-food web","arable"
"31",0.55,0.389160305343511,0.0120687866879927,0.00120687866879927,"unweighted","soil micro-food web","arable"
"32",0.6,0.343053435114504,0.0116640309005551,0.00116640309005551,"unweighted","soil micro-food web","arable"
"33",0.65,0.300267175572519,0.0113023432053246,0.00113023432053246,"unweighted","soil micro-food web","arable"
"34",0.7,0.258358778625954,0.00915347561983632,0.000915347561983632,"unweighted","soil micro-food web","arable"
"35",0.75,0.209809160305344,0.0108017235700725,0.00108017235700725,"unweighted","soil micro-food web","arable"
"36",0.8,0.166908396946565,0.00936264499857162,0.000936264499857162,"unweighted","soil micro-food web","arable"
"37",0.85,0.124732824427481,0.00829645671699652,0.000829645671699652,"unweighted","soil micro-food web","arable"
"38",0.9,0.0812213740458015,0.00749900642196147,0.000749900642196147,"unweighted","soil micro-food web","arable"
"39",0.95,0.0397709923664122,0.00655903710861979,0.00065590371086198,"unweighted","soil micro-food web","arable"
"40",1,0,0,0,"unweighted","soil micro-food web","arable"
