nodes_id	within_module_connectivities	among_module_connectivities	degree	modularity	type
FUNasv1	-0.0612320433925627	0.4032	100	1	Peripherals
FUNasv10	0.507017984626095	0.490580545943868	153	2	Peripherals
FUNasv103	0.0146607610012366	0.493640115325909	133	2	Peripherals
FUNasv104	0.128281658760819	0.486111111111111	132	2	Peripherals
FUNasv105	-0.591317360383204	0.169921875	64	2	Peripherals
FUNasv106	0.544891617212622	0.496265813138241	162	2	Peripherals
FUNasv107	1.03724884083748	0.439911111111111	150	2	Peripherals
FUNasv110	0.658512514972205	0.486111111111111	156	2	Peripherals
FUNasv111	0.841823741603092	0.378703497438182	134	1	Peripherals
FUNasv112	0.648311787675452	0.487120865721689	162	1	Peripherals
FUNasv114	-0.093484035713836	0.027391975308642	72	1	Peripherals
FUNasv115	-0.51275993589039	0	58	1	Peripherals
FUNasv116	-0.254743997320203	0.444444444444444	99	1	Peripherals
FUNasv117	0.544891617212622	0.496265813138241	162	2	Peripherals
FUNasv118	0.100027918213804	0.465600644987906	122	1	Peripherals
FUNasv12	1.00308370320946	0.390239131497873	143	1	Peripherals
FUNasv120	0.544891617212622	0.496265813138241	162	2	Peripherals
FUNasv122	0.544891617212622	0	88	2	Peripherals
FUNasv123	0.544891617212622	0.496265813138241	162	2	Peripherals
FUNasv124	1.00308370320946	0.369546089746908	139	1	Peripherals
FUNasv125	0.544891617212622	0.496265813138241	162	2	Peripherals
FUNasv126	-0.553443727796677	0	59	2	Peripherals
FUNasv127	1.00308370320946	0.369546089746908	139	1	Peripherals
FUNasv128	-2.22211552891788	0	5	1	Peripherals
FUNasv129	0.906327726245639	0.417217598097503	145	1	Peripherals
FUNasv130	0.204028923933874	0.498577777777778	150	2	Peripherals
FUNasv133	1.22884764945837	0.416439223131996	159	1	Peripherals
FUNasv134	0.293539872141444	0.206654594839294	94	1	Peripherals
FUNasv135	0.938579718566912	0.342860422405877	132	1	Peripherals
FUNasv136	1.07512247342401	0.455190879954562	157	2	Peripherals
FUNasv137	0.620638882385677	0.485748018215551	154	2	Peripherals
FUNasv138	0.164531902856351	0.45951483905083	123	1	Peripherals
FUNasv14	0.204028923933874	0.2801108033241	95	2	Peripherals
FUNasv140	0.0525343935877641	0.301275992438563	92	2	Peripherals
FUNasv142	0.390295849105265	0.437224874449749	127	1	Peripherals
FUNasv144	0.00327194124998407	0.431412894375857	108	1	Peripherals
FUNasv145	1.29335163410092	0.393491124260355	156	1	Peripherals
FUNasv146	0.454799833747811	0.385283525174776	119	1	Peripherals
FUNasv149	0.358043856783991	0.298631656804734	104	1	Peripherals
FUNasv15	-1.7060836517775	0	21	1	Peripherals
FUNasv150	1.11299610601054	0.4400017087445	153	2	Peripherals
FUNasv152	0.58276524979915	0.472125771604938	144	2	Peripherals
FUNasv154	1.29335163410092	0.417009602194787	162	1	Peripherals
FUNasv155	0.658512514972205	0.482036823443975	153	2	Peripherals
FUNasv157	0.507017984626095	0.493343195266272	156	2	Peripherals
FUNasv16	-0.254743997320203	0.434902752683601	97	1	Peripherals
FUNasv160	0.88575431049137	0.421717302417059	139	2	Peripherals
FUNasv161	1.15086973859706	0.103140495867769	110	2	Peripherals
FUNasv164	0.961501575664425	0.391111111111111	135	2	Peripherals
FUNasv165	-1.09329579767331	0	40	1	Peripherals
FUNasv167	0.658512514972205	0.265260631001372	108	2	Peripherals
FUNasv168	0.43127071945304	0.483699845679012	144	2	Peripherals
FUNasv169	0.487051826069085	0.4237060546875	128	1	Peripherals
FUNasv17	-0.867531851424397	0	47	1	Peripherals
FUNasv173	-1.41581572088604	0.375	40	1	Peripherals
FUNasv176	-2.09310755963279	0	9	1	Peripherals
FUNasv179	-0.674019897496757	0	53	1	Peripherals
FUNasv184	0.73425978014526	0.175322839098878	103	2	Peripherals
FUNasv185	1.29335163410092	0.393491124260355	156	1	Peripherals
FUNasv187	0.809571749281818	0.491363265306122	175	1	Peripherals
FUNasv188	0.00327194124998407	0.492653810835629	132	1	Peripherals
FUNasv191	0.841823741603092	0.312174817898023	124	1	Peripherals
FUNasv193	1.22884764945837	0.416439223131996	159	1	Peripherals
FUNasv196	-1.61390544021945	0.060546875	32	2	Peripherals
FUNasv197	0.358043856783991	0	85	1	Peripherals
FUNasv199	-0.0612320433925627	0.499054820415879	138	1	Peripherals
FUNasv20	0.279776189106929	0.481725778546713	136	2	Peripherals
FUNasv200	0.164531902856351	0	79	1	Peripherals
FUNasv201	-0.286995989641476	0.471655328798186	105	1	Peripherals
FUNasv202	0.712815772317998	0.349635796045786	124	1	Peripherals
FUNasv203	-0.577263920532937	0.49519415609381	102	1	Peripherals
FUNasv204	-1.51257169784986	0.224765868886576	31	1	Peripherals
FUNasv206	0.0355239335712574	0.137174211248285	81	1	Peripherals
FUNasv208	-0.125736028035109	0.452441261245524	107	1	Peripherals
FUNasv209	-2.71224078522875	0	2	2	Peripherals
FUNasv210	0.261287879820171	0.46044921875	128	1	Peripherals
FUNasv212	0.73425978014526	0.175322839098878	103	2	Peripherals
FUNasv215	0.358043856783991	0.49531737773153	155	1	Peripherals
FUNasv217	0.616059795354178	0	93	1	Peripherals
FUNasv219	-1.41581572088604	0.375	40	1	Peripherals
FUNasv22	0.454799833747811	0.391111111111111	120	1	Peripherals
FUNasv220	-2.22211552891788	0.277777777777778	6	1	Peripherals
FUNasv221	0.73425978014526	0.490044789039858	163	2	Peripherals
FUNasv222	0.551555810711631	0.475474077744246	149	1	Peripherals
FUNasv223	0.999375208250953	0.428061831153389	145	2	Peripherals
FUNasv226	1.06758768785201	0.427554630593132	155	1	Peripherals
FUNasv227	0.88575431049137	0.429354660228359	141	2	Peripherals
FUNasv229	0.293539872141444	0.490617376618503	146	1	Peripherals
FUNasv23	-2.22211552891788	0	5	1	Peripherals
FUNasv231	-0.70627188981803	0.0713305898491083	54	1	Peripherals
FUNasv232	0.487051826069085	0.45231401384083	136	1	Peripherals
FUNasv233	0.616059795354178	0	93	1	Peripherals
FUNasv234	0.648311787675452	0.426903114186851	136	1	Peripherals
FUNasv237	-0.0610865041718185	0.0768	75	2	Peripherals
FUNasv238	0.544891617212622	0.496265813138241	162	2	Peripherals
FUNasv241	-0.190240012677656	0.0555102040816327	70	1	Peripherals
FUNasv243	-1.86734361338387	0.265927977839335	19	1	Peripherals
FUNasv248	0.507017984626095	0.493343195266272	156	2	Peripherals
FUNasv249	0.73425978014526	0.493527914231417	167	2	Peripherals
FUNasv25	0.938579718566912	0.349369664763412	133	1	Peripherals
FUNasv250	0.58276524979915	0	89	2	Peripherals
FUNasv251	0.616059795354178	0	93	1	Peripherals
FUNasv252	0.358043856783991	0	85	1	Peripherals
FUNasv256	-1.08367458400806	0.347800237812128	58	2	Peripherals
FUNasv257	-1.41581572088604	0.375	40	1	Peripherals
FUNasv26	0.999375208250953	0.450138504155125	152	2	Peripherals
FUNasv260	1.11299610601054	0.474418934240363	168	2	Peripherals
FUNasv262	0.355523454279985	0.481134516846954	139	2	Peripherals
FUNasv27	0.487051826069085	0.414840010078105	126	1	Peripherals
FUNasv270	0.0355239335712574	0.433884297520661	110	1	Peripherals
FUNasv271	1.22884764945837	0.416439223131996	159	1	Peripherals
FUNasv274	-1.53815817504639	0	33	2	Peripherals
FUNasv277	-1.06104380535204	0.315263360246059	51	1	Peripherals
FUNasv28	0.745067764639272	0.354371378180902	126	1	Peripherals
FUNasv284	-2.22211552891788	0	5	1	Peripherals
FUNasv285	0.241902556520402	0.299875052061641	98	2	Peripherals
FUNasv288	-1.41581572088604	0.375	40	1	Peripherals
FUNasv290	-0.964287828388217	0.0831758034026465	46	1	Peripherals
FUNasv292	0.261287879820171	0.108336636279561	87	1	Peripherals
FUNasv295	0.777319756960545	0.447406866325785	148	1	Peripherals
FUNasv297	-0.326201932277511	0.0298438934802571	66	2	Peripherals
FUNasv30	-0.31924798196275	0.444444444444444	96	1	Peripherals
FUNasv300	0.507017984626095	0.381328073635766	117	2	Peripherals
FUNasv307	0.43127071945304	0.475130686817453	139	2	Peripherals
FUNasv311	-0.288328299690984	0	66	2	Peripherals
FUNasv312	-2.14413629643083	0.188365650969529	19	2	Peripherals
FUNasv315	-2.22211552891788	0	5	1	Peripherals
FUNasv316	0.970831710888185	0.464009518143962	164	1	Peripherals
FUNasv319	-0.0612320433925627	0.499054820415879	138	1	Peripherals
FUNasv321	0.616059795354178	0	93	1	Peripherals
FUNasv323	0.0677759258925308	0.464444444444444	120	1	Peripherals
FUNasv326	1.15086973859706	0.103140495867769	110	2	Peripherals
FUNasv328	0.355523454279985	0.491646998935629	147	2	Peripherals
FUNasv33	0.847880677904843	0.4234404536862	138	2	Peripherals
FUNasv334	-0.439822830037094	0	62	2	Peripherals
FUNasv335	0.73425978014526	0.175322839098878	103	2	Peripherals
FUNasv338	-0.0612320433925627	0.499054820415879	138	1	Peripherals
