nodes_id	degree	modularity
FUNasv5	68	3
FUNasv6	50	3
FUNasv8	51	4
FUNasv9	77	3
FUNasv10	79	3
FUNasv12	69	3
FUNasv16	49	4
FUNasv20	60	4
FUNasv23	7	4
FUNasv25	55	4
FUNasv26	66	4
FUNasv27	55	4
FUNasv28	62	3
FUNasv30	56	4
FUNasv33	63	2
FUNasv38	60	4
FUNasv39	34	4
FUNasv40	53	3
FUNasv43	69	3
FUNasv48	47	3
FUNasv50	71	3
FUNasv51	77	3
FUNasv52	4	4
FUNasv55	14	4
FUNasv62	72	3
FUNasv63	66	4
FUNasv64	71	3
FUNasv65	70	2
FUNasv66	66	3
FUNasv67	12	1
FUNasv68	7	4
FUNasv72	9	4
FUNasv74	49	3
FUNasv75	57	3
FUNasv77	9	4
FUNasv79	6	3
FUNasv80	34	3
FUNasv82	15	2
FUNasv85	58	4
FUNasv88	83	3
FUNasv94	22	2
FUNasv95	61	4
FUNasv98	62	3
FUNasv99	59	3
FUNasv100	9	2
FUNasv103	75	3
FUNasv104	62	4
FUNasv107	71	3
FUNasv110	80	3
FUNasv111	71	3
FUNasv112	83	3
FUNasv114	31	1
FUNasv116	62	3
FUNasv122	38	2
FUNasv124	56	4
FUNasv126	22	2
FUNasv128	2	2
FUNasv129	78	3
FUNasv134	51	3
FUNasv135	57	4
FUNasv138	69	3
FUNasv142	65	3
FUNasv150	73	3
FUNasv155	77	3
FUNasv160	61	3
FUNasv162	80	3
FUNasv164	62	3
FUNasv168	70	3
FUNasv169	76	3
FUNasv176	9	3
FUNasv196	12	2
FUNasv203	56	4
FUNasv204	17	4
FUNasv206	50	3
FUNasv209	4	4
FUNasv210	71	3
FUNasv214	68	3
FUNasv215	71	4
FUNasv220	3	2
FUNasv222	70	4
FUNasv227	64	3
FUNasv229	60	4
FUNasv234	72	3
FUNasv240	78	3
FUNasv243	24	3
FUNasv247	79	3
FUNasv250	34	2
FUNasv262	68	3
FUNasv274	12	2
FUNasv290	33	3
FUNasv292	50	3
FUNasv293	78	4
FUNasv294	87	4
FUNasv296	85	3
FUNasv307	66	3
FUNasv310	12	1
FUNasv312	6	3
FUNasv317	12	1
FUNasv318	61	3
FUNasv320	70	4
FUNasv323	82	3
FUNasv331	29	4
FUNasv341	80	3
FUNasv343	70	3
FUNasv344	10	4
FUNasv356	86	3
FUNasv368	56	3
FUNasv372	34	3
FUNasv386	12	1
FUNasv387	87	4
FUNasv404	6	3
FUNasv411	86	3
FUNasv412	56	4
FUNasv424	6	3
FUNasv441	30	4
FUNasv442	30	4
FUNasv448	60	4
FUNasv450	24	2
FUNasv456	80	4
FUNasv460	24	3
FUNasv462	12	1
FUNasv471	19	3
FUNasv481	20	4
FUNasv495	12	1
FUNasv498	12	1
FUNasv499	61	4
FUNasv525	30	4
FUNasv554	31	4
FUNasv583	21	1
FUNasv596	12	1
FUNasv597	12	1
FUNasv612	12	1
FUNasv623	12	1
FUNasv641	12	1
FUNasv683	29	4
