ASVID	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4
FUNasv5	0.061583417	0.061906893	0.093224344	0.076780616	0.006377863	0.004715334	0.014902354	0.014552156
FUNasv6	0.001094427	0.001543369	0.001948738	0.007077266	0.001232782	0.000116428	0.001041298	0.000254186
FUNasv8	0.001477477	0.001405671	0.001767867	0.0051922	0.000163012	0.000256142	0.000972533	0.000460712
FUNasv9	0.019349472	0.009931495	0.01061887	0.011222206	0.031817997	0.105111189	0.058735117	0.069885299
FUNasv10	0.017270061	0.01648938	0.012124182	0.021650701	0.024329611	0.106077541	0.03922551	0.057366632
FUNasv12	0.016646237	0.020964577	0.029785347	0.040391124	0.005736001	0.001932705	0.009872687	0.005051949
FUNasv16	0.001083483	0.00152042	0.001960407	0.000440951	0.114709838	0.007311678	0.024401745	0.011104756
FUNasv20	0.010309504	0.006127578	0.007695764	0.010593851	0.029933165	0.012376295	0.019607843	0.01264576
FUNasv23	0.001291424	0.001124537	0.003127316	0.007485145	0.000845627	0.004936547	0.000491178	0.001985829
FUNasv25	0.009707569	0.002363822	0.002374659	0.001719709	0.030931616	0.011968797	0.02879288	0.018142535
FUNasv26	0.003742941	0.00422275	0.00345405	0.002127589	0.000478849	0.001303993	0.000648356	0
FUNasv27	0.00202469	0.001635168	0.002689725	0.002645707	0.000315837	0.001129351	0.001149358	0.000905538
FUNasv28	0.00105065	0.000539319	0.001102729	0.003924465	2.04E-05	0	2.95E-05	0
FUNasv30	0.000842709	0.000476207	0.000414253	0.001653567	6.11E-05	0.000104785	5.89E-05	9.53E-05
FUNasv33	0.013089349	0.013500178	0.011336519	0.002789016	0.000621485	0.000267784	0.000186648	0.000413052
FUNasv38	0.011360154	0.008370914	0.008956025	0.003252015	0.001253158	0.001758063	0.000933239	0.000667239
FUNasv39	0.048953728	0.041602121	0.040030806	0.026236592	0.021558399	0.029537781	0.01376282	0.01080291
FUNasv40	0.011633761	0.014005072	0.011972484	0.001146473	0.000611297	0.000593783	0.002151362	0.000508372
FUNasv43	0.000755155	0.001027	0.001551989	0.002700826	0.000224142	6.99E-05	0.000579591	9.53E-05
FUNasv48	0.011469597	0.008405338	0.003098143	0.005677246	0.003331567	0.000465712	0.002907776	0.002128809
FUNasv50	0	0.000131961	0.001213585	0.000551189	0.004543973	0.01314472	0.001807537	0.064849236
FUNasv51	0.000404938	0.000240972	0.000326734	0.000462999	0.001253158	0.005553615	0.001964714	0.002462428
FUNasv52	0.020093683	0.017057386	0.011103137	0.015565575	0.009923384	0.03594132	0.011581988	0.007434944
FUNasv55	0.000372105	0.003849817	0.00223463	0.00108033	0.014294156	0.003597625	0.015953476	0.002891367
FUNasv62	0.00901808	0.007240639	0.010350481	0.009491473	0.000916945	0.000849924	0.001522653	0.000730785
FUNasv63	0.012925185	0.012381379	0.014236287	0.008918237	0.00633711	0.007090465	0.00501002	0.003510946
