source	target	weight	correlation
Rhabditis	Acrobeloides	0.790433332862751	-0.790433332862751
Mesorhabditis	Prodorylaimus	0.780720058358827	0.780720058358827
Cephalobus	Prodorylaimus	0.728450577529072	-0.728450577529072
Cephalobus	Aporcelaimellus	0.888956636984631	-0.888956636984631
Heterocephalobus	Alaimus	0.711777005827033	0.711777005827033
Heterocephalobus	Prodorylaimus	0.711777005827033	-0.711777005827033
Acrobeloides	Ceratoplectus	0.740963855421687	-0.740963855421687
Ceratoplectus	Aphelenchus	0.850314645958414	0.850314645958414
Ceratoplectus	Eudorylaimus	0.783132530120482	0.783132530120482
Prismatolaimus	Ecumenicus	0.803869670662643	-0.803869670662643
Prismatolaimus	Thonus	0.728915662650602	-0.728915662650602
Rhabdolaimus	Aphelenchus	0.761019434147762	-0.761019434147762
Alaimus	Paraphelenchus	0.718184846459608	0.718184846459608
Paramphidelus	Filenchus	0.855362829225267	-0.855362829225267
Paramphidelus	Prodorylaimus	0.855362829225267	-0.855362829225267
Paramphidelus	Epidorylaimus	0.808888587688669	-0.808888587688669
Filenchus	Epidorylaimus	0.981761387347632	0.981761387347632
Filenchus	Aporcelaimellus	0.725	0.725
Ditylenchus	Tripyla	0.715164649609126	0.715164649609126
Ditylenchus	Klarkus	0.806075410152659	-0.806075410152659
Aphelenchus	Eudorylaimus	0.97007727214974	0.97007727214974
Paraphelenchus	Tripyla	0.717676975361378	0.717676975361378
Paraphelenchus	Ecumenicus	0.786736601917431	0.786736601917431
Aphelenchoides	Tripyla	0.898219696434944	-0.898219696434944
Aphelenchoides	Microdorylaimus	0.862290908577547	0.862290908577547
Tripyla	Ecumenicus	0.740070490451322	0.740070490451322
Tripyla	Microdorylaimus	0.855421686746988	-0.855421686746988
Klarkus	Ecumenicus	0.771970080556983	-0.771970080556983
