nodes_id	within_module_connectivities	among_module_connectivities	degree	modularity
Acrobeloides	0	0	2	2
Alaimus	1.15470053837925	0	2	4
Aphelenchoides	-0.282038037408883	0	2	1
Aphelenchus	1.11803398874989	0	3	2
Aporcelaimellus	-0.377964473009227	0	2	3
Cephalobus	-0.377964473009227	0	2	3
Ceratoplectus	1.11803398874989	0	3	2
Ditylenchus	-0.282038037408883	0	2	1
Ecumenicus	0.846114112226649	0.375	4	1
Epidorylaimus	-0.377964473009227	0	2	3
Eudorylaimus	0	0	2	2
Filenchus	0.944911182523068	0	3	3
Heterocephalobus	-0.577350269189626	0.5	2	4
Klarkus	-0.282038037408883	0	2	1
Mesorhabditis	-1.70084012854152	0	1	3
Microdorylaimus	-0.282038037408883	0	2	1
Paramphidelus	0.944911182523068	0	3	3
Paraphelenchus	-0.577350269189626	0.444444444444444	3	4
Prismatolaimus	-0.282038037408883	0	2	1
Prodorylaimus	0.944911182523068	0.375	4	3
Rhabditis	-1.11803398874989	0	1	2
Rhabdolaimus	-1.11803398874989	0	1	2
Thonus	-1.41019018704442	0	1	1
Tripyla	1.97426626186218	0.32	5	1
