"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","biota","treat"
"1",0.05,0.448095238095238,0.0400959704432014,0.00400959704432014,"weighted","soil micro-food web","arable"
"2",0.1,0.409047619047619,0.0594280133420595,0.00594280133420595,"weighted","soil micro-food web","arable"
"3",0.15,0.392380952380952,0.067384304853909,0.0067384304853909,"weighted","soil micro-food web","arable"
"4",0.2,0.362857142857143,0.0665841583842273,0.00665841583842273,"weighted","soil micro-food web","arable"
"5",0.25,0.311428571428571,0.0838337889574443,0.00838337889574443,"weighted","soil micro-food web","arable"
"6",0.3,0.293333333333333,0.091238780083809,0.0091238780083809,"weighted","soil micro-food web","arable"
"7",0.35,0.27047619047619,0.0783133780436282,0.00783133780436282,"weighted","soil micro-food web","arable"
"8",0.4,0.229047619047619,0.097071104983921,0.00970711049839211,"weighted","soil micro-food web","arable"
"9",0.45,0.20952380952381,0.0952380952380952,0.00952380952380952,"weighted","soil micro-food web","arable"
"10",0.5,0.183333333333333,0.0911521293753638,0.00911521293753638,"weighted","soil micro-food web","arable"
"11",0.55,0.141428571428571,0.0784813715676224,0.00784813715676224,"weighted","soil micro-food web","arable"
"12",0.6,0.110952380952381,0.0831851221001217,0.00831851221001217,"weighted","soil micro-food web","arable"
"13",0.65,0.102857142857143,0.0718585742097922,0.00718585742097922,"weighted","soil micro-food web","arable"
"14",0.7,0.0561904761904762,0.0614312000958871,0.00614312000958871,"weighted","soil micro-food web","arable"
"15",0.75,0.0485714285714286,0.059383673423575,0.0059383673423575,"weighted","soil micro-food web","arable"
"16",0.8,0.0366666666666667,0.0492063492063492,0.00492063492063492,"weighted","soil micro-food web","arable"
"17",0.85,0.0285714285714286,0.0454029804402663,0.00454029804402663,"weighted","soil micro-food web","arable"
"18",0.9,0.00285714285714286,0.0163282483807396,0.00163282483807396,"weighted","soil micro-food web","arable"
"19",0.95,0,0,0,"weighted","soil micro-food web","arable"
"20",1,0,0,0,"weighted","soil micro-food web","arable"
"21",0.05,0.433809523809524,0.0623618746736573,0.00623618746736573,"unweighted","soil micro-food web","arable"
"22",0.1,0.398095238095238,0.072113121851432,0.0072113121851432,"unweighted","soil micro-food web","arable"
"23",0.15,0.366190476190476,0.0755792582899095,0.00755792582899095,"unweighted","soil micro-food web","arable"
"24",0.2,0.308571428571429,0.0906747018480617,0.00906747018480617,"unweighted","soil micro-food web","arable"
"25",0.25,0.282380952380952,0.098606846615743,0.0098606846615743,"unweighted","soil micro-food web","arable"
"26",0.3,0.272380952380952,0.0890433619629936,0.00890433619629936,"unweighted","soil micro-food web","arable"
"27",0.35,0.245238095238095,0.0948464771826,0.00948464771826,"unweighted","soil micro-food web","arable"
"28",0.4,0.231428571428571,0.0959616573680872,0.00959616573680872,"unweighted","soil micro-food web","arable"
"29",0.45,0.22,0.0881904117800211,0.00881904117800211,"unweighted","soil micro-food web","arable"
"30",0.5,0.180952380952381,0.0786402689375972,0.00786402689375972,"unweighted","soil micro-food web","arable"
"31",0.55,0.123809523809524,0.0741427565868117,0.00741427565868117,"unweighted","soil micro-food web","arable"
"32",0.6,0.108571428571429,0.0744756516552882,0.00744756516552882,"unweighted","soil micro-food web","arable"
"33",0.65,0.079047619047619,0.0704095989491368,0.00704095989491368,"unweighted","soil micro-food web","arable"
"34",0.7,0.06,0.0705396020121033,0.00705396020121033,"unweighted","soil micro-food web","arable"
"35",0.75,0.0466666666666667,0.0589967041423393,0.00589967041423393,"unweighted","soil micro-food web","arable"
"36",0.8,0.0314285714285714,0.0460143272013674,0.00460143272013674,"unweighted","soil micro-food web","arable"
"37",0.85,0.0214285714285714,0.0396825396825397,0.00396825396825397,"unweighted","soil micro-food web","arable"
"38",0.9,0.0104761904761905,0.0299491464509733,0.00299491464509733,"unweighted","soil micro-food web","arable"
"39",0.95,0,0,0,"unweighted","soil micro-food web","arable"
"40",1,0,0,0,"unweighted","soil micro-food web","arable"
