	Rhabditis	Mesorhabditis	Heterocephalobus	Acrobeloides	Ceratoplectus	Prismatolaimus	Rhabdolaimus	Filenchus	Aphelenchus	Aphelenchoides	Tylencholaimus	Prodorylaimus	Mesodorylaimus	Thonus	Epidorylaimus	Microdorylaimus	Aporcelaimellus
Rhabditis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhabditis	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Heterocephalobus	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Acrobeloides	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Ceratoplectus	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Prismatolaimus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Rhabdolaimus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Filenchus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
Aphelenchus	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Aphelenchoides	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Tylencholaimus	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Prodorylaimus	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Mesodorylaimus	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0
Thonus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Epidorylaimus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Microdorylaimus	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Aporcelaimellus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
