	Rhabditis	Mesorhabditis	Cephalobus	Heterocephalobus	Acrobeloides	Ceratoplectus	Prismatolaimus	Rhabdolaimus	Alaimus	Filenchus	Aphelenchus	Paraphelenchus	Aphelenchoides	Tylencholaimus	Prodorylaimus	Mesodorylaimus	Thonus	Epidorylaimus	Microdorylaimus	Aporcelaimellus
Rhabditis	0	0	0	0	-0.790433332862751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhabditis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.807287510292399	0.780720058358827	0	0	0	0	0
Cephalobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.728450577529072	0	0	0	0	-0.888956636984631
Heterocephalobus	0	0	0	0	0	0	0	0	0.711777005827033	0	0	0	0	-0.872743301217916	-0.711777005827033	0	0	0	0	0
Acrobeloides	-0.790433332862751	0	0	0	0	-0.740963855421687	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ceratoplectus	0	0	0	0	-0.740963855421687	0	0	0	0	0	0.850314645958414	0	0	0	0	0	0	0	0	0
Prismatolaimus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.728915662650602	0	0	0
Rhabdolaimus	0	0	0	0	0	0	0	0	0	0	-0.761019434147762	0	0	0	0	0	0	0	0	0
Alaimus	0	0	0	0.711777005827033	0	0	0	0	0	0	0	0.718184846459608	0	0	0	0	0	0	0	0
Filenchus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.736321040510724	0	0.981761387347632	0	0.725
Aphelenchus	0	0	0	0	0	0.850314645958414	0	-0.761019434147762	0	0	0	0	0	0	0	0	0	0	0	0
Paraphelenchus	0	0	0	0	0	0	0	0	0.718184846459608	0	0	0	0	0	0	0	0	0	0	0
Aphelenchoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.850314645958414	0	0	0.862290908577547	0
Tylencholaimus	0	0.807287510292399	0	-0.872743301217916	0	0	0	0	0	0	0	0	0	0	0.802530297277792	0	0	0	0	0
Prodorylaimus	0	0.780720058358827	-0.728450577529072	-0.711777005827033	0	0	0	0	0	0	0	0	0	0.802530297277792	0	0.748593057852569	0	0	0	0
Mesodorylaimus	0	0	0	0	0	0	0	0	0	0.736321040510724	0	0	0.850314645958414	0	0.748593057852569	0	0	0	0.734939759036145	0
Thonus	0	0	0	0	0	0	-0.728915662650602	0	0	0	0	0	0	0	0	0	0	0	0	0
Epidorylaimus	0	0	0	0	0	0	0	0	0	0.981761387347632	0	0	0	0	0	0	0	0	0	0
Microdorylaimus	0	0	0	0	0	0	0	0	0	0	0	0	0.862290908577547	0	0	0.734939759036145	0	0	0	0
Aporcelaimellus	0	0	-0.888956636984631	0	0	0	0	0	0	0.725	0	0	0	0	0	0	0	0	0	0
