id	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4
ProASV1	0	0	0	0	0	0.042352941	0.000588235	0.001176471
ProASV2	0.000588235	0.001764706	0	0	0.005882353	0	0	0
ProASV3	0	0	0	0	0.001176471	0.004705882	0	0
ProASV4	0.001176471	0	0	0	0	0.015294118	0	0
ProASV5	0	0	0.002941176	0	0	0	0	0
ProASV6	0.001176471	0.016470588	0.058235294	0.021764706	0.023529412	0.041764706	0.255294118	0.202352941
ProASV7	0	0	0	0.007058824	0	0	0.075882353	0
ProASV8	0	0	0	0	0	0.007647059	0	0.007058824
ProASV9	0	0	0	0	0	0.004117647	0	0
ProASV10	0	0.001764706	0	0	0	0	0	0
ProASV11	0	0.001764706	0.001764706	0.001176471	0.024117647	0.072352941	0	0.030588235
ProASV12	0	0	0	0	0.040588235	0.050588235	0.002352941	0.003529412
ProASV13	0	0	0	0	0	0	0.001176471	0
ProASV14	0	0	0	0	0	0	0	0.005294118
ProASV15	0	0	0	0	0.031176471	0.03	0.009411765	0.028235294
ProASV16	0.002352941	0.038235294	0.002352941	0.01	0.067647059	0.08	0.082941176	0.06
ProASV19	0	0	0.000588235	0	0.003529412	0	0	0
ProASV20	0.001176471	0	0	0	0.002352941	0	0	0.000588235
ProASV21	0	0	0	0	0.002941176	0	0	0
ProASV22	0	0	0	0	0.001176471	0.000588235	0	0
ProASV24	0	0	0	0	0	0	0.002352941	0
ProASV26	0.021176471	0.038823529	0.02	0.096470588	0.051176471	0.044705882	0.018235294	0.005882353
ProASV27	0.009411765	0.006470588	0.017647059	0.03	0.016470588	0.010588235	0.007647059	0.007058824
ProASV28	0.011764706	0.01	0.026470588	0.025294118	0.031764706	0.004705882	0.008823529	0.008235294
ProASV29	0	0.007647059	0	0	0	0.004705882	0	0
ProASV31	0.002941176	0.008235294	0.002352941	0	0	0.003529412	0	0
ProASV32	0.008823529	0.021764706	0.016470588	0.021176471	0.008823529	0.064117647	0.004705882	0.019411765
ProASV33	0.011764706	0.016470588	0.009411765	0.014705882	0.013529412	0.027058824	0	0.008235294
ProASV34	0.005294118	0.016470588	0.004705882	0.028823529	0.012941176	0.02	0	0
ProASV35	0.004117647	0.010588235	0.020588235	0.024705882	0.018235294	0.022352941	0.002941176	0.004705882
ProASV36	0	0	0.001764706	0	0	0	0	0
ProASV37	0	0.002941176	0	0.004117647	0.002352941	0.011176471	0	0
ProASV38	0	0	0	0.002941176	0.004117647	0	0	0
ProASV39	0.012941176	0.006470588	0.007058824	0.005882353	0.022941176	0.000588235	0.006470588	0.003529412
ProASV41	0	0	0.005294118	0	0	0	0.011176471	0
ProASV42	0.004705882	0	0.007647059	0.004705882	0.017058824	0.038823529	0.000588235	0.022352941
ProASV43	0	0.002941176	0	0.018235294	0	0	0	0
ProASV44	0	0	0	0	0.000588235	0	0	0
ProASV45	0	0.006470588	0.006470588	0.011764706	0.000588235	0.002352941	0.020588235	0.003529412
ProASV47	0.001764706	0.004705882	0.002941176	0.04	0.001176471	0	0	0.002941176
ProASV48	0	0.017647059	0.001764706	0.016470588	0	0	0.002352941	0.006470588
ProASV49	0	0	0.003529412	0	0	0	0	0
ProASV50	0	0	0.001176471	0	0.003529412	0.000588235	0.007058824	0
ProASV51	0.001176471	0.001176471	0	0	0.013529412	0	0	0.001176471
ProASV52	0	0.006470588	0.004117647	0.01	0	0.002941176	0.002352941	0
ProASV53	0	0.001764706	0.001176471	0.002352941	0	0	0.009411765	0
ProASV54	0	0	0	0	0	0	0.006470588	0
ProASV55	0.002941176	0	0	0	0	0	0	0
ProASV56	0.005294118	0.005882353	0.003529412	0.005294118	0.008823529	0.003529412	0.002352941	0.003529412
ProASV57	0.000588235	0	0	0	0	0	0	0
ProASV58	0	0	0.000588235	0	0	0	0.000588235	0.000588235
ProASV59	0	0	0	0.001176471	0	0	0	0
ProASV61	0	0.001764706	0	0.001764706	0	0	0	0
ProASV62	0	0.009411765	0.005294118	0	0.000588235	0.018235294	0	0
ProASV63	0.005882353	0.004117647	0	0.005294118	0	0.007058824	0.002352941	0.006470588
ProASV64	0	0	0.009411765	0	0	0	0	0
ProASV65	0.01	0.007058824	0	0.003529412	0.027647059	0	0	0.008823529
ProASV66	0.005882353	0.004117647	0.012941176	0.011764706	0.008235294	0.020588235	0	0.001764706
ProASV67	0.019411765	0.006470588	0.004117647	0.005882353	0	0	0.005882353	0
ProASV68	0	0	0.008823529	0	0	0	0	0
ProASV69	0	0	0.001764706	0	0	0	0	0
ProASV70	0.006470588	0	0.011764706	0	0	0	0.005882353	0.022941176
ProASV71	0.000588235	0.000588235	0.001764706	0	0.009411765	0	0	0
ProASV72	0.004117647	0.003529412	0.008235294	0	0.007058824	0.003529412	0.008823529	0.007058824
ProASV73	0	0	0	0	0.001764706	0	0	0.000588235
ProASV74	0	0	0	0	0	0	0.008823529	0.000588235
ProASV75	0.001176471	0	0	0	0	0	0	0
ProASV76	0	0	0	0	0	0.004117647	0	0
ProASV77	0.003529412	0	0.007647059	0.005882353	0.004705882	0	0.002941176	0.004705882
ProASV78	0	0	0	0	0	0	0.001176471	0
ProASV80	0	0	0	0	0	0.001176471	0	0
ProASV81	0	0	0	0	0	0.001176471	0	0
ProASV82	0	0	0.000588235	0	0	0	0	0
ProASV83	0.001176471	0	0	0.002352941	0	0	0	0
ProASV84	0	0	0	0	0	0	0.007058824	0.001176471
ProASV86	0	0	0	0.000588235	0	0	0	0
ProASV88	0.000588235	0.001764706	0.001176471	0	0.003529412	0	0	0.001176471
ProASV89	0	0	0.000588235	0.002352941	0	0.000588235	0	0
ProASV90	0.009411765	0.007058824	0.019411765	0.011176471	0.006470588	0.004705882	0.008235294	0
ProASV91	0.004117647	0	0.010588235	0.000588235	0.01	0.012352941	0.007647059	0.002352941
ProASV92	0	0.001176471	0	0	0	0	0	0
ProASV93	0.000588235	0	0.000588235	0	0	0.003529412	0	0.002352941
ProASV94	0	0.002352941	0.002941176	0.001764706	0	0	0	0
ProASV95	0.001176471	0.000588235	0.002941176	0	0	0.006470588	0	0
ProASV96	0	0	0	0	0	0	0.006470588	0
ProASV97	0.005882353	0.014705882	0.02	0.004705882	0.028823529	0.012352941	0.010588235	0.000588235
ProASV98	0	0	0	0	0	0	0.005882353	0
ProASV99	0.01	0	0.005882353	0	0.001176471	0.004117647	0.005294118	0.000588235
ProASV100	0.001764706	0	0.002352941	0	0	0	0.001176471	0.000588235
ProASV101	0.051764706	0.018235294	0.106470588	0.027058824	0.021764706	0.012352941	0.007058824	0.004705882
ProASV102	0	0	0	0	0.000588235	0	0	0
ProASV103	0	0	0	0	0.000588235	0	0	0
ProASV104	0	0.001176471	0	0	0	0	0	0
ProASV106	0	0	0	0	0.001176471	0.000588235	0	0
ProASV107	0.048823529	0.028823529	0.032941176	0.014117647	0.039411765	0.030588235	0.012941176	0.007058824
ProASV108	0.000588235	0.001176471	0.002941176	0	0.001764706	0	0.001764706	0
ProASV109	0	0	0.000588235	0.000588235	0.001176471	0	0	0
ProASV110	0	0	0.003529412	0	0	0	0	0
ProASV111	0.010588235	0.004705882	0.029411765	0.001764706	0.015882353	0.002352941	0.002352941	0.016470588
ProASV113	0.007647059	0.004705882	0.003529412	0.001764706	0.047647059	0.005294118	0	0.002352941
ProASV114	0	0	0.001176471	0	0	0	0	0
ProASV115	0.022352941	0.012352941	0.053529412	0.008823529	0.051176471	0.015294118	0.025294118	0.02
ProASV116	0.001764706	0.000588235	0.003529412	0.006470588	0.001176471	0.007058824	0	0.004705882
ProASV117	0	0	0.001176471	0	0	0	0	0
ProASV118	0	0	0.004117647	0	0.001176471	0	0.000588235	0
ProASV120	0	0	0.001764706	0	0	0	0	0
ProASV121	0.002352941	0.000588235	0.002352941	0.001176471	0.006470588	0	0.003529412	0.001176471
ProASV122	0.004705882	0.003529412	0.008235294	0.004117647	0.000588235	0	0.007647059	0.003529412
ProASV123	0.007058824	0.008235294	0.004705882	0.000588235	0.000588235	0	0.005294118	0
ProASV124	0.002352941	0.002941176	0.000588235	0.000588235	0.009411765	0.008235294	0	0.001764706
ProASV127	0	0.004705882	0	0	0	0	0	0
ProASV128	0	0.016470588	0.001764706	0.000588235	0.004117647	0	0	0.028823529
ProASV129	0.001176471	0.001764706	0	0	0	0	0	0
ProASV130	0.001176471	0.042352941	0.002941176	0	0	0	0.002352941	0.01
ProASV131	0.004705882	0.004705882	0.009411765	0.011764706	0.001764706	0.001176471	0.001764706	0.007647059
ProASV133	0.003529412	0.005294118	0	0	0	0	0	0
ProASV134	0.001176471	0	0	0	0	0	0	0
ProASV135	0	0	0.001176471	0	0	0	0	0
ProASV136	0	0	0.001176471	0	0	0	0	0
ProASV137	0.001764706	0	0.014705882	0	0.000588235	0	0	0
ProASV138	0.007058824	0.006470588	0.024705882	0.003529412	0	0.002941176	0	0.001176471
ProASV139	0	0	0	0.001176471	0	0	0	0
ProASV140	0	0.002352941	0	0	0	0	0	0
ProASV141	0	0	0	0.000588235	0	0	0	0
ProASV142	0	0.002352941	0.002352941	0.002352941	0.001176471	0	0.000588235	0.000588235
ProASV143	0.002352941	0.007058824	0.003529412	0.003529412	0.002352941	0.004117647	0.003529412	0
ProASV144	0.011764706	0.020588235	0.007647059	0.011764706	0.004117647	0.001764706	0.018823529	0.008235294
ProASV145	0	0	0.001176471	0	0	0	0	0
ProASV146	0	0	0.001176471	0	0	0	0	0
ProASV148	0.001764706	0.01	0	0	0	0	0	0
ProASV149	0	0	0	0.001176471	0	0.001764706	0	0
ProASV151	0	0	0	0	0	0	0	0.000588235
ProASV152	0	0	0	0	0.002352941	0	0	0
ProASV153	0	0	0.001764706	0	0	0	0	0
ProASV154	0	0	0	0	0.000588235	0	0	0
ProASV157	0	0	0	0	0.001176471	0	0	0
ProASV158	0	0	0	0	0.001176471	0	0	0
ProASV159	0	0.001764706	0	0	0.001176471	0	0.001764706	0.000588235
ProASV160	0	0	0	0	0	0.003529412	0	0
ProASV161	0	0	0	0.001764706	0	0	0	0
ProASV162	0.000588235	0.002352941	0.005294118	0.003529412	0.008235294	0	0.003529412	0
ProASV163	0	0	0.001176471	0	0	0	0	0
ProASV164	0.03	0.034117647	0.022941176	0.030588235	0.020588235	0.016470588	0.012941176	0.03
ProASV165	0.055882353	0.044705882	0.012352941	0.027647059	0.021176471	0.021176471	0.018823529	0.022941176
ProASV166	0.001176471	0	0.004117647	0	0.002352941	0.001176471	0.001176471	0.001764706
ProASV167	0	0	0	0	0	0	0	0.000588235
ProASV168	0.017647059	0.011176471	0.004117647	0.002941176	0.008235294	0.028823529	0.011764706	0.001176471
ProASV169	0	0	0	0	0	0	0	0.000588235
ProASV170	0.015294118	0	0	0	0	0	0	0
ProASV171	0.001764706	0.000588235	0.004117647	0	0	0.001764706	0	0
ProASV172	0	0	0	0	0.001764706	0	0	0.000588235
ProASV175	0.001764706	0.000588235	0	0	0.001176471	0	0.000588235	0
ProASV176	0	0	0	0	0	0.005882353	0	0
ProASV177	0.002941176	0	0.001176471	0.000588235	0	0	0	0.000588235
ProASV178	0	0	0	0	0	0	0.000588235	0
ProASV179	0.001176471	0.003529412	0.001176471	0.002941176	0	0	0	0
ProASV181	0	0.002941176	0.002352941	0	0	0	0	0.001176471
ProASV182	0.001176471	0.001764706	0	0	0	0	0	0
ProASV183	0	0	0.001764706	0	0	0	0	0
ProASV184	0	0	0	0.002941176	0	0	0	0
ProASV186	0.001176471	0	0	0	0.000588235	0	0	0.001764706
ProASV187	0.006470588	0.001764706	0	0.001764706	0.004117647	0	0.001176471	0.001764706
ProASV189	0	0	0	0	0	0	0	0.002941176
ProASV190	0.017058824	0.006470588	0.005882353	0.01	0.002941176	0	0	0.001764706
ProASV192	0.007647059	0.025294118	0.005294118	0.012941176	0	0.009411765	0	0.001176471
ProASV193	0.007058824	0.011176471	0.007058824	0.006470588	0	0.002352941	0.002352941	0.002941176
ProASV194	0.011764706	0	0.005882353	0.001176471	0	0	0.015882353	0.007058824
ProASV196	0	0.002352941	0	0	0	0	0	0.001176471
ProASV198	0	0	0	0	0	0	0	0.002352941
ProASV199	0	0	0	0	0	0.002941176	0.004705882	0.002352941
ProASV200	0	0	0	0	0	0.001764706	0	0.001176471
ProASV201	0.004705882	0.002941176	0.003529412	0.005294118	0.000588235	0	0.001176471	0.001176471
ProASV202	0	0.000588235	0	0	0	0	0	0
ProASV203	0.008823529	0.004705882	0.002941176	0.003529412	0	0	0.007058824	0
ProASV204	0	0	0	0	0.002352941	0	0.004117647	0
ProASV205	0.004705882	0.003529412	0.002941176	0.002352941	0.003529412	0	0	0.002941176
ProASV206	0	0	0	0	0.001176471	0	0	0.001764706
ProASV207	0.002352941	0	0	0	0	0	0	0
ProASV208	0.009411765	0.005294118	0	0.003529412	0.002941176	0.000588235	0.002941176	0
ProASV209	0	0	0	0.002941176	0	0	0	0
ProASV210	0.002352941	0.001764706	0.002352941	0.005882353	0.001176471	0	0.008823529	0.007058824
ProASV211	0.001176471	0.001764706	0	0	0.001764706	0	0.003529412	0
ProASV212	0.003529412	0.006470588	0.001764706	0	0.003529412	0.000588235	0.002941176	0
ProASV213	0.003529412	0.005882353	0.004117647	0.002941176	0.001764706	0.003529412	0	0.004117647
ProASV214	0.001176471	0	0	0	0	0	0	0
ProASV215	0.001764706	0	0	0	0.001764706	0	0	0
ProASV216	0.003529412	0.001176471	0.001764706	0.003529412	0.000588235	0	0.001176471	0
ProASV217	0.011176471	0.007647059	0.007647059	0.007647059	0.004705882	0.000588235	0.001176471	0.001764706
ProASV218	0.004117647	0.000588235	0.001764706	0	0	0	0	0.002941176
ProASV220	0	0	0	0	0.001176471	0.000588235	0.001764706	0.003529412
ProASV221	0.005294118	0.001176471	0	0.005882353	0.001764706	0	0.01	0.001176471
ProASV222	0.005882353	0	0	0	0.002352941	0	0.000588235	0.004705882
ProASV223	0	0	0.001176471	0	0	0	0	0
ProASV224	0	0	0	0.001176471	0	0	0.001764706	0
ProASV225	0.000588235	0.002941176	0	0.002352941	0.001764706	0.002352941	0.004117647	0.002941176
ProASV227	0	0.008823529	0	0	0	0	0	0.001176471
ProASV228	0.011176471	0.013529412	0.003529412	0.003529412	0.002941176	0	0.016470588	0.000588235
ProASV229	0.002352941	0	0	0	0	0	0.002941176	0.002352941
ProASV230	0	0	0	0	0	0	0	0.002352941
ProASV231	0.001176471	0.000588235	0	0.003529412	0.002941176	0.001176471	0.001176471	0.000588235
ProASV232	0.006470588	0.004117647	0.008235294	0.009411765	0.003529412	0	0.006470588	0.004705882
ProASV233	0.028235294	0.014117647	0.017058824	0.028235294	0.005882353	0.01	0.002352941	0.008235294
ProASV234	0.011764706	0.002941176	0.002352941	0.003529412	0.004705882	0.004117647	0.004705882	0.004705882
ProASV236	0	0	0	0.001176471	0	0	0	0
ProASV237	0	0	0	0	0	0.001764706	0	0
ProASV238	0	0.002352941	0	0.000588235	0.003529412	0	0.002941176	0.003529412
ProASV239	0.004705882	0.002941176	0.01	0.020588235	0.007647059	0.007058824	0.004117647	0.021176471
ProASV240	0.002941176	0.010588235	0	0	0.001764706	0	0.004705882	0.001176471
ProASV241	0.015294118	0.011764706	0.004117647	0.026470588	0.008823529	0.003529412	0.003529412	0.021176471
ProASV242	0.042352941	0.067647059	0.045294118	0.055294118	0.039411765	0.035294118	0.071764706	0.074705882
ProASV243	0.012352941	0.008235294	0.005294118	0.009411765	0.004705882	0.009411765	0	0.024117647
ProASV244	0.009411765	0.005294118	0	0.007058824	0.003529412	0.001764706	0	0.015882353
ProASV245	0	0	0	0	0	0	0.004705882	0
ProASV246	0.026470588	0.021764706	0.010588235	0.028235294	0.022941176	0.002941176	0	0.045294118
ProASV247	0.014117647	0.007647059	0.003529412	0.002941176	0	0	0	0.004117647
ProASV248	0.014705882	0.014117647	0.007647059	0.009411765	0.000588235	0.005294118	0.006470588	0.009411765
ProASV249	0.006470588	0	0	0	0	0	0.003529412	0.001764706
ProASV250	0	0.009411765	0.005294118	0.002941176	0.001764706	0	0.005882353	0.001764706
ProASV253	0.133529412	0.061176471	0.052352941	0.066470588	0.014705882	0.007647059	0.008235294	0.012941176
