id	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4	Abundance
ProASV1	0	0	0	0	0	0.042352941	0.000588235	0.001176471	0.551470588
ProASV2	0.000588235	0.001764706	0	0	0.005882353	0	0	0	0.102941176
ProASV3	0	0	0	0	0.001176471	0.004705882	0	0	0.073529412
ProASV4	0.001176471	0	0	0	0	0.015294118	0	0	0.205882353
ProASV5	0	0	0.002941176	0	0	0	0	0	0.036764706
ProASV6	0.001176471	0.016470588	0.058235294	0.021764706	0.023529412	0.041764706	0.255294118	0.202352941	7.757352941
ProASV7	0	0	0	0.007058824	0	0	0.075882353	0	1.036764706
ProASV8	0	0	0	0	0	0.007647059	0	0.007058824	0.183823529
ProASV9	0	0	0	0	0	0.004117647	0	0	0.051470588
ProASV10	0	0.001764706	0	0	0	0	0	0	0.022058824
ProASV11	0	0.001764706	0.001764706	0.001176471	0.024117647	0.072352941	0	0.030588235	1.647058824
ProASV12	0	0	0	0	0.040588235	0.050588235	0.002352941	0.003529412	1.213235294
ProASV13	0	0	0	0	0	0	0.001176471	0	0.014705882
ProASV14	0	0	0	0	0	0	0	0.005294118	0.066176471
ProASV15	0	0	0	0	0.031176471	0.03	0.009411765	0.028235294	1.235294118
ProASV16	0.002352941	0.038235294	0.002352941	0.01	0.067647059	0.08	0.082941176	0.06	4.294117647
ProASV19	0	0	0.000588235	0	0.003529412	0	0	0	0.051470588
ProASV20	0.001176471	0	0	0	0.002352941	0	0	0.000588235	0.051470588
ProASV21	0	0	0	0	0.002941176	0	0	0	0.036764706
ProASV22	0	0	0	0	0.001176471	0.000588235	0	0	0.022058824
ProASV24	0	0	0	0	0	0	0.002352941	0	0.029411765
ProASV26	0.021176471	0.038823529	0.02	0.096470588	0.051176471	0.044705882	0.018235294	0.005882353	3.705882353
ProASV27	0.009411765	0.006470588	0.017647059	0.03	0.016470588	0.010588235	0.007647059	0.007058824	1.316176471
ProASV28	0.011764706	0.01	0.026470588	0.025294118	0.031764706	0.004705882	0.008823529	0.008235294	1.588235294
ProASV29	0	0.007647059	0	0	0	0.004705882	0	0	0.154411765
ProASV31	0.002941176	0.008235294	0.002352941	0	0	0.003529412	0	0	0.213235294
ProASV32	0.008823529	0.021764706	0.016470588	0.021176471	0.008823529	0.064117647	0.004705882	0.019411765	2.066176471
ProASV33	0.011764706	0.016470588	0.009411765	0.014705882	0.013529412	0.027058824	0	0.008235294	1.264705882
ProASV34	0.005294118	0.016470588	0.004705882	0.028823529	0.012941176	0.02	0	0	1.102941176
ProASV35	0.004117647	0.010588235	0.020588235	0.024705882	0.018235294	0.022352941	0.002941176	0.004705882	1.352941176
ProASV36	0	0	0.001764706	0	0	0	0	0	0.022058824
ProASV37	0	0.002941176	0	0.004117647	0.002352941	0.011176471	0	0	0.257352941
ProASV38	0	0	0	0.002941176	0.004117647	0	0	0	0.088235294
ProASV39	0.012941176	0.006470588	0.007058824	0.005882353	0.022941176	0.000588235	0.006470588	0.003529412	0.823529412
ProASV41	0	0	0.005294118	0	0	0	0.011176471	0	0.205882353
ProASV42	0.004705882	0	0.007647059	0.004705882	0.017058824	0.038823529	0.000588235	0.022352941	1.198529412
ProASV43	0	0.002941176	0	0.018235294	0	0	0	0	0.264705882
ProASV44	0	0	0	0	0.000588235	0	0	0	0.007352941
ProASV45	0	0.006470588	0.006470588	0.011764706	0.000588235	0.002352941	0.020588235	0.003529412	0.647058824
ProASV47	0.001764706	0.004705882	0.002941176	0.04	0.001176471	0	0	0.002941176	0.669117647
ProASV48	0	0.017647059	0.001764706	0.016470588	0	0	0.002352941	0.006470588	0.558823529
ProASV49	0	0	0.003529412	0	0	0	0	0	0.044117647
ProASV50	0	0	0.001176471	0	0.003529412	0.000588235	0.007058824	0	0.154411765
ProASV51	0.001176471	0.001176471	0	0	0.013529412	0	0	0.001176471	0.213235294
ProASV52	0	0.006470588	0.004117647	0.01	0	0.002941176	0.002352941	0	0.323529412
ProASV53	0	0.001764706	0.001176471	0.002352941	0	0	0.009411765	0	0.183823529
ProASV54	0	0	0	0	0	0	0.006470588	0	0.080882353
ProASV55	0.002941176	0	0	0	0	0	0	0	0.036764706
ProASV56	0.005294118	0.005882353	0.003529412	0.005294118	0.008823529	0.003529412	0.002352941	0.003529412	0.477941176
ProASV57	0.000588235	0	0	0	0	0	0	0	0.007352941
ProASV58	0	0	0.000588235	0	0	0	0.000588235	0.000588235	0.022058824
ProASV59	0	0	0	0.001176471	0	0	0	0	0.014705882
ProASV61	0	0.001764706	0	0.001764706	0	0	0	0	0.044117647
ProASV62	0	0.009411765	0.005294118	0	0.000588235	0.018235294	0	0	0.419117647
ProASV63	0.005882353	0.004117647	0	0.005294118	0	0.007058824	0.002352941	0.006470588	0.389705882
ProASV64	0	0	0.009411765	0	0	0	0	0	0.117647059
ProASV65	0.01	0.007058824	0	0.003529412	0.027647059	0	0	0.008823529	0.713235294
ProASV66	0.005882353	0.004117647	0.012941176	0.011764706	0.008235294	0.020588235	0	0.001764706	0.816176471
ProASV67	0.019411765	0.006470588	0.004117647	0.005882353	0	0	0.005882353	0	0.522058824
ProASV68	0	0	0.008823529	0	0	0	0	0	0.110294118
ProASV69	0	0	0.001764706	0	0	0	0	0	0.022058824
ProASV70	0.006470588	0	0.011764706	0	0	0	0.005882353	0.022941176	0.588235294
ProASV71	0.000588235	0.000588235	0.001764706	0	0.009411765	0	0	0	0.154411765
ProASV72	0.004117647	0.003529412	0.008235294	0	0.007058824	0.003529412	0.008823529	0.007058824	0.529411765
ProASV73	0	0	0	0	0.001764706	0	0	0.000588235	0.029411765
ProASV74	0	0	0	0	0	0	0.008823529	0.000588235	0.117647059
ProASV75	0.001176471	0	0	0	0	0	0	0	0.014705882
ProASV76	0	0	0	0	0	0.004117647	0	0	0.051470588
ProASV77	0.003529412	0	0.007647059	0.005882353	0.004705882	0	0.002941176	0.004705882	0.367647059
ProASV78	0	0	0	0	0	0	0.001176471	0	0.014705882
ProASV80	0	0	0	0	0	0.001176471	0	0	0.014705882
ProASV81	0	0	0	0	0	0.001176471	0	0	0.014705882
ProASV82	0	0	0.000588235	0	0	0	0	0	0.007352941
ProASV83	0.001176471	0	0	0.002352941	0	0	0	0	0.044117647
ProASV84	0	0	0	0	0	0	0.007058824	0.001176471	0.102941176
ProASV86	0	0	0	0.000588235	0	0	0	0	0.007352941
ProASV88	0.000588235	0.001764706	0.001176471	0	0.003529412	0	0	0.001176471	0.102941176
ProASV89	0	0	0.000588235	0.002352941	0	0.000588235	0	0	0.044117647
ProASV90	0.009411765	0.007058824	0.019411765	0.011176471	0.006470588	0.004705882	0.008235294	0	0.830882353
ProASV91	0.004117647	0	0.010588235	0.000588235	0.01	0.012352941	0.007647059	0.002352941	0.595588235
ProASV92	0	0.001176471	0	0	0	0	0	0	0.014705882
