source	target	weight	correlation
ProASV3	ProASV22	0.959183673469388	0.959183673469388
ProASV3	ProASV106	0.959183673469388	0.959183673469388
ProASV5	ProASV36	1	1
ProASV5	ProASV49	1	1
ProASV5	ProASV64	1	1
ProASV5	ProASV68	1	1
ProASV5	ProASV69	1	1
ProASV5	ProASV82	1	1
ProASV5	ProASV110	1	1
ProASV5	ProASV114	1	1
ProASV5	ProASV117	1	1
ProASV5	ProASV120	1	1
ProASV5	ProASV135	1	1
ProASV5	ProASV136	1	1
ProASV5	ProASV145	1	1
ProASV5	ProASV146	1	1
ProASV5	ProASV153	1	1
ProASV5	ProASV163	1	1
ProASV5	ProASV183	1	1
ProASV5	ProASV223	1	1
ProASV7	ProASV224	1	1
ProASV8	ProASV200	1	1
ProASV9	ProASV76	1	1
ProASV9	ProASV80	1	1
ProASV9	ProASV81	1	1
ProASV9	ProASV160	1	1
ProASV9	ProASV176	1	1
ProASV9	ProASV237	1	1
ProASV9	ProASV255	1	1
ProASV10	ProASV92	1	1
ProASV10	ProASV104	1	1
ProASV10	ProASV127	1	1
ProASV10	ProASV140	1	1
ProASV10	ProASV202	1	1
ProASV12	ProASV15	0.972972972972973	0.972972972972973
ProASV13	ProASV24	1	1
ProASV13	ProASV54	1	1
ProASV13	ProASV78	1	1
ProASV13	ProASV96	1	1
ProASV13	ProASV98	1	1
ProASV13	ProASV178	1	1
ProASV13	ProASV245	1	1
ProASV14	ProASV151	1	1
ProASV14	ProASV167	1	1
ProASV14	ProASV169	1	1
ProASV14	ProASV189	1	1
ProASV14	ProASV198	1	1
ProASV14	ProASV230	1	1
ProASV21	ProASV44	1	1
ProASV21	ProASV102	1	1
ProASV21	ProASV103	1	1
ProASV21	ProASV152	1	1
ProASV21	ProASV154	1	1
ProASV21	ProASV157	1	1
ProASV21	ProASV158	1	1
ProASV22	ProASV106	1	1
ProASV24	ProASV54	1	1
ProASV24	ProASV78	1	1
ProASV24	ProASV96	1	1
ProASV24	ProASV98	1	1
ProASV24	ProASV178	1	1
ProASV24	ProASV245	1	1
ProASV32	ProASV121	0.939411192283174	-0.939411192283174
ProASV36	ProASV49	1	1
ProASV36	ProASV64	1	1
ProASV36	ProASV68	1	1
ProASV36	ProASV69	1	1
ProASV36	ProASV82	1	1
ProASV36	ProASV110	1	1
ProASV36	ProASV114	1	1
ProASV36	ProASV117	1	1
ProASV36	ProASV120	1	1
ProASV36	ProASV135	1	1
ProASV36	ProASV136	1	1
ProASV36	ProASV145	1	1
ProASV36	ProASV146	1	1
ProASV36	ProASV153	1	1
ProASV36	ProASV163	1	1
ProASV36	ProASV183	1	1
ProASV36	ProASV223	1	1
ProASV42	ProASV228	0.957831325301205	-0.957831325301205
ProASV43	ProASV61	0.989743318610787	0.989743318610787
ProASV44	ProASV102	1	1
ProASV44	ProASV103	1	1
ProASV44	ProASV152	1	1
ProASV44	ProASV154	1	1
ProASV44	ProASV157	1	1
ProASV44	ProASV158	1	1
ProASV49	ProASV64	1	1
ProASV49	ProASV68	1	1
ProASV49	ProASV69	1	1
ProASV49	ProASV82	1	1
ProASV49	ProASV110	1	1
ProASV49	ProASV114	1	1
ProASV49	ProASV117	1	1
ProASV49	ProASV120	1	1
ProASV49	ProASV135	1	1
ProASV49	ProASV136	1	1
ProASV49	ProASV145	1	1
ProASV49	ProASV146	1	1
ProASV49	ProASV153	1	1
ProASV49	ProASV163	1	1
ProASV49	ProASV183	1	1
ProASV49	ProASV223	1	1
ProASV51	ProASV65	0.935414346693485	0.935414346693485
