label	Abundance
ProASV3	0.073529412
ProASV5	0.036764706
ProASV7	1.036764706
ProASV8	0.183823529
ProASV9	0.051470588
ProASV10	0.022058824
ProASV12	1.213235294
ProASV13	0.014705882
ProASV14	0.066176471
ProASV15	1.235294118
ProASV21	0.036764706
ProASV22	0.022058824
ProASV24	0.029411765
ProASV32	2.066176471
ProASV36	0.022058824
ProASV42	1.198529412
ProASV43	0.264705882
ProASV44	0.007352941
ProASV49	0.044117647
ProASV51	0.213235294
ProASV54	0.080882353
ProASV55	0.036764706
ProASV57	0.007352941
ProASV59	0.014705882
ProASV61	0.044117647
ProASV63	0.389705882
ProASV64	0.117647059
ProASV65	0.713235294
ProASV67	0.522058824
ProASV68	0.110294118
ProASV69	0.022058824
ProASV73	0.029411765
ProASV74	0.117647059
ProASV75	0.014705882
ProASV76	0.051470588
ProASV78	0.014705882
ProASV80	0.014705882
ProASV81	0.014705882
ProASV82	0.007352941
ProASV84	0.102941176
ProASV86	0.007352941
ProASV92	0.014705882
ProASV95	0.139705882
ProASV96	0.080882353
ProASV98	0.073529412
ProASV102	0.007352941
ProASV103	0.007352941
ProASV104	0.014705882
ProASV106	0.022058824
ProASV110	0.044117647
ProASV114	0.014705882
ProASV116	0.316176471
ProASV117	0.014705882
ProASV120	0.022058824
ProASV121	0.220588235
ProASV127	0.058823529
ProASV129	0.036764706
ProASV133	0.110294118
ProASV134	0.014705882
ProASV135	0.014705882
ProASV136	0.014705882
ProASV139	0.014705882
ProASV140	0.029411765
ProASV141	0.007352941
ProASV145	0.014705882
ProASV146	0.014705882
ProASV148	0.147058824
ProASV151	0.007352941
ProASV152	0.029411765
ProASV153	0.022058824
ProASV154	0.007352941
ProASV157	0.014705882
ProASV158	0.014705882
ProASV160	0.044117647
ProASV161	0.022058824
ProASV162	0.294117647
ProASV163	0.014705882
ProASV167	0.007352941
ProASV169	0.007352941
ProASV170	0.191176471
ProASV171	0.102941176
ProASV172	0.029411765
ProASV176	0.073529412
ProASV178	0.007352941
ProASV182	0.036764706
ProASV183	0.022058824
ProASV184	0.036764706
ProASV189	0.036764706
ProASV190	0.551470588
ProASV196	0.044117647
ProASV198	0.029411765
ProASV200	0.036764706
ProASV202	0.007352941
ProASV203	0.338235294
ProASV206	0.036764706
ProASV207	0.029411765
ProASV209	0.036764706
ProASV211	0.102941176
ProASV214	0.014705882
ProASV217	0.529411765
ProASV223	0.014705882
ProASV224	0.036764706
ProASV227	0.125
ProASV228	0.647058824
ProASV229	0.095588235
ProASV230	0.029411765
ProASV236	0.014705882
ProASV237	0.022058824
ProASV241	1.183823529
ProASV245	0.058823529
ProASV246	1.977941176
ProASV247	0.404411765
ProASV248	0.845588235
ProASV249	0.147058824
ProASV253	4.463235294
ProASV255	0.022058824
