source	target	weight	correlation
ProASV3	ProASV12	0.813733471206735	0.813733471206735
ProASV3	ProASV15	0.780519860137072	0.780519860137072
ProASV3	ProASV22	0.959183673469388	0.959183673469388
ProASV3	ProASV106	0.959183673469388	0.959183673469388
ProASV12	ProASV15	0.972972972972973	0.972972972972973
ProASV12	ProASV22	0.780519860137072	0.780519860137072
ProASV12	ProASV42	0.727310654409058	0.727310654409058
ProASV12	ProASV106	0.780519860137072	0.780519860137072
ProASV12	ProASV190	0.803869670662643	-0.803869670662643
ProASV12	ProASV217	0.85779415410156	-0.85779415410156
ProASV12	ProASV253	0.837121377562538	-0.837121377562538
ProASV15	ProASV22	0.813733471206735	0.813733471206735
ProASV15	ProASV106	0.813733471206735	0.813733471206735
ProASV15	ProASV190	0.740070490451322	-0.740070490451322
ProASV15	ProASV217	0.779812867365055	-0.779812867365055
ProASV15	ProASV253	0.761019434147762	-0.761019434147762
ProASV21	ProASV22	0.755928946018454	0.755928946018454
ProASV21	ProASV44	1	1
ProASV21	ProASV73	0.755928946018454	0.755928946018454
ProASV21	ProASV102	1	1
ProASV21	ProASV103	1	1
ProASV21	ProASV106	0.755928946018454	0.755928946018454
ProASV21	ProASV152	1	1
ProASV21	ProASV154	1	1
ProASV21	ProASV157	1	1
ProASV21	ProASV158	1	1
ProASV21	ProASV172	0.755928946018454	0.755928946018454
ProASV22	ProASV44	0.755928946018454	0.755928946018454
ProASV22	ProASV102	0.755928946018454	0.755928946018454
ProASV22	ProASV103	0.755928946018454	0.755928946018454
ProASV22	ProASV106	1	1
ProASV22	ProASV152	0.755928946018454	0.755928946018454
ProASV22	ProASV154	0.755928946018454	0.755928946018454
ProASV22	ProASV157	0.755928946018454	0.755928946018454
ProASV22	ProASV158	0.755928946018454	0.755928946018454
ProASV32	ProASV121	0.939411192283174	-0.939411192283174
ProASV42	ProASV228	0.957831325301205	-0.957831325301205
ProASV44	ProASV73	0.755928946018454	0.755928946018454
ProASV44	ProASV102	1	1
ProASV44	ProASV103	1	1
ProASV44	ProASV106	0.755928946018454	0.755928946018454
ProASV44	ProASV152	1	1
ProASV44	ProASV154	1	1
ProASV44	ProASV157	1	1
ProASV44	ProASV158	1	1
ProASV44	ProASV172	0.755928946018454	0.755928946018454
ProASV51	ProASV65	0.935414346693485	0.935414346693485
ProASV51	ProASV73	0.717137165600636	0.717137165600636
ProASV51	ProASV172	0.717137165600636	0.717137165600636
ProASV73	ProASV102	0.755928946018454	0.755928946018454
ProASV73	ProASV103	0.755928946018454	0.755928946018454
ProASV73	ProASV152	0.755928946018454	0.755928946018454
ProASV73	ProASV154	0.755928946018454	0.755928946018454
ProASV73	ProASV157	0.755928946018454	0.755928946018454
ProASV73	ProASV158	0.755928946018454	0.755928946018454
ProASV73	ProASV172	1	1
ProASV73	ProASV206	0.959183673469388	0.959183673469388
ProASV102	ProASV103	1	1
ProASV102	ProASV106	0.755928946018454	0.755928946018454
ProASV102	ProASV152	1	1
ProASV102	ProASV154	1	1
ProASV102	ProASV157	1	1
ProASV102	ProASV158	1	1
ProASV102	ProASV172	0.755928946018454	0.755928946018454
ProASV103	ProASV106	0.755928946018454	0.755928946018454
ProASV103	ProASV152	1	1
ProASV103	ProASV154	1	1
ProASV103	ProASV157	1	1
ProASV103	ProASV158	1	1
ProASV103	ProASV172	0.755928946018454	0.755928946018454
ProASV106	ProASV152	0.755928946018454	0.755928946018454
ProASV106	ProASV154	0.755928946018454	0.755928946018454
ProASV106	ProASV157	0.755928946018454	0.755928946018454
ProASV106	ProASV158	0.755928946018454	0.755928946018454
ProASV116	ProASV211	0.932227235735804	-0.932227235735804
ProASV116	ProASV228	0.790433332862751	-0.790433332862751
ProASV152	ProASV154	1	1
ProASV152	ProASV157	1	1
ProASV152	ProASV158	1	1
ProASV152	ProASV172	0.755928946018454	0.755928946018454
ProASV154	ProASV157	1	1
ProASV154	ProASV158	1	1
ProASV154	ProASV172	0.755928946018454	0.755928946018454
ProASV157	ProASV158	1	1
ProASV157	ProASV172	0.755928946018454	0.755928946018454
ProASV158	ProASV172	0.755928946018454	0.755928946018454
ProASV172	ProASV206	0.959183673469388	0.959183673469388
ProASV190	ProASV217	0.969489370005787	0.969489370005787
ProASV190	ProASV253	0.994029797388005	0.994029797388005
ProASV217	ProASV253	0.975900072948533	0.975900072948533
ProASV241	ProASV246	0.946124746911475	0.946124746911475
