id	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4
ProASV3	0	0	0	0	0.001176471	0.004705882	0	0
ProASV5	0	0	0.002941176	0	0	0	0	0
ProASV7	0	0	0	0.007058824	0	0	0.075882353	0
ProASV8	0	0	0	0	0	0.007647059	0	0.007058824
ProASV9	0	0	0	0	0	0.004117647	0	0
ProASV10	0	0.001764706	0	0	0	0	0	0
ProASV12	0	0	0	0	0.040588235	0.050588235	0.002352941	0.003529412
ProASV13	0	0	0	0	0	0	0.001176471	0
ProASV14	0	0	0	0	0	0	0	0.005294118
ProASV15	0	0	0	0	0.031176471	0.03	0.009411765	0.028235294
ProASV21	0	0	0	0	0.002941176	0	0	0
ProASV22	0	0	0	0	0.001176471	0.000588235	0	0
ProASV24	0	0	0	0	0	0	0.002352941	0
ProASV32	0.008823529	0.021764706	0.016470588	0.021176471	0.008823529	0.064117647	0.004705882	0.019411765
ProASV36	0	0	0.001764706	0	0	0	0	0
ProASV42	0.004705882	0	0.007647059	0.004705882	0.017058824	0.038823529	0.000588235	0.022352941
ProASV43	0	0.002941176	0	0.018235294	0	0	0	0
ProASV44	0	0	0	0	0.000588235	0	0	0
ProASV49	0	0	0.003529412	0	0	0	0	0
ProASV51	0.001176471	0.001176471	0	0	0.013529412	0	0	0.001176471
ProASV54	0	0	0	0	0	0	0.006470588	0
ProASV55	0.002941176	0	0	0	0	0	0	0
ProASV57	0.000588235	0	0	0	0	0	0	0
ProASV59	0	0	0	0.001176471	0	0	0	0
ProASV61	0	0.001764706	0	0.001764706	0	0	0	0
ProASV63	0.005882353	0.004117647	0	0.005294118	0	0.007058824	0.002352941	0.006470588
ProASV64	0	0	0.009411765	0	0	0	0	0
ProASV65	0.01	0.007058824	0	0.003529412	0.027647059	0	0	0.008823529
ProASV67	0.019411765	0.006470588	0.004117647	0.005882353	0	0	0.005882353	0
ProASV68	0	0	0.008823529	0	0	0	0	0
ProASV69	0	0	0.001764706	0	0	0	0	0
ProASV73	0	0	0	0	0.001764706	0	0	0.000588235
ProASV74	0	0	0	0	0	0	0.008823529	0.000588235
ProASV75	0.001176471	0	0	0	0	0	0	0
ProASV76	0	0	0	0	0	0.004117647	0	0
ProASV78	0	0	0	0	0	0	0.001176471	0
ProASV80	0	0	0	0	0	0.001176471	0	0
ProASV81	0	0	0	0	0	0.001176471	0	0
ProASV82	0	0	0.000588235	0	0	0	0	0
ProASV84	0	0	0	0	0	0	0.007058824	0.001176471
ProASV86	0	0	0	0.000588235	0	0	0	0
ProASV92	0	0.001176471	0	0	0	0	0	0
ProASV95	0.001176471	0.000588235	0.002941176	0	0	0.006470588	0	0
ProASV96	0	0	0	0	0	0	0.006470588	0
ProASV98	0	0	0	0	0	0	0.005882353	0
ProASV102	0	0	0	0	0.000588235	0	0	0
ProASV103	0	0	0	0	0.000588235	0	0	0
ProASV104	0	0.001176471	0	0	0	0	0	0
ProASV106	0	0	0	0	0.001176471	0.000588235	0	0
ProASV110	0	0	0.003529412	0	0	0	0	0
ProASV114	0	0	0.001176471	0	0	0	0	0
ProASV116	0.001764706	0.000588235	0.003529412	0.006470588	0.001176471	0.007058824	0	0.004705882
ProASV117	0	0	0.001176471	0	0	0	0	0
ProASV120	0	0	0.001764706	0	0	0	0	0
ProASV121	0.002352941	0.000588235	0.002352941	0.001176471	0.006470588	0	0.003529412	0.001176471
ProASV127	0	0.004705882	0	0	0	0	0	0
ProASV129	0.001176471	0.001764706	0	0	0	0	0	0
ProASV133	0.003529412	0.005294118	0	0	0	0	0	0
ProASV134	0.001176471	0	0	0	0	0	0	0
ProASV135	0	0	0.001176471	0	0	0	0	0
ProASV136	0	0	0.001176471	0	0	0	0	0
ProASV139	0	0	0	0.001176471	0	0	0	0
ProASV140	0	0.002352941	0	0	0	0	0	0
ProASV141	0	0	0	0.000588235	0	0	0	0
ProASV145	0	0	0.001176471	0	0	0	0	0
ProASV146	0	0	0.001176471	0	0	0	0	0
ProASV148	0.001764706	0.01	0	0	0	0	0	0
ProASV151	0	0	0	0	0	0	0	0.000588235
ProASV152	0	0	0	0	0.002352941	0	0	0
ProASV153	0	0	0.001764706	0	0	0	0	0
ProASV154	0	0	0	0	0.000588235	0	0	0
ProASV157	0	0	0	0	0.001176471	0	0	0
ProASV158	0	0	0	0	0.001176471	0	0	0
ProASV160	0	0	0	0	0	0.003529412	0	0
ProASV161	0	0	0	0.001764706	0	0	0	0
ProASV162	0.000588235	0.002352941	0.005294118	0.003529412	0.008235294	0	0.003529412	0
ProASV163	0	0	0.001176471	0	0	0	0	0
ProASV167	0	0	0	0	0	0	0	0.000588235
ProASV169	0	0	0	0	0	0	0	0.000588235
ProASV170	0.015294118	0	0	0	0	0	0	0
ProASV171	0.001764706	0.000588235	0.004117647	0	0	0.001764706	0	0
ProASV172	0	0	0	0	0.001764706	0	0	0.000588235
ProASV176	0	0	0	0	0	0.005882353	0	0
ProASV178	0	0	0	0	0	0	0.000588235	0
ProASV182	0.001176471	0.001764706	0	0	0	0	0	0
ProASV183	0	0	0.001764706	0	0	0	0	0
ProASV184	0	0	0	0.002941176	0	0	0	0
ProASV189	0	0	0	0	0	0	0	0.002941176
ProASV190	0.017058824	0.006470588	0.005882353	0.01	0.002941176	0	0	0.001764706
ProASV196	0	0.002352941	0	0	0	0	0	0.001176471
ProASV198	0	0	0	0	0	0	0	0.002352941
ProASV200	0	0	0	0	0	0.001764706	0	0.001176471
ProASV202	0	0.000588235	0	0	0	0	0	0
ProASV203	0.008823529	0.004705882	0.002941176	0.003529412	0	0	0.007058824	0
ProASV206	0	0	0	0	0.001176471	0	0	0.001764706
ProASV207	0.002352941	0	0	0	0	0	0	0
ProASV209	0	0	0	0.002941176	0	0	0	0
ProASV211	0.001176471	0.001764706	0	0	0.001764706	0	0.003529412	0
ProASV214	0.001176471	0	0	0	0	0	0	0
ProASV217	0.011176471	0.007647059	0.007647059	0.007647059	0.004705882	0.000588235	0.001176471	0.001764706
ProASV223	0	0	0.001176471	0	0	0	0	0
ProASV224	0	0	0	0.001176471	0	0	0.001764706	0
ProASV227	0	0.008823529	0	0	0	0	0	0.001176471
ProASV228	0.011176471	0.013529412	0.003529412	0.003529412	0.002941176	0	0.016470588	0.000588235
ProASV229	0.002352941	0	0	0	0	0	0.002941176	0.002352941
ProASV230	0	0	0	0	0	0	0	0.002352941
ProASV236	0	0	0	0.001176471	0	0	0	0
ProASV237	0	0	0	0	0	0.001764706	0	0
ProASV241	0.015294118	0.011764706	0.004117647	0.026470588	0.008823529	0.003529412	0.003529412	0.021176471
ProASV245	0	0	0	0	0	0	0.004705882	0
ProASV246	0.026470588	0.021764706	0.010588235	0.028235294	0.022941176	0.002941176	0	0.045294118
ProASV247	0.014117647	0.007647059	0.003529412	0.002941176	0	0	0	0.004117647
ProASV248	0.014705882	0.014117647	0.007647059	0.009411765	0.000588235	0.005294118	0.006470588	0.009411765
ProASV249	0.006470588	0	0	0	0	0	0.003529412	0.001764706
ProASV253	0.133529412	0.061176471	0.052352941	0.066470588	0.014705882	0.007647059	0.008235294	0.012941176
ProASV255	0	0	0	0	0	0.001764706	0	0
