nodes_id	degree	modularity
ProASV5	18	1
ProASV32	1	5
ProASV36	18	1
ProASV42	3	2
ProASV49	18	1
ProASV64	18	1
ProASV67	5	2
ProASV68	18	1
ProASV69	18	1
ProASV82	18	1
ProASV95	1	4
ProASV110	18	1
ProASV114	18	1
ProASV117	18	1
ProASV120	18	1
ProASV121	1	5
ProASV135	18	1
ProASV136	18	1
ProASV145	18	1
ProASV146	18	1
ProASV153	18	1
ProASV163	18	1
ProASV171	1	4
ProASV183	18	1
ProASV190	4	2
ProASV203	3	2
ProASV217	4	2
ProASV223	18	1
ProASV228	3	2
ProASV241	1	3
ProASV246	1	3
ProASV247	4	2
ProASV248	5	2
ProASV253	5	2
